LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304693,2034.45,JOLLY KIDS DAY NURSERY LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304694,2000,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304695,879.29,MOUNT HOUSE SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Professional services,45048,3300304697,462,PORTALPLANQUEST LTD
LONDON BOROUGH OF ENFIELD,PLACE,Professional services,45048,3300304701,462,PORTALPLANQUEST LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304705,5889.34,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304706,8460,PALMERS GREEN HIGH SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,3300304707,14797.8,LONDON BOROUGH OF HARINGEY
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45048,3300304708,1089.86,LONDON PROPERTY DEVELOPERS
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45048,3300304709,1089.86,LONDON PROPERTY DEVELOPERS
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45048,3300304710,1350,LONDON PROPERTY DEVELOPERS
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45048,3300304711,1350,LONDON PROPERTY DEVELOPERS
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45048,3300304717,5000,COTTAGE FIELDS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Cultural Services,45048,3300304722,561,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Cultural Services,45048,3300304725,637,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Cultural Services,45048,3300304727,3378,i Dance UK Performing Arts
LONDON BOROUGH OF ENFIELD,PLACE,Accommodation services,45048,3300304732,25000,TRAVELODGE HOTELS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Accommodation services,45048,3300304733,200000,TRAVELODGE HOTELS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Accommodation services,45048,3300304734,200000,TRAVELODGE HOTELS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Accommodation services,45048,3300304735,200000,TRAVELODGE HOTELS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Cultural Services,45048,3300304744,884,REDACTED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45048,3300304750,8906.8,COMPLETE BUILDING SERVICES (HERTS)
LONDON BOROUGH OF ENFIELD,PLACE,Refund - Fees & Charges,45048,3300304751,859.76,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45048,4100774230,3638.97,RUDOLPH WALKER FOUNDATION
LONDON BOROUGH OF ENFIELD,RESOURCES,Training Services,45048,4100774866,39987,PSI 2000 LTD
LONDON BOROUGH OF ENFIELD,PLACE,Cleaning Supps Srvcs,45048,4100774867,4302,WNV-SYSTEMS
LONDON BOROUGH OF ENFIELD,RESOURCES,IT Equip/Services,45048,4100774916,7537.56,INSIGHT MEDIA INTERNET LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,IT Equip/Services,45048,4100774917,3125,KAINOS SOFTWARE LTD
LONDON BOROUGH OF ENFIELD,CEX,Marketing&Advertisng,45048,4100775048,12950,JGP RESOURCING LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45048,4100775052,2256,REHABILITATION MANUFAC SERVS LTD
