Beneficiary,Transactiosn Date,TransNo,Procurement,Purpose of Spend,Organisation,Amount
AMAZON  202-2534897-91,01/10/2024,31171292,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,41.92
AMAZON  202-2534897-91,01/10/2024,31171373,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,104.80
AMAZON  202-2534897-91,01/10/2024,31173467,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,20.96
AMAZON  202-8880897-25,01/10/2024,31171276,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,70.10
AMAZON  202-8880897-25,01/10/2024,31171352,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,238.91
AMAZON  202-8880897-25,01/10/2024,31171370,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,42.08
AMAZON  204-5327141-97,01/10/2024,31173773,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,115.81
AMAZON  V58XF3W55,01/10/2024,31173794,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,3.99
AMZNMktplace,01/10/2024,31176144,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,-7.49
AMZNMktplace 0A63J61M5,01/10/2024,31175890,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,40.98
AMZNMktplace 9M1CA5Z85,01/10/2024,31176138,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,10.93
AMZNMktplace WO0P34UQ5,01/10/2024,31175860,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,80.94
BPWORKS INC,01/10/2024,31171190,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,228.42
BRAND24.COM,01/10/2024,31171261,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,"1,126.22"
HTTP://PMSE.OFCOM.ORG.,01/10/2024,31171443,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,135.00
Intuit Ltd Mailchimp,01/10/2024,31173764,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,5.43
Intuit Ltd Mailchimp,01/10/2024,31176121,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.97
Intuit Ltd Mailchimp,01/10/2024,31176130,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.40
Intuit Ltd Mailchimp,01/10/2024,31169188,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,104.37
Intuit Ltd Mailchimp,01/10/2024,31169300,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,106.62
Intuit Ltd Mailchimp,01/10/2024,31171138,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,128.23
KRYSTAL  I1878919,01/10/2024,31169303,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,14.39
KRYSTAL  I1899537,01/10/2024,31169252,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,9.59
KRYSTAL  I1901736,01/10/2024,31171253,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,23.98
KRYSTAL  I1915908,01/10/2024,31171410,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,9.59
KRYSTAL  I1940038,01/10/2024,31173620,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,71.94
KRYSTAL  I1940869,01/10/2024,31173581,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,9.59
PADLET  AZQTFUUJURIFY1,01/10/2024,31173459,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,89.99
PAYPAL  CENTRALCTRL,01/10/2024,31171311,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,12.38
PAYPAL  CENTRALCTRL,01/10/2024,31173600,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,12.18
TIMES NEWSPAPERS LTD,01/10/2024,31169281,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TIMES NEWSPAPERS LTD,01/10/2024,31171418,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TIMES NEWSPAPERS LTD,01/10/2024,31173586,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TOOLSTATION UK,01/10/2024,31176053,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,80.48
TWITTER PAID FEATURES,01/10/2024,31169231,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
TWITTER PAID FEATURES,01/10/2024,31169246,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
TWITTER PAID FEATURES,01/10/2024,31169267,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
VENTURE MARKETING,01/10/2024,31171449,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,"1,593.00"
VENTURE MARKETING,01/10/2024,31173623,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,"1,593.00"
VMO Vimeo Premium,01/10/2024,31171267,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,840.00
X CORP. PAID FEATURES,01/10/2024,31171179,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171295,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171354,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171408,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173465,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173617,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173628,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173681,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
ADK Security Limited,02/10/2024,31175986,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,39.60
ADK SECURITY LTD,02/10/2024,31175819,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,66.00
ADK SECURITY LTD,02/10/2024,31175848,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,5.40
ADK SECURITY LTD,02/10/2024,31175934,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,63.20
ELECTRIC CENTRE,02/10/2024,31175980,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,20.63
ELECTRIC CENTRE,02/10/2024,31176020,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,28.56
ELECTRIC CENTRE,02/10/2024,31176123,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,74.14
LPD ELECTRICAL WHOLE 0,02/10/2024,31175875,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,149.72
LPD ELECTRICAL WHOLESA,02/10/2024,31175870,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,34.68
SCREWFIX DIR LTD,02/10/2024,31175824,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,59.99
ICON SPORTS GROUP,03/10/2024,31175868,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.88
ICON SPORTS GROUP,03/10/2024,31176080,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,120.10
INST OF ADV MOTORI,03/10/2024,31175825,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
INST OF ADV MOTORI,03/10/2024,31175878,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
INST OF ADV MOTORI,03/10/2024,31175985,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
WELCOME BREAK KFC-NTH,03/10/2024,31175836,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,21.98
AVANTI MTIS,07/10/2024,31175933,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,30.00
BLACK SWAN,07/10/2024,31173580,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,26.95
BURGER AND BEYOND,07/10/2024,31176044,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,28.29
COSTA COFFEE 43011937,07/10/2024,31176129,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,8.20
DIRECT FENCING & GATES,07/10/2024,31173559,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,138.60
NCP MANCHESTER OXFFORD,07/10/2024,31176018,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
NET WORLD SPORTS,07/10/2024,31175880,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,395.93
Premier Inn,07/10/2024,31176031,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,213.98
Premier Inn,07/10/2024,31176078,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,427.96
Premier Inn,07/10/2024,31176083,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,427.96
SCREWFIX DIR LTD,07/10/2024,31175925,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,74.11
TFL TRAVEL CH,07/10/2024,31175904,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
TFL TRAVEL CH,07/10/2024,31176055,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
YOURPARKINGSPACE.CO.UK,07/10/2024,31176088,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,27.49
AMZNMktplace MG4IG9F95,09/10/2024,31175899,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,40.82
ANIMOTO INC,09/10/2024,31173462,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,39.99
ASDA STORES,09/10/2024,31173788,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,14.16
CARD FACTORY,09/10/2024,31173732,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,21.96
Chesford Grange Hotel,09/10/2024,31176114,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.90
HOLLYWOOD BOWL,09/10/2024,31173679,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,154.00
M6 TOLL,09/10/2024,31176019,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,09/10/2024,31176035,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
PARADISE ISLAND (GLASG,09/10/2024,31173616,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,63.00
SumUp   Ribbons & Bows,09/10/2024,31173660,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,40.50
THE RANGE,09/10/2024,31173590,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,39.84
WM MORRISONS STORE,09/10/2024,31176052,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,20.00
AMZNMktplace Q72P18445,10/10/2024,31176065,"Supplies, Services & Other Expenses",Cleaning Equipment,Greater Manchester Combined Authority,30.97
SCREWFIX DIR LTD,10/10/2024,31176036,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,191.99
SCREWFIX DIR LTD,10/10/2024,31176100,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,119.99
WICKES STOCKPORT,10/10/2024,31175912,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.80
AMAZON  VP16O4YM5,11/10/2024,31175918,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-14.95
Canva  04262-52967002,11/10/2024,31175830,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
CANVA  I04231-46962969,11/10/2024,31173533,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
LUMIE.COM,11/10/2024,31175902,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,207.50
TFL TRAVEL CH,11/10/2024,31175908,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
TFL TRAVEL CH,11/10/2024,31175920,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.40
