1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JULY,10/07/23,19/07/23,1 KINGS BENCH WALK CHAMBERS,825430,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 675.00 
2023/24,JULY,13/07/23,26/07/23,1 KINGS BENCH WALK CHAMBERS,800657,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,200.00 "
2023/24,JULY,15/05/23,14/07/23,1 KINGS BENCH WALK CHAMBERS,800657,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,350.00 "
2023/24,JULY,10/07/23,17/07/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,JULY,19/07/23,26/07/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,JULY,19/07/23,26/07/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 800.00 
2023/24,JULY,07/06/23,21/07/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,JULY,12/08/22,04/07/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 860.00 
2023/24,JULY,30/06/23,10/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,JULY,11/07/23,21/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JULY,06/07/23,19/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JULY,10/07/23,19/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JULY,19/07/23,28/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 600.00 
2023/24,JULY,13/07/23,21/07/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JULY,13/06/23,05/07/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 23,737.90 "
2023/24,JULY,26/06/23,05/07/23,33 BEDFORD ROW,800474,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,JULY,29/06/23,31/07/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,028.16 "
2023/24,JULY,22/06/23,31/07/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,230.12 "
2023/24,JULY,05/07/23,14/07/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JULY,05/07/23,25/07/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 555.00 
2023/24,JULY,05/07/23,21/07/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JULY,27/06/23,14/07/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,200.00 "
2023/24,JULY,30/06/23,12/07/23,4 PAPER BUILDINGS,801470,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 2,250.00 "
2023/24,JULY,03/01/23,11/07/23,4 PAPER BUILDINGS,801470,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 2,500.00 "
2023/24,JULY,11/07/23,17/07/23,4-5 GRAYS INN SQUARE TPA,812094,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 3,000.00 "
2023/24,JULY,28/06/23,07/07/23,4-5 GRAYS INN SQUARE TPA,812094,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 950.00 
2023/24,JULY,11/07/23,21/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 900.00 
2023/24,JULY,03/07/23,11/07/23,42 BEDFORD ROW CHAMBERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 800.00 
2023/24,JULY,03/07/23,10/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 400.00 
2023/24,JULY,28/06/23,11/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,050.00 "
2023/24,JULY,23/06/23,31/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,JULY,14/07/23,24/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 750.00 
2023/24,JULY,17/07/23,24/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,150.00 "
2023/24,JULY,17/07/23,26/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 437.50 
2023/24,JULY,27/06/23,05/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 900.00 
2023/24,JULY,22/05/23,20/07/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 525.00 
2023/24,JULY,25/07/22,26/07/23,42 BEDFORD ROW CHAMBERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 400.00 
2023/24,JULY,15/06/23,21/07/23,5 PUMP COURT CHAMBERS,802523,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,JULY,14/12/22,05/07/23,5 PUMP COURT CHAMBERS,802523,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 400.00 
2023/24,JULY,21/02/23,10/07/23,5 ST ANDREWS HILL,817091,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 850.00 
2023/24,JULY,14/07/23,27/07/23,A TOUCH OF CLASS,824085,W8875 STREETSPACE (TFL),Y50005 OTHER PROFESSIONAL - EXTERNAL,HORTICULTURAL / NOT ELSEWHERE CLASSIFIED," £ 1,480.00 "
2023/24,JULY,11/07/23,21/07/23,ABBEY CARE COMPLEX,820656,D0824 SUPPORT WITH MEMORY & COGNITIO,520045 NURSING CARE,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 13,989.56 "
2023/24,JULY,11/07/23,21/07/23,ABBEY CARE COMPLEX,820656,D0824 SUPPORT WITH MEMORY & COGNITIO,920180 CRAG INCOME,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 4,016.24 "
