Date Transaction Added,Beneficiary,Merchant Categories,Department,Division,Purpose of Expenditure,Trans No,Net Amount
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,2640.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,2660.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4063.50
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4063.50
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4095.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4229.82
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4477.41
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4477.41
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4770.00
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,3432.68
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4198.95
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4198.95
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4231.50
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4370.81
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4626.66
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4929.00
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4198.95
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4198.95
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4231.50
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4370.81
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4626.66
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4929.00
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,16012.26
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,16012.26
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,4003.07
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,4003.07
31/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31973940,12009.19
31/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31973940,12009.20
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,16012.26
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,16012.26
26/09/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31989656,16012.26
26/09/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31989656,16012.26
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,17136.36
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,17136.36
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,17136.36
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,17136.36
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,17136.36
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,17136.36
26/07/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31973325,809.24
23/08/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31982922,809.24
20/09/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31988847,809.24
16/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31969093,4779.60
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31979479,5496.54
09/09/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31985177,5018.58
17/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,,Miscellaneous Transport Costs,31969791,1417.35
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,,Miscellaneous Transport Costs,31979577,1417.35
17/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",,Transport Co-ordination,31969791,1417.35
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",,Transport Co-ordination,31979577,1417.35
21/08/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,533874,45000.06
17/09/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,536496,66428.66
02/07/2024,6th Runcorn Scout Group,Education - Services,Community & Greenspace,,Grants to Voluntary Organisations,2402681,700.00
