Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Reach Publishing Services Ltd,2324.4.CPMT.1036,45293,ENV Health & Regulatory Services,"Publicity, Promotions and Advertisement",599.76
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.1554,45293,Family Support,Fees - Technical and Professional Consul,1083.75
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1703,45293,Disabled Children's Team,Care Packages,693
LBHF,Dunne & Dusted Ltd,2324.4.CPMT.1825,45293,Head of Neighbourhood Services (North),Removal Costs,805
LBHF,Dunne & Dusted Ltd,2324.4.CPMT.1826,45293,Head of Neighbourhood Services (North),Removal Costs,1050
LBHF,Nowmedical,2324.4.CPMT.2374,45293,Homelessness Prevention & Assessment (GF,Payments to Health Authorities,5186.2
LBHF,Nowmedical,2324.4.CPMT.2375,45293,Homelessness Prevention & Assessment (GF,Payments to Health Authorities,5060.96
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2385,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,2000
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2386,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,2000
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2387,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,726
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2405,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,657.14
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2406,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,3400
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2407,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,5419
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2408,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,5157
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2409,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,6960
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2410,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,7606
LBHF,Advance Advocacy and Non-Violence Community Education,2324.4.CPMT.2530,45293,Homelessness Prevention & Assessment (GF,Payments to Voluntary Bodies,15300
LBHF,Dulux Decorator Centres,2324.4.CPMT.2542,45293,Head of Neighbourhood Services (North),Grant Aid and Donations,958.32
LBHF,Trustmarque Solutions Ltd,2324.4.CPMT.2633,45293,Digital Projects,"IT Software, Licences and Subscriptions",3179
LBHF,Employee Advisory Resources Ltd,2324.4.CPMT.2719,45293,People Operations,Fees - General,1385.8
LBHF,Theori Housing Management Services,2324.4.CPMT.2866,45293,Allocations & Lettings (GF),Temporary Accommodation,888
LBHF,Altwood Housing Ltd,2324.4.CPMT.3090,45293,Allocations & Lettings (GF),Temporary Accommodation,1260
LBHF,Altwood Housing Ltd,2324.4.CPMT.3091,45293,Allocations & Lettings (GF),Temporary Accommodation,1080
LBHF,Altwood Housing Ltd,2324.4.CPMT.3092,45293,Allocations & Lettings (GF),Temporary Accommodation,1260
LBHF,Pinnacle Housing,2324.4.CPMT.313,45293,Head of Estate Services,Cleaning and Domestic Supplies,1345.73
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3155,45293,Allocations & Lettings (GF),Temporary Accommodation,2850
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3157,45293,Allocations & Lettings (GF),Temporary Accommodation,1860
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3158,45293,Allocations & Lettings (GF),Temporary Accommodation,2250
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3159,45293,Allocations & Lettings (GF),Temporary Accommodation,1860
LBHF,Pinnacle Housing,2324.4.CPMT.323,45293,Head of Estate Services,Cleaning Costs,297977.73
LBHF,Ridge And Partners LLP,2324.4.CPMT.3520,45293,Asset Management,Fees - Asset Management,81784.31
LBHF,Chelsea & Westminster Hospital NHS Foundation Trust,2324.4.CPMT.3715,45293,Sexual Health,Payments to Health Authorities,207274.78
LBHF,Cycle Confident Ltd,2324.4.CPMT.4143,45293,Transport,"Educational Supplies, Stationery and Materials",1139
LBHF,F.M Conway Ltd,2324.4.CPMT.448,45293,Capital - King St Pedestrian Improvements,Capital - Contractors - New and Enhancement,5180.7
LBHF,HCP Staffing Services Ltd,2324.4.CPMT.4516,45293,Disabled Children's Team,Care Packages,536.12
LBHF,J W Machinery Services Ltd,2324.4.CPMT.4530,45293,Adult Learning and Skills Service,"Tools, Furniture, Materials - Equipment",678
LBHF,Petit Miracle Interiors Ltd,2324.4.CPMT.4550,45293,Economic Development,Grant Aid and Donations,1500
LBHF,F.M Conway Ltd,2324.4.CPMT.496,45293,Parks and Leisure,Payments to Private Contractors,1400
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51239,45293,Homelessness Prevention & Assessment (GF,Letting Cost Avoidance Payment,4470
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51240,45293,Allocations & Lettings (GF),Letting Cost Avoidance Payment,10025
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51319,45293,Allocations & Lettings (GF),Letting Cost Avoidance Payment,5500
LBHF,VALICITY CARE SERVICES LTD,2324.4.CPMT.51762,45293,Mental Health Services,Supported Living - Adult's,5700
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5765,45293,Disabled Children's Team,Care Packages,1990.89
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5766,45293,Disabled Children's Team,Care Packages,1988.16
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5767,45293,Disabled Children's Team,Care Packages,1988.16
LBHF,Oakleaf Surveying Limited,2324.4.CPMT.5877,45293,Capital - Fire Risk Assessors,Capital - Contractors - Refurbishment and Restora,650
LBHF,Charles Care Services Ltd,2324.4.CPMT.5915,45293,Disabled Children's Team,Care Packages,1901.7
LBHF,Charles Care Services Ltd,2324.4.CPMT.5916,45293,Disabled Children's Team,Care Packages,1439.27
LBHF,F.M Conway Ltd,2324.4.CPMT.603,45293,Parking,"Tools, Furniture, Materials - Materials",2645.71
LBHF,F.M Conway Ltd,2324.4.CPMT.604,45293,Parking,"Tools, Furniture, Materials - Materials",803.1
LBHF,F.M Conway Ltd,2324.4.CPMT.605,45293,Parking,"Tools, Furniture, Materials - Materials",2439.54
LBHF,Bis-Web Ltd,2324.4.CPMT.6143,45293,Community Safety,"Newspapers, Periodicals and Publications",6999.96
LBHF,Kier Services Ltd,2324.4.CPMT.6558,45293,Capital - Spandrel/Infill panel replacement,Capital - Contractors - Refurbishment and Restora,44366.8
LBHF,Personal Data - Name Redacted,2324.4.CPMT.6611,45293,Adult Learning and Skills Service,Fees - Management Consultancy,2000
LBHF,33 Recruitment Limited,2324.4.CPMT.6631,45293,SEND and Inclusion,Element 3 - Top-up Funding,1555
LBHF,33 Recruitment Limited,2324.4.CPMT.6640,45293,SEND and Inclusion,SEN - Primary,2015
LBHF,CLS Clockwork Limited,2324.4.CPMT.6680,45293,Civic Campus,Premises Rent,56323.12
LBHF,CLS Clockwork Limited,2324.4.CPMT.6681,45293,Civic Campus,Premises Rent,93691.89
LBHF,CLS Clockwork Limited,2324.4.CPMT.6682,45293,Civic Campus,Premises Rent,88803.74
LBHF,NORTH SV LIMITED,2324.4.CPMT.6692,45293,Community Safety,Security Costs including Equipment,39680
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7127,45293,Family Support and Child Protection,Assessment - Other,7102
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7128,45293,Family Support and Child Protection,Assessment - Other,7200.86
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7129,45293,Family Support and Child Protection,Assessment - Other,7102
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7130,45293,Family Support and Child Protection,Assessment - Other,7203.44
LBHF,Microlink PC (UK) Ltd,2324.4.CPMT.7551,45293,People Operations,Assistive Equipment & Technology,5638.88
LBHF,Financial Data Management Ltd,2324.4.CPMT.759,45293,Electoral Services,Postage and Delivery,1632.88
LBHF,Financial Data Management Ltd,2324.4.CPMT.764,45293,Electoral Services,"Printing, Publications and Photocopying",520
LBHF,Profile Security Services Ltd,2324.4.CPMT.7722,45293,Capital - Edith Summerskill,Capital - Contractors - Security,549.32
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8041,45293,SEND and Inclusion,Element 3 - Top-up Funding,9246.38
LBHF,Refuge,2324.4.CPMT.8196,45293,Community Safety,Payments to Voluntary Bodies,30350
LBHF,TANMIL LTD,2324.4.CPMT.8590,45293,"Quality, Standards and Safeguarding",Fees - Management and Administration,900
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8826,45293,Family Support and Child Protection,Looked After Children - Contact,2350
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.1,45293,Allocation and Lettings,Hire of Accommodation and Facilities,706.25
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.2,45293,Allocation and Lettings,Hire of Accommodation and Facilities,834.23
LBHF,CDW Ltd,2324.4.CPMT.1253,45294,Digital Projects,"IT Hardware incl Support, Storage and Co",3750
LBHF,SoloProtect Limited,2324.4.CPMT.1481,45294,Health and Safety Team,Health and Safety Equipment,2315.25
LBHF,SoloProtect Limited,2324.4.CPMT.1482,45294,Health and Safety Team,Health and Safety Equipment,1102.5
LBHF,Car Hire (Day Of Swansea) Ltd,2324.4.CPMT.1501,45294,Street Environment Services,Vehicle Lease and Hire Costs,624.5
LBHF,Car Hire (Day Of Swansea) Ltd,2324.4.CPMT.1502,45294,Street Environment Services,Vehicle Lease and Hire Costs,4327.18
LBHF,C & P Hygiene,2324.4.CPMT.1639,45294,Mental Health Services,Cleaning and Domestic Supplies,872
LBHF,C & P Hygiene,2324.4.CPMT.1663,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,885
LBHF,C & P Hygiene,2324.4.CPMT.1664,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,6480
LBHF,C & P Hygiene,2324.4.CPMT.1666,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,890
LBHF,C & P Hygiene,2324.4.CPMT.1667,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,827.5
