Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-HOSPITAL Southampton,Furniture,45132,2216099875,666,R,Back Care Solutions Limited
Hampshire County Council,Adults' Health and Care,ACM-OA NE Rushmoor,Other Expenses,45135,3111297872,2700,R,Adult Services
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45117,6500016043,14103,R,The Vine Centre
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45131,2216097960,30000,R,Unity
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45112,3111287850,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45112,3111287851,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45112,3111287852,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Other Services,45118,2216074026,5454.73,R,Lingland Interpreters
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Other Local Authorities,45133,2216102836,85000,R,EASTLEIGH BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45120,3111290110,700,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45120,3111290111,869,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45120,2216078221,15648.39,R,Basingstoke Voluntary Action
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45128,2216097054,34300,R,Basingstoke Voluntary Action
Hampshire County Council,Adults' Health and Care,AHC Transformation Recruitment,Staff Advertising - General,45135,2216104604,735,R,Monster Worldwide Ltd
Hampshire County Council,Adults' Health and Care,AMHP,Educational and Vocational Training,45117,2216072766,1750,R,Edge Training and Consultancy Ltd
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45126,2216091584,683.95,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45126,2216089793,529.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45126,2216090184,554.01,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45125,2216087045,597.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45133,2216101865,6377.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45126,2216088834,683.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45126,2216089631,1286.72,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45126,2216089835,827.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45126,2216090304,902.9,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45117,2216071664,547.44,R,PERSONAL PAYMENTS
