Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45399,3110122000,1400,One Time Vendor
Hampshire & Isle of Wight Constabulary,"ACC Crime, CJ & Intel Portfolio",Professional Subscriptions,45398,3110121889,2800,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,"ACC Crime, CJ & Intel Portfolio",Professional Subscriptions,45398,3110121890,500,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,ACCTO HEAD OFFICE,Other Training Courses and Qualification,45412,2200215466,1550,College of Policing Ltd
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Payments to Other PC,45385,2200213917,14761,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45401,3110122172,4821.84,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45401,3110122085,10208.22,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Water - Metered,45398,3110121897,604.93,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Uniform Business Rates,45387,3500004197,28665,RUSHMOOR BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45401,3110122186,1360.38,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45401,3110122090,994.48,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45397,3500004219,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Area Model Changes - Estates Costs,Furniture,45383,2200213968,5257.77,SHOWCASE PSR PORTSDOWN LIMITED
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45398,2200214726,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Hired and Contracted Services,45412,2200215464,3909.86,Gleeds Advisory Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other premises related costs,45383,2200215308,2135,John Grant Interiors Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other premises related costs,45399,2200214849,1320,John Grant Interiors Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Equipment,45401,2200214964,2242,CSS WORKSAFE
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Equipment,45401,2200214965,522.17,CSS WORKSAFE
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45383,2200213794,652.39,SGI Industries Limited
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45383,2200213799,622.8,Snap On Diagnostics
