Payment date,Supplier Name,Purpose,Department,Amount
03/04/2023,NRT Building Services Group Ltd.,Technical & Feasibility,Housing Revenue Account,683478.69
03/04/2023,HUMANKIND,Alcohol & Drug Rehabilitation,"Dir of Adults, Health & Communities",219093.63
03/04/2023,NRT Building Services Group Ltd.,Technical & Feasibility,Housing Revenue Account,165837.78
03/04/2023,URBIS SCHREDER LTD,Electricity,Dir of Finance,135076.29
03/04/2023,EQUANS REGENERATION LIMITED,Pay Cntrctor-Aqu L&B,Dir of Finance,125772
03/04/2023,REED WELLBEING LIMITED,Public Health,"Dir of Adults, Health & Communities",125000
03/04/2023,EQUANS REGENERATION LIMITED,Pay Cntrctor-Aqu L&B,Dir of Finance,92992.61
03/04/2023,Marston Holdings Ltd,Parking,Dir of Environment & Resident Experience,90184.1
03/04/2023,CCS MEDIA LIMITED,Hardware,Dir of Finance,72542.5
03/04/2023,NORTHGATE VEHICLE HIRE LTD,Leasing,Housing Revenue Account,63369.75
03/04/2023,Arc Group London Ltd,Priv - Sub Contract,Housing Revenue Account,59673.49
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,40000
03/04/2023,EQUANS REGENERATION LIMITED,Buildings,Dir of Finance,39995.29
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,39000
03/04/2023,FOURWAYS PLANT LTD,Priv - Sub Contract,Housing Revenue Account,38832.08
03/04/2023,Lilstone Limited,Buildings,Dir of Finance,34960
03/04/2023,Formation Design and Build Limited,Buildings,Dir of Finance,32056.73
03/04/2023,D&G CONSTRUCTION & ELECTRICAL LIMIT,Priv - Sub Contract,Housing Revenue Account,27420
03/04/2023,The Bridge Renewal trust,Community Based Services,Dir of Children's Services,27000
03/04/2023,Metis Consultants Limted,Water Assessment & Treatment,Dir of Environment & Resident Experience,26340
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec -  Day Place,Dedicated Schools Grant Management,25200
03/04/2023,TRIPLE P UK LTD,Community Based Services,Dir of Children's Services,21445
03/04/2023,UNITED GUARDING SERVICES LTD,Security,Dir of Environment & Resident Experience,20708.22
03/04/2023,PSYCH MEDICS COMPANY (UK) LIMITED,"Advice, Advocacy & Counselling Services","Dir of Adults, Health & Communities",20277.9
03/04/2023,GOLDEN CARE ESTATES LTD,Priv - Contractor,Dir of Children's Services,19085.72
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec -  Day Place,Dedicated Schools Grant Management,19070
03/04/2023,PETERS LTD,Library -CentralFund,"Dir of  Culture, Strategy & Engagement",18878.97
03/04/2023,PENNA PLC,Accommodation,"Dir of  Culture, Strategy & Engagement",18848.7
03/04/2023,ACCESS UK LTD T/A ADAM,Organised Activities,Dir of Environment & Resident Experience,18750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,17625
03/04/2023,WPG LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",17092.5
03/04/2023,Ingleton Wood LLP,Buildings,Dir of Finance,16471.88
03/04/2023,RIDGE AND PARTNERS LLP,Consultancy,Dir of Finance,15877.59
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,15000
03/04/2023,CAN DIGITAL SOLUTIONS LIMITED,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",15000
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,11625
03/04/2023,PENNA PLC,Consultancy,Housing Revenue Account,11550
03/04/2023,CAPITAL LETTERS LONDON LMITED,Letting  / Estate Agents,"Dir of Adults, Health & Communities",11000
03/04/2023,Hustle & Heels Ladies Lunch Limited,Business,Dir of Finance,10388.89
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",10085.32
03/04/2023,El Warcha CIC,Business,Housing Revenue Account,10000
03/04/2023,PENNA PLC,Consultancy,Housing Revenue Account,9900
03/04/2023,Peopletoo Ltd,Business,Dir of Placemaking & Housing,9725
