,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0086609724,Adult & Community Based Services,Adult Education,Catering Costs,45744,1310,0,Revenue,Hartlepool Business Dev Centre Limited,No,261500,Human Resources - Training & Conferences 
Hartlepool Borough Council,0086608761,Adult & Community Based Services,Adult Education,Catering Costs,45737,560,0,Revenue,Hartlepool Events,No,111200,Catering - Food & Beverages 
Hartlepool Borough Council,0086608761,Adult & Community Based Services,Adult Education,Catering Costs,45737,640,0,Revenue,Hartlepool Events,No,111200,Catering - Food & Beverages 
Hartlepool Borough Council,0086605707,Adult & Community Based Services,Adult Education,Cost of Travel,45707,708,0,Revenue,Stagecoach Services Ltd,No,369999,Passenger Transport - Not Elsewhere Classified 
Hartlepool Borough Council,0086605707,Adult & Community Based Services,Adult Education,Cost of Travel,45707,2640,0,Revenue,Stagecoach Services Ltd,No,369999,Passenger Transport - Not Elsewhere Classified 
Hartlepool Borough Council,0086604128,Adult & Community Based Services,Adult Education,Examination Fees (non Staff),45699,504,0,Revenue,Ascentis,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086603522,Adult & Community Based Services,Adult Education,Examination Fees (non Staff),45685,2618,0,Revenue,NCFE,No,261500,Human Resources - Training & Conferences 
Hartlepool Borough Council,0086604682,Adult & Community Based Services,Adult Education,Examination Fees (non Staff),45700,732,0,Revenue,NOCN Ltd,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086603541,Adult & Community Based Services,Adult Education,Grants & Donations,45681,25906.07,0,Revenue,Darlington Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086609387,Adult & Community Based Services,Adult Education,Grants & Donations,45741,2100,0,Revenue,Hartlepool ReLoved Clothing CIC,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086609578,Adult & Community Based Services,Adult Education,Grants & Donations,45742,3500,0,Revenue,Hartlepower CIC,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086609469,Adult & Community Based Services,Adult Education,Grants & Donations,45742,5950,0,Revenue,Link Project CIC,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0086603490,Adult & Community Based Services,Adult Education,Grants & Donations,45674,25246.38,0,Revenue,Middlesbrough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086609579,Adult & Community Based Services,Adult Education,Grants & Donations,45742,3150,0,Revenue,Play Out Hartlepool CIC,No,401099,Social Community Care Supplies & Services - Children - Community Based Services - Not Elsewhere Classified
Hartlepool Borough Council,0086605671,Adult & Community Based Services,Adult Education,Grants & Donations,45714,17611.91,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086609487,Adult & Community Based Services,Adult Education,Grants & Donations,45741,7000,0,Revenue,Something Positive Solutions CIC,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0086609577,Adult & Community Based Services,Adult Education,Grants & Donations,45742,7000,0,Revenue,The Big League CIC,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086609607,Adult & Community Based Services,Adult Education,Grants & Donations,45742,10000,0,Revenue,The Big League CIC,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086609380,Adult & Community Based Services,Adult Education,Grants & Donations,45741,5600,0,Revenue,The Wharton Trust,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086609268,Adult & Community Based Services,Adult Education,IT Prtnrshp-Additional Service,45742,4800,0,Revenue,Economic Research Services  Ltd,No,159999,Consultancy - Not Elsewhere Classified 
Hartlepool Borough Council,0086605459,Adult & Community Based Services,Adult Education,Maintenance-Contractor,45714,11573.82,0,Revenue,Tarmac Trading Limited,No,231100,Highway Equipment & Materials - Bituminous Materials & Surface Dressings
Hartlepool Borough Council,0086606811,Adult & Community Based Services,Adult Education,Purchase -General Materials/Eq,45728,1475,0,Revenue,Cornerstone Supported Housing Ltd,No,250010,Housing Management - Letting  / Estate Agents 
Hartlepool Borough Council,0086605147,Adult & Community Based Services,Adult Education,Purchase -General Materials/Eq,45713,599.99,0,Revenue,Nisbets,No,111200,Catering - Food & Beverages 
Hartlepool Borough Council,0086605147,Adult & Community Based Services,Adult Education,Purchase -General Materials/Eq,45713,1399.99,0,Revenue,Nisbets,No,111200,Catering - Food & Beverages 
Hartlepool Borough Council,0086604492,Adult & Community Based Services,Adult Education,Purchase -General Materials/Eq,45681,3072,0,Revenue,Stagecoach Services Ltd,No,369999,Passenger Transport - Not Elsewhere Classified 
Hartlepool Borough Council,0086605824,Adult & Community Based Services,Adult Education,Purchase -General Materials/Eq,45721,1657.75,0,Revenue,Tullys Sewing Machines,No,160000,Domestic Goods 
Hartlepool Borough Council,0086606760,Adult & Community Based Services,Adult Education,Purchase-Buildng/Constrctn Mat,45713,2635.24,0,Revenue,Artistic Solutions Ltd,No,291120,Arts & Leisure Services - Organised Activities 
Hartlepool Borough Council,0086606615,Adult & Community Based Services,Adult Education,Purchase-Buildng/Constrctn Mat,45727,882,0,Revenue,Florcraft Prof Contract,No,391100,"Works - Construction, Repair & Maintenance - Buildings "
