Transaction Date,Local Authority Department,Beneficiary,Purpose of Expenditure,Amount (excluding VAT),Non Recoverable VAT,Merchant Category
 01-09-2023,oneSource Non-Shared LBH,Dawsongroup Environmental Municipal Civil Ltd,Vehicle Hire,2802.68,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Dawsongroup Environmental Municipal Civil Ltd,Vehicle Hire,2802.68,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Dawsongroup Environmental Municipal Civil Ltd,Vehicle Hire,3497.92,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Dawsongroup Environmental Municipal Civil Ltd,Vehicle Hire,2802.68,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Dawsongroup Environmental Municipal Civil Ltd,Vehicle Hire,2802.68,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,2718.85,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,3198.83,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,3198.83,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,3433.47,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,2514.52,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,2641.07,0.00,COMMERCIAL SUPPLIER 
 01-09-2023,oneSource Non-Shared LBH,Mistral Bus and Coach PLC,Vehicle Hire,4157.42,0.00,COMMERCIAL SUPPLIER 
