Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
01/02/2023,GI,3161948,"2,100.00",UH000216,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161949,700,UH000217,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161950,700,UH000218,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161951,700,UH000219,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161953,"1,050.00",UH000221,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161954,"1,400.00",UH000222,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161957,"2,100.00",UH000225,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161958,700,UH000089,Redacted,202311,Commissioned Services,Supplies & Services,Yes
01/02/2023,GI,3161986,700,UH000089,Redacted,202311,Commissioned Services,Supplies & Services,Yes
02/02/2023,GI,3162197,"2,056.00",HC105771,Marden Playgroup,202311,Dedicated Schools Grant,Transfer Payments,No
02/02/2023,GI,3162198,"2,841.00",HC129345,St Weonards Shining Stars Pre-School,202311,Dedicated Schools Grant,Transfer Payments,No
02/02/2023,GI,3162240,"1,864.43",HC121175,Matrix SCM Ltd,202311,All Ages Commissioning,Employees,No
02/02/2023,GI,3162240,"21,719.48",HC121175,Matrix SCM Ltd,202311,Care Operations,Employees,No
02/02/2023,GI,3162240,"54,936.95",HC121175,Matrix SCM Ltd,202311,Central Childrens Directorate Costs,Employees,No
02/02/2023,GI,3162240,"3,522.31",HC121175,Matrix SCM Ltd,202311,Education and Commissioning,Employees,No
02/02/2023,GI,3162240,"44,658.01",HC121175,Matrix SCM Ltd,202311,"Finance, Legal & Governance",Employees,No
02/02/2023,GI,3162240,"6,979.30",HC121175,Matrix SCM Ltd,202311,People & Performance,Employees,No
02/02/2023,GI,3162240,"74,127.17",HC121175,Matrix SCM Ltd,202311,Safeguarding and Family Support,Employees,No
02/02/2023,GI,3162240,"3,882.05",HC121175,Matrix SCM Ltd,202311,Talk Community Programme,Employees,No
02/02/2023,GI,3162240,"39,174.23",HC121175,Redacted,202311,Safeguarding and Family Support,Employees,No
02/02/2023,GI,3162319,"10,138.38",HC111380,Welsh Water,202311,Highways & Transport,Premises-Related Expenditure,No
03/02/2023,GI,3162707,514.15,HC129573,Redacted,202311,Safeguarding and Family Support,Third Party Payments,Yes
03/02/2023,GI,3162708,505,HC129573,Redacted,202311,Safeguarding and Family Support,Third Party Payments,Yes
03/02/2023,GI,3162755,426.03,HC131221,Dolphin Personnel Ltd,202311,Safeguarding and Family Support,Third Party Payments,No
03/02/2023,GI,3162757,"1,035.00",HC127375,Leominster Properties,202311,Safeguarding and Family Support,Supplies & Services,No
