Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
01/05/2024,GI,3334430,815.3,HC103593,Growing Local Is Going Local Cic,202502,Holding Codes,Holding Codes,No
01/05/2024,GI,3334433,2160,HC201005,NMiTE,202502,Holding Codes,Holding Codes,No
01/05/2024,GI,3334434,4733.08,HC201005,NMiTE,202502,Holding Codes,Holding Codes,No
01/05/2024,GI,3334435,548.67,HC201005,NMiTE,202502,Holding Codes,Holding Codes,No
01/05/2024,GI,3334436,1440,HC127849,Friends of Castle Green CIC,202502,Holding Codes,Holding Codes,No
01/05/2024,GI,3334437,553.37,HC103506,Goodrich C E Primary Sch Imprest,202502,Schools,Supplies & Services,No
01/05/2024,GI,3336648,960,HC132346,Redacted,202502,Education and Commissioning,Transport-Related Expenditure,Yes
01/05/2024,GI,3336654,436.59,HC133204,Redacted,202502,Education and Commissioning,Transport-Related Expenditure,Yes
01/05/2024,GI,3336655,1609.93,HC132618,Susanna Loveridge,202502,Education and Commissioning,Transport-Related Expenditure,No
01/05/2024,GI,3336656,564.74,HC130597,Redacted,202502,Education and Commissioning,Transport-Related Expenditure,Yes
01/05/2024,GI,3336660,859.31,HC133285,Redacted,202502,Education and Commissioning,Transport-Related Expenditure,Yes
01/05/2024,GI,3336702,2721.79,HC121175,Redacted,202502,Community Wellbeing - Director,Employees,No
01/05/2024,GI,3336702,58824.6,HC121175,Redacted,202502,Safeguarding and Family Support,Employees,No
01/05/2024,GI,3336702,2190.01,HC121175,Matrix SCM Ltd,202502,Community Wellbeing - Director,Employees,No
01/05/2024,GI,3336702,3324.78,HC121175,Matrix SCM Ltd,202502,Economy and Growth,Employees,No
01/05/2024,GI,3336702,5388.59,HC121175,Matrix SCM Ltd,202502,Governance and Legal Services,Employees,No
01/05/2024,GI,3336702,6935.19,HC121175,Matrix SCM Ltd,202502,"Performance, Quality Assurance and Safeguarding",Employees,No
01/05/2024,GI,3336702,74119.54,HC121175,Matrix SCM Ltd,202502,Safeguarding and Family Support,Employees,No
01/05/2024,GI,3336702,13959.93,HC121175,Matrix SCM Ltd,202502,Social Care Delivery,Employees,No
