Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
04/07/2023,GI,3221952,540,HC100185,Redacted,202404,Housing,Premises-Related Expenditure,Yes
11/07/2023,II,4131512,109440,HC100213,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
21/07/2023,II,4133588,2200,HC100545,Redacted,202404,Safeguarding and Family Support,Supplies & Services,Yes
28/07/2023,II,4134922,2829.5,HC100582,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
18/07/2023,II,4133008,703.54,HC101223,Redacted,202404,Housing,Premises-Related Expenditure,No
03/07/2023,II,4130202,1665,HC101815,Redacted,202404,Housing,Supplies & Services,No
04/07/2023,GI,3221968,1014,HC102076,Redacted,202404,Safeguarding and Family Support,Support Services,No
05/07/2023,II,4130602,5125,HC102766,Redacted,202404,Housing,Supplies & Services,No
05/07/2023,II,4130603,5104.17,HC102766,Redacted,202404,Housing,Supplies & Services,No
06/07/2023,II,4130896,5104.17,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131366,5541.67,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131371,6345,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131373,6430,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131375,6460,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131376,6125,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131379,6475,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131374,6475,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131378,5366.67,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131372,5104.17,HC102766,Redacted,202404,Housing,Supplies & Services,No
10/07/2023,II,4131377,6475,HC102766,Redacted,202404,Housing,Supplies & Services,No
06/07/2023,GI,3222775,2203.88,HC103069,Redacted,202404,Housing,Supplies & Services,No
17/07/2023,II,4132351,1699.28,HC103195,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
27/07/2023,II,4134495,779.4,HC103800,Redacted,202404,Safeguarding and Family Support,Supplies & Services,Yes
07/07/2023,II,4131031,33610,HC103959,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
31/07/2023,II,4135259,33610,HC103959,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
20/07/2023,II,4133411,840,HC104015,Redacted,202404,Safeguarding and Family Support,Transport-Related Expenditure,No
04/07/2023,GI,3221942,660,HC104888,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221965,3893,HC105073,Redacted,202404,Safeguarding and Family Support,Support Services,No
04/07/2023,GI,3221966,13035,HC105073,Redacted,202404,Safeguarding and Family Support,Support Services,No
04/07/2023,GI,3221967,8600,HC105073,Redacted,202404,Safeguarding and Family Support,Support Services,No
05/07/2023,II,4130604,13671,HC105828,Redacted,202404,Housing,Supplies & Services,No
14/07/2023,II,4132469,13230,HC105828,Redacted,202404,Housing,Supplies & Services,No
31/07/2023,II,4135371,798,HC105989,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
31/07/2023,II,4135372,2337,HC105989,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
31/07/2023,II,4135373,3484,HC105989,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
31/07/2023,II,4135376,600,HC105989,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
04/07/2023,GI,3221936,534,HC106104,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221940,636,HC106104,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221949,570,HC106104,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221950,540,HC106104,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221951,636,HC106104,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221934,4333.33,HC106816,Redacted,202404,Housing,Premises-Related Expenditure,No
04/07/2023,GI,3221930,750,HC106831,Redacted,202404,Housing,Premises-Related Expenditure,Yes
13/07/2023,II,4130840,990,HC106975,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
31/07/2023,II,4135425,1305.14,HC107758,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
20/07/2023,GI,3225835,2339,HC107953,Redacted,202404,Housing,Premises-Related Expenditure,No
20/07/2023,GI,3225835,32959.37,HC107953,Redacted,202404,Housing,Supplies & Services,No
20/07/2023,GI,3225835,16490.48,HC107953,Redacted,202404,Safeguarding and Family Support,Supplies & Services,No
04/07/2023,GI,3221931,660,HC108221,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221932,624,HC108905,Redacted,202404,Housing,Premises-Related Expenditure,Yes
04/07/2023,GI,3221933,570,HC109338,Redacted,202404,Housing,Premises-Related Expenditure,Yes
14/07/2023,GI,3225410,600,HC109490,Redacted,202404,Safeguarding and Family Support,Supplies & Services,Yes
07/07/2023,GI,3222929,897,HC110083,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
07/07/2023,GI,3222930,897,HC110083,Redacted,202404,Safeguarding and Family Support,Third Party Payments,No
04/07/2023,GI,3221935,816,HC110272,Redacted,202404,Housing,Premises-Related Expenditure,No
07/07/2023,II,4131084,1377.5,HC110767,Redacted,202404,Housing,Supplies & Services,No
