Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
06/06/2023,GI,3212038,540,HC100185,Redacted,202403,Housing,Premises-Related Expenditure,Yes
07/06/2023,II,4126912,101822.5,HC100213,Redacted,202403,Safeguarding and Family Support,Third Party Payments,No
23/06/2023,II,4128958,43167.65,HC101815,Redacted,202403,Housing,Supplies & Services,No
30/06/2023,II,4130071,5308.33,HC102766,Redacted,202403,Housing,Supplies & Services,No
30/06/2023,II,4130060,5104.17,HC102766,Redacted,202403,Housing,Supplies & Services,No
02/06/2023,II,4126066,6371,HC103358,Redacted,202403,Safeguarding and Family Support,Supplies & Services,No
05/06/2023,II,4126364,504.4,HC103800,Redacted,202403,Safeguarding and Family Support,Supplies & Services,Yes
05/06/2023,II,4126398,33610,HC103959,Redacted,202403,Safeguarding and Family Support,Third Party Payments,No
13/06/2023,II,4127717,33610,HC103959,Redacted,202403,Safeguarding and Family Support,Third Party Payments,No
09/06/2023,II,4127103,602,HC104015,Redacted,202403,Safeguarding and Family Support,Transport-Related Expenditure,No
30/06/2023,GI,3221757,3715.2,HC104143,Redacted,202403,Safeguarding and Family Support,Supplies & Services,No
06/06/2023,GI,3212028,660,HC104888,Redacted,202403,Housing,Premises-Related Expenditure,Yes
05/06/2023,II,4126530,1260,HC105376,Redacted,202403,Safeguarding and Family Support,Supplies & Services,No
23/06/2023,II,4128959,13230,HC105828,Redacted,202403,Housing,Supplies & Services,No
06/06/2023,GI,3212022,534,HC106104,Redacted,202403,Housing,Premises-Related Expenditure,Yes
06/06/2023,GI,3212026,636,HC106104,Redacted,202403,Housing,Premises-Related Expenditure,Yes
06/06/2023,GI,3212035,570,HC106104,Redacted,202403,Housing,Premises-Related Expenditure,Yes
06/06/2023,GI,3212036,540,HC106104,Redacted,202403,Housing,Premises-Related Expenditure,Yes
06/06/2023,GI,3212037,636,HC106104,Redacted,202403,Housing,Premises-Related Expenditure,Yes
06/06/2023,GI,3212020,4333.33,HC106816,Redacted,202403,Housing,Premises-Related Expenditure,No
06/06/2023,GI,3212015,750,HC106831,Redacted,202403,Housing,Premises-Related Expenditure,Yes
13/06/2023,II,4127667,787.5,HC107758,Redacted,202403,Safeguarding and Family Support,Supplies & Services,No
19/06/2023,GI,3215472,480.77,HC107953,Redacted,202403,Housing,Premises-Related Expenditure,No
