Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
01/11/2023,GI,3269376,1450,HC131852,K J Properties Hereford Ltd,202408,Commissioned Services,Supplies & Services,No
01/11/2023,GI,3269377,1725,HC123715,Belvoir Hereford,202408,Commissioned Services,Supplies & Services,No
02/11/2023,GI,3269720,2269.58,HC121175,Redacted,202408,Housing,Employees,No
02/11/2023,GI,3269720,19974.86,HC121175,Redacted,202408,Safeguarding and Family Support,Employees,No
02/11/2023,GI,3269720,11951.03,HC121175,Matrix SCM Ltd,202408,Central Childrens Directorate Costs,Employees,No
02/11/2023,GI,3269720,3671.87,HC121175,Matrix SCM Ltd,202408,Economy and Growth,Employees,No
02/11/2023,GI,3269720,5542.48,HC121175,Matrix SCM Ltd,202408,Education and Commissioning,Employees,No
02/11/2023,GI,3269720,10588.45,HC121175,Matrix SCM Ltd,202408,Governance and Legal Services,Employees,No
02/11/2023,GI,3269720,7350.38,HC121175,Matrix SCM Ltd,202408,"Performance, Quality Assurance and Safeguarding",Employees,No
02/11/2023,GI,3269720,2849.35,HC121175,Matrix SCM Ltd,202408,Prevention and Support,Employees,No
02/11/2023,GI,3269720,73385.89,HC121175,Matrix SCM Ltd,202408,Safeguarding and Family Support,Employees,No
02/11/2023,GI,3269720,6135,HC121175,Matrix SCM Ltd,202408,"Transformation, PMO and Performance",Employees,No
03/11/2023,GI,3270001,514.15,HC129573,Redacted,202408,Safeguarding and Family Support,Third Party Payments,Yes
03/11/2023,GI,3270034,680,HC132054,Redacted,202408,Safeguarding and Family Support,Supplies & Services,Yes
06/11/2023,GI,3270153,1524.31,HC111924,Bromyard Community Transport Ltd,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270154,2221.9,HC112080,CVS Ledbury & District (Ledbury Ring & Ride),202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270155,1888.54,HC102478,Dore Community Transport,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270156,632.59,HC101381,Hay & District Dial a Ride,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270157,2399.89,HC103982,HVOSS,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270158,702.98,HC101379,Ross Country Cars,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270159,1917.28,HC110743,The Plynlimon Trust Community Car Scheme,202408,"Highways, Environment and Waste",Supplies & Services,No
06/11/2023,GI,3270160,7833.33,HC103982,HVOSS,202408,Talk Community Programme,Third Party Payments,No
06/11/2023,GI,3270161,464,HC200448,Redacted,202408,Physical Disabilities,Third Party Payments,Yes
06/11/2023,GI,3270162,750,HC106831,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270163,660,HC108221,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270164,624,HC108905,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270165,570,HC109338,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270166,816,HC110272,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270167,534,HC106104,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270168,630,HC116314,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270169,660,HC121939,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270170,780,HC122259,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270171,636,HC106104,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270172,660,HC124399,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270173,660,HC104888,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270174,600,HC124860,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270175,1100,HC125780,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270176,480,HC125894,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270177,480,HC125884,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270178,720,HC125945,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270179,570,HC106104,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270180,540,HC106104,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270181,636,HC106104,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270182,540,HC100185,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270183,570,HC126091,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270184,570,HC126091,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270185,2916.66,HC127457,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270186,660,HC111106,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270187,540,HC128740,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270188,720,HC111970,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270189,720,HC202862,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270190,636,HC130409,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270191,780,HC124399,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270192,3000,HC202928,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270193,780,HC124399,Redacted,202408,Housing,Premises-Related Expenditure,Yes
06/11/2023,GI,3270194,3166.66,HC128639,Redacted,202408,Housing,Premises-Related Expenditure,No
06/11/2023,GI,3270195,420,HC132119,Redacted,202408,Housing,Premises-Related Expenditure,Yes
07/11/2023,GI,3270323,522,HC101118,Bosbury C E Primary Imprest,202408,Schools,Premises-Related Expenditure,No
07/11/2023,GI,3270325,492.42,HC125676,Redacted,202408,Education and Commissioning,Transport-Related Expenditure,Yes
09/11/2023,GI,3270614,1150.39,HC121175,Redacted,202408,Housing,Employees,No
09/11/2023,GI,3270614,71725.25,HC121175,Redacted,202408,Safeguarding and Family Support,Employees,No
09/11/2023,GI,3270614,22535.3,HC121175,Matrix SCM Ltd,202408,Care Operations,Employees,No
09/11/2023,GI,3270614,22664.62,HC121175,Matrix SCM Ltd,202408,Central Childrens Directorate Costs,Employees,No
09/11/2023,GI,3270614,4471.9,HC121175,Matrix SCM Ltd,202408,Education and Commissioning,Employees,No
09/11/2023,GI,3270614,8134.98,HC121175,Matrix SCM Ltd,202408,Governance and Legal Services,Employees,No
09/11/2023,GI,3270614,4990.99,HC121175,Matrix SCM Ltd,202408,"Performance, Quality Assurance and Safeguarding",Employees,No
09/11/2023,GI,3270614,2592.47,HC121175,Matrix SCM Ltd,202408,Prevention and Support,Employees,No
09/11/2023,GI,3270614,110279.83,HC121175,Matrix SCM Ltd,202408,Safeguarding and Family Support,Employees,No
09/11/2023,GI,3270614,2873.93,HC121175,Matrix SCM Ltd,202408,Talk Community Programme,Employees,No
