Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,01/06/2023,90245500,"6,214.29",Claremont Care Services Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/06/2023,90245501,"-5,785.71",Claremont Care Services Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/06/2023,90245502,"6,421.43",Claremont Care Services Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/06/2023,90245503,"-5,978.57",Claremont Care Services Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/06/2023,90245504,"6,214.29",Claremont Care Services Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,31/05/2023,70047944,"21,638.00",31TEN CONSULTING LIMITED,TEMP STAFF & CONSULTANCY,Corporate & Communities,Consultancy Services,A56007
Royal Borough of Kingston,09/06/2023,70048220,975.00,3SPIRIT ENTERPRISE UK LTD,TRAINING,Adult Social Care & Health,Staff Development And Training,A15022
Royal Borough of Kingston,27/06/2023,90247659,"1,375.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,27/06/2023,90247711,"1,375.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,22/05/2023,70047670,"9,826.00",A D WIBDEN LIMITED,CONSTRUCTION INDUSTRY,Corporate & Communities,Grants Given For Capital Purposes,C20004
Royal Borough of Kingston,05/06/2023,70048203,"7,199.00",A D WIBDEN LIMITED,CONSTRUCTION INDUSTRY,Corporate & Communities,Grants Given For Capital Purposes,C20004
