Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,27/10/2023,70058014,"1,950.00",3SPIRIT ENTERPRISE UK LTD,TRAINING,Adult Social Care & Health,Staff Development And Training,A15022
Royal Borough of Kingston,23/11/2023,90283645,"1,375.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283695,"1,375.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,02/11/2023,70058018,595.00,ALAN GREENWOOD AND SONS,LEGAL & PROFESSIONAL SERVICES,Adult Social Care & Health,Professional Fees,A44066
Royal Borough of Kingston,15/11/2023,70058745,677.00,ALAN GREENWOOD AND SONS,LEGAL & PROFESSIONAL SERVICES,Adult Social Care & Health,Professional Fees,A44066
Royal Borough of Kingston,20/11/2023,70059085,677.00,ALAN GREENWOOD AND SONS,LEGAL & PROFESSIONAL SERVICES,Adult Social Care & Health,Professional Fees,A44066
Royal Borough of Kingston,23/11/2023,90283544,"1,097.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283600,"1,125.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283685,"2,300.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283686,"2,300.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283687,"2,300.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283842,"2,300.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,23/11/2023,90283641,993.34,REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
Royal Borough of Kingston,01/05/2023,90284028,"7,885.71",A&R Care Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/05/2023,90284321,"4,800.00",A&R Care Ltd,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,14/11/2023,90281157,"2,352.00",ABACUS PRE-SCHOOL,ACADEMIC INSTNS - OTHER,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,14/11/2023,90281210,861.00,ABACUS PRE-SCHOOL,ACADEMIC INSTNS - OTHER,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,01/11/2023,90284214,"5,142.86",ABBEY 14LIMITED,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284037,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284050,"3,740.40",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284053,"3,740.40",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284058,"5,066.79",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284061,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284069,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284078,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284079,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284084,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284086,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284090,"5,065.71",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284094,"4,027.07",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284105,"3,740.40",ABBEYFIELD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
