Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45078,1900200717,16176.17,103441,Telent Technology Services Ltd,,H,,KR,664297,TF2 CIP A62 Smart Co,,,Telent Technology Services Ltd VAL 88
45078,1900200718,397226,320772,REDACTED DATA,,H,,KR,106678,,,,REDACTED DATA
45078,1900200719,5125,320772,REDACTED DATA,,H,,KR,100252,BESD Partnerships,,,REDACTED DATA
45078,1900200720,91075,320772,REDACTED DATA,,H,,KR,100679,1005 Flatts Nursery,,,REDACTED DATA
45078,5106169456,-4399.04,115892,Staying Put,5124878,S,3300267777,RE,,,,,
45082,1900200760,4650.4,103471,TK Access Solutions Ltd,1166449,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45082,1900200776,2596.5,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45078,101441526,1327,115892,Staying Put,5124878,H,,SA,100050,Persons Abroad,,,115892 Staying Put Refund Received
45078,5106331362,-2760,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331363,2760,115189,REDACTED PERSONAL DATA,,H,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331366,-2622,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331367,2622,115189,REDACTED PERSONAL DATA,,H,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331368,-2070,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331369,2070,115189,REDACTED PERSONAL DATA,,H,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331374,-1932,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45078,5106331375,1932,115189,REDACTED PERSONAL DATA,,H,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45079,1700022613,-4105.59,390042,REDACTED PERSONAL DATA,,S,,KG,104185,OP Resid Place,,,REDACTED PERSONAL DATA
45079,1700022614,-213261.31,390042,REDACTED PERSONAL DATA,,S,,KG,104185,OP Resid Place,,,REDACTED PERSONAL DATA
45079,1900200574,6631,113579,Ability Wet Rooms Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45079,1900200723,160670,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45079,1900200724,146940,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45079,1900200725,160731,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45079,1900200727,49785,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45079,1900200730,217366.9,390042,REDACTED PERSONAL DATA,,H,,KR,104185,OP Resid Place,,,REDACTED PERSONAL DATA
45079,1900200733,990,340279,Redspeed International Ltd,05152563,H,,KR,103467,SPEED CAMERA MAINTCE,,,Redspeed International Ltd VAL 96
45079,1900200738,520,219195,REDACTED DATA,,H,,KR,100069,Leaving Care 18-21 (,,,REDACTED DATA
45079,1900200739,575,207718,REDACTED DATA,,H,,KR,100069,Leaving Care 18-21 (,,,REDACTED DATA
45083,1900200778,667.12,108071,REDACTED PERSONAL DATA,06903140,H,,KR,106977,,,,REDACTED PERSONAL DATA
45083,1900200780,227831.61,108071,REDACTED PERSONAL DATA,06903140,H,,KR,104076,INGS GROVE HOUSE,,,REDACTED PERSONAL DATA
45083,1900200782,1364.64,340281,C R Reynolds Construction Ltd,01772107,H,,KR,665264,,,,C R Reynolds Construction Ltd VAL 5
45083,1900200783,5949.73,340281,C R Reynolds Construction Ltd,01772107,H,,KR,103411,GM-RETENTIONS,,,C R Reynolds Construction Ltd VAL 5
45083,1900200784,7335,340279,Redspeed International Ltd,05152563,H,,KR,103467,SPEED CAMERA MAINTCE,,,Redspeed International Ltd VAL 97
45083,5106331874,750,100324,Barton Willmore Llp,,H,3300273291,RE,664752,,,,
45084,5106332454,69586.62,340915,Wates Construction Ltd,01977948,H,3300264469,RE,660696,North Huddersfield T,,,
45084,1900200787,4127,340339,Traffic Direct,05552434,H,,KR,103467,SPEED CAMERA MAINTCE,,,Traffic Direct VAL 74
45084,1900200791,1960,116721,REDACTED PERSONAL DATA,,H,,KR,100040,Assessment & Int Sth,,,REDACTED PERSONAL DATA
45085,1700022639,-1047487.39,117181,REDACTED PERSONAL DATA,,S,,KG,104185,OP Resid Place,,,REDACTED PERSONAL DATA
45085,1700022642,-264169.11,117181,REDACTED PERSONAL DATA,,S,,KG,104185,OP Resid Place,,,REDACTED PERSONAL DATA
45085,1700022653,-800,340606,Yorkshire Building Contractors Ltd,9455664,S,,KG,104778,ZZ Balance Sheet,,,
45085,1700022654,-3000,340606,Yorkshire Building Contractors Ltd,9455664,S,,KG,104778,ZZ Balance Sheet,,,
45085,1700022656,-850,340961,Tree Care Company (Yorkshire) Limit,09678658,S,,KG,104778,ZZ Balance Sheet,,,
45085,1900200858,3674.16,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Dewsbury Sports CentreMar 23
45085,1900200859,10476.82,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Batley Sports CentreMar 23
45085,1900200862,538.39,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Bradley Park Golf CourseMar 23
45085,1900200863,2105.3,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Bradley Park Golf CourseMar 23
45085,1900200865,3458.02,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Leeds Road Sports ComplexMar 23
45085,1900200866,3553.03,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Scissett Swimming PoolMar 23
45085,1900200867,6614.93,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,101161,Kirklees Active Leis,,,Huddersfield Leisure CentreMar 23
