"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,30/08/2023,,637,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,436.8,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,764.4,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,436.8,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,546,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,546,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,436.8,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,30/08/2023,,764.4,LIFE-LINE CARE 4 U,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,11/08/2023,,5400,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,23/08/2023,,368,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,23/08/2023,,384,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,23/08/2023,,576,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,23/08/2023,,832,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,23/08/2023,,7500,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,23/08/2023,,448,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,23/08/2023,,1800,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,23/08/2023,,3720,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,23/08/2023,,1220,LIMITLESS SEND LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,23/08/2023,,960,LIMITLESS SEND LTD,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,30/08/2023,,2123.07,LITTLE BLOSSOMS OF BARROWFORD,
11,11,CLA Work Placements,Trainer/Lecturer Fees,13200,23/08/2023,,2428.51,LLOYD BMW,
11,11,Peri Service,Chg - Internal Training Recharge,61001,21/08/2023,,1574.85,LMGUITARS,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,29/08/2023,,1036,LYTHAM HALL PARK NURSERY,
11,11,Supporting People - CSC,Private Contractors & Other Agencies - Other,14063,22/08/2023,,14032.63,M3 PROJECT LTD,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,29/08/2023,,1036,MAYFIELD PRE-SCHOOL,
11,11,Agency Residential - East,Private Contractors & Other Agencies - Other,14063,04/08/2023,,17490.73,MEADOWS CARE LTD,
11,11,Agency Residential - East,Private Contractors & Other Agencies - Other,14063,24/08/2023,,17490.73,MEADOWS CARE LTD,
11,11,Agency Residential - East,Private Contractors & Other Agencies - Other,14063,31/08/2023,,19012.43,MEADOWS CARE LTD,
11,11,Agency Residential - East,Private Contractors & Other Agencies - Other,14063,31/08/2023,,19012.43,MEADOWS CARE LTD,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,29/08/2023,,1036,MINI ME'S NURSERY,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,29/08/2023,,1036,MINI ME'S NURSERY,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,29/08/2023,,1036,MINI ME'S NURSERY,
11,11,CWD Agency Residential - EAST,Private Contractors & Other Agencies - Other,14063,01/08/2023,,1196.32,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,01/08/2023,,353.57,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,02/08/2023,,65.12,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Residential - EAST,Private Contractors & Other Agencies - Other,14063,02/08/2023,,1008,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Residential - SOUTH,Private Contractors & Other Agencies - Other,14063,08/08/2023,,528,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,880.56,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,416.16,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,1710.88,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,2034.56,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,3160.67,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,3514.24,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,14/08/2023,,3329.28,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,14/08/2023,,3329.28,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support-EAST,Private Contractors & Other Agencies - Other,14063,14/08/2023,,971.04,MY LIFE - MY CHOICE LTD,
11,11,CWD Agency Family Support - SOUTH,Private Contractors & Other Agencies - Other,14063,14/08/2023,,3476.72,MY LIFE - MY CHOICE LTD,
11,11,Family Support RO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,810.88,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,926.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,926.48,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,991.03,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,790.4,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,790.4,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering Birthday,15037,25/08/2023,,175,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering Birthday,15037,14/08/2023,,432,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,1920.96,REDACTED,
11,11,Preston Fostering LCC,Travelling Expenses Refunded,12103,14/08/2023,,126.9,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,1423.72,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,685.81,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/08/2023,,3371.58,REDACTED,
11,11,Family Support SGO - Burnley,Allowances - RO's/SGO's,15033,11/08/2023,,1479.59,REDACTED,
11,11,Family Support SGO - Burnley,Allowances - RO's/SGO's,15033,11/08/2023,,881.29,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,1585.88,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,1736.45,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Family Support SGO - Burnley,Allowances - RO's/SGO's,15033,11/08/2023,,2794.44,REDACTED,
11,11,Family Support RO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,810.88,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,23/08/2023,,882.41,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Short Breaks Overnight,15028,23/08/2023,,1253.28,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,08/08/2023,,1045,REDACTED,
11,11,Preston Fostering LCC,Travelling Expenses Refunded,12103,14/08/2023,,146.64,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,1516.8,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,790.4,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering Holiday,15034,14/08/2023,,795,REDACTED,
11,11,In House Fostering Mainstream Burnley,Clothing & Uniform,13121,14/08/2023,,120.6,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,790.4,REDACTED,
11,11,Preston Fostering LCC,Travelling Expenses Refunded,12103,25/08/2023,,175.78,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,1516.8,REDACTED,
11,11,Family Support RO - East,Allowances - RO's/SGO's,15033,11/08/2023,,668.71,REDACTED,
11,11,CWD Agency Direct Payments - S Ribble,Direct Payments-Personal Care,15029,23/08/2023,,179.04,REDACTED,
11,11,CWD Agency Direct Payments - S Ribble,CYP Direct Payments,15031,23/08/2023,,626.64,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,512.31,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,810.88,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,1621.76,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,08/08/2023,,545.75,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,462.26,REDACTED,
11,11,Family Support SGO - Burnley,Allowances - RO's/SGO's,15033,11/08/2023,,1627.06,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,742.94,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,926.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,926.48,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,790.4,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering Additional,15039,14/08/2023,,460,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,350,REDACTED,
11,11,Lancaster Fostering LCC,Allowances - Fostering General,15040,14/08/2023,,1920.96,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering Additional,15039,25/08/2023,,460,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,350,REDACTED,
11,11,Lancaster Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,500.28,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,25/08/2023,,790.4,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,554.06,REDACTED,
11,11,Family Support RO - North,Allowances - RO's/SGO's,15033,11/08/2023,,961.45,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,2421.29,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Short Breaks Overnight,15028,23/08/2023,,581.88,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/08/2023,,545.55,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/08/2023,,967.03,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/08/2023,,881.29,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/08/2023,,775,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,510.39,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,2493.29,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/08/2023,,531.52,REDACTED,
