"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1620.92,WEST LANCS PEER SUPPORT GROUP (DP),
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2664.96,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,23/11/2023,,1940,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1249.8,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,02/11/2023,,2054.46,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,767,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2000,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,03/11/2023,,280,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,911.16,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2664.96,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,30/11/2023,,1274.52,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2085.08,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1241.56,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,671.84,REDACTED,
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1922.72,REDACTED,
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,3049.72,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,02/11/2023,,1104,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,30/11/2023,,1104,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,02/11/2023,,1861.44,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,30/11/2023,,2340.83,REDACTED,
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,17/11/2023,,751.25,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1640.08,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1914.68,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1503.52,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,840.28,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2064.48,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,29/11/2023,,597.36,REDACTED,
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,4904.8,REDACTED,
12,12,MH2-Direct Cash to Service User,CYP Direct Payments,15031,16/11/2023,,1531.76,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2522,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,776.52,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1463.08,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,02/11/2023,,2062.76,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,30/11/2023,,2062.76,REDACTED,
12,12,OP-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1496.4,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,02/11/2023,,1379.48,REDACTED,
12,12,LD-Sup Acc Adult Placements,Supported & Other Accommodation - Independent Sector,14203,30/11/2023,,1379.48,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,875.28,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,2054.75,REDACTED,
12,12,MH2-Direct Cash to Service User,CYP Direct Payments,15031,16/11/2023,,1241.12,REDACTED,
12,12,LD-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,1060.12,REDACTED,
12,12,PDSI-Direct Payments Direct Cash,CYP Direct Payments,15031,16/11/2023,,4464.72,REDACTED,
