"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,4230.6,KEER SANDS RES HFE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,8220.4,STELLA MATUTINA CONVENT,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,16921.15,STELLA MATUTINA CONVENT,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3132.28,BROOKLANDS,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,31396.08,BROOKLANDS,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,8577.35,BROOKLANDS,
12,12,MH2-Residential Care,Residential Care - Independent Sector,14202,05/10/2023,,1838.4,A1 RESIDENTIAL CARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,1542,A1 RESIDENTIAL CARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,-1784.01,A1 RESIDENTIAL CARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,9216.8,FAIRHAVEN LODGE CARE HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,33519.43,FAIRHAVEN LODGE CARE HOME,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,9172.08,FAIRHAVEN LODGE CARE HOME,
12,12,OP-Residential Discharge Support,Residential Care - Independent Sector,14202,05/10/2023,,542.39,FAIRHAVEN LODGE CARE HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,32801.48,ROYAL CARE HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,ROYAL CARE HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,16184.76,RATHMORE,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,1301.73,WENTWORTH HOUSE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,4761.11,WENTWORTH HOUSE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,23905.47,KNIGHTS HOTEL,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,1715.47,KNIGHTS HOTEL,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,6834.06,KNIGHTS HOTEL,
12,12,OP-Residential Discharge Support,Residential Care - Independent Sector,14202,05/10/2023,,3000,KNIGHTS HOTEL,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,80797.36,KNIGHTS HOTEL,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,KNIGHTS HOTEL,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,24896.94,CROFT HOUSE REST HOME,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,-3211.8,CROFT HOUSE REST HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,CROFT HOUSE REST HOME,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,CROFT HOUSE REST HOME,
12,12,OP-Residential Discharge Support,Residential Care - Independent Sector,14202,05/10/2023,,2825.48,CROFT HOUSE REST HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,CROFT HOUSE REST HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,9508.36,VILLAROSE,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,VILLAROSE,
12,12,LD-Residential Discharge Support,Residential Care - Independent Sector,14202,05/10/2023,,-744.55,VILLAROSE,
12,12,OP-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,5588.72,ST STEPHENS REST HOME,
12,12,OP-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,8318.64,ST STEPHENS REST HOME,
12,12,PDSI-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,2770.96,ST STEPHENS REST HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2476.72,ANNACLIFFE REST HOME,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2305.08,ANNACLIFFE REST HOME,
12,12,LD-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2154.8,ADALENA HOUSE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2569.44,THE OLD VICARAGE,
12,12,OP-Residential Discharge Support,Residential Care - Independent Sector,14202,05/10/2023,,5862.84,THE OLD VICARAGE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,20625.88,THE OLD VICARAGE,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,10002.64,THE OLD VICARAGE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,3037.36,THE OLD VICARAGE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,10494.64,THE OLD VICARAGE,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,5606.8,LOSTOCK GROVE REST HOME,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,3229.12,LOSTOCK GROVE REST HOME,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,2740.97,STOCKS HOMECARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,38160.12,STOCKS HOMECARE LTD,
12,12,MH2-Residential Care,Residential Care - Independent Sector,14202,05/10/2023,,8777.88,STOCKS HOMECARE LTD,
12,12,PDSI-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,8438.48,STOCKS HOMECARE LTD,
12,12,OP-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,13722,STOCKS HOMECARE LTD,
12,12,PDSI-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,9003.28,STOCKS HOMECARE LTD,
12,12,OP-Residential Short Term Care,Residential Care - Independent Sector,14202,05/10/2023,,8914.29,STOCKS HOMECARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,7552,STOCKS HOMECARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,4418.96,STOCKS HOMECARE LTD,
12,12,PDSI-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,8681.56,STOCKS HOMECARE LTD,
12,12,PDSI-Nursing Long Term Placements,Nursing Care - Independent Sector,14201,05/10/2023,,13048.72,STOCKS HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,23/10/2023,,5988.08,STOCKS HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,30/10/2023,,53502.48,STOCKS HOMECARE LTD,
12,12,LD-Domiciliary Care,Domicilliary Care - Independent Sector,14204,30/10/2023,,165.76,STOCKS HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Respite- Independent Sector,14215,30/10/2023,,207.2,STOCKS HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,30/10/2023,,2900.8,STOCKS HOMECARE LTD,
12,12,PDSI-Domiciliary Care,Domicilliary Care - Independent Sector,14204,30/10/2023,,33390.28,STOCKS HOMECARE LTD,
12,12,PDSI-Domiciliary Care,Domicilliary Respite- Independent Sector,14215,30/10/2023,,103.6,STOCKS HOMECARE LTD,
12,12,PDSI-Domiciliary Care,Domicilliary Care - Independent Sector,14204,30/10/2023,,725.2,STOCKS HOMECARE LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2599.32,BLACKBURN CARE HOMES LTD,
12,12,OP-Residential Long Term Placements,Residential Care - Independent Sector,14202,05/10/2023,,2950.96,BLACKBURN CARE HOMES LTD,
12,12,OP-Residential Discharge Support,Residential Care - Independent Sector,14202,06/10/2023,,3785.4,BLACKBURN CARE HOMES LTD,
12,12,LD-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,1670.24,GINGER HOMECARE LTD,
12,12,PDSI-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,7459.52,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,4267.6,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,12547.68,GINGER HOMECARE LTD,
12,12,PDSI-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,3487.68,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Discharge Support,Domicilliary Care - Independent Sector,14204,13/10/2023,,504,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,2016,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Care,Domicilliary Care - Independent Sector,14204,13/10/2023,,2236.08,GINGER HOMECARE LTD,
12,12,OP-Domiciliary Discharge Support,Domicilliary Care - Independent Sector,14204,13/10/2023,,360,GINGER HOMECARE LTD,
