* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Vehicle Purchase,45111,31042.03,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Training Expenses (External),45111,2350,ACT NOW TRAINING LTD
Training Expenses (External),45111,2150,ACT NOW TRAINING LTD
Training Expenses (External),45111,13200,THE ATACC GROUP
Police - Health & Safety - Occ Health,45111,877.25,AERO HEALTHCARE
Training Expenses (External),45111,16504,SCOTTISH POLICE AUTHORITY
Equipment General,45111,563.95,SCENESAFE
Equipment General,45111,579.04,SCENESAFE
ICT Stock / Stores,45111,2551.7,SCC
Consultant Fees,45111,4807,REED SPECIALIST RECRUITMENT LTD
Police Reactive Maintenance - Building Fabric,45111,614,RED ROSE BUILDING MAINTENANCE
Consultant Fees,45111,2640,POTENTIAL UNEARTHED LTD
Training Expenses (External),45111,908,NDORS TRAINER
Equipment General,45111,520.8,MILLERS UK LTD
Equipment General,45111,1045.78,MILLERS UK LTD
Clothing & Uniform,45111,1695,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45111,928.9,MICHAEL LUPTON ASSOCIATES LTD
Training Expenses (External),45111,3647.56,MERSEYSIDE POLICE AUTHORITY
Police - Authority Services - Actuarial,45111,1300,MERCER LTD
Police - Horse Expenses,45111,1023.36,ANIMAL RELATED SERVICES
Audit Fees (External),45111,7546.25,GRANT THORNTON UK LLP
Conference Expenses,45111,1394,GHS ENTERPRISE LTD
Conference Expenses,45111,1100,GHS ENTERPRISE LTD
Vehicle & Plant R&M (External),45111,531.71,AP FLEET SERVICES LTD
Police - Other Third Party Payments,45111,2817.18,CLARETS IN THE COMMUNITY LTD
Police - Other Third Party Payments,45111,2970,CLARETS IN THE COMMUNITY LTD
Computer Hardware,45111,11477.52,CDW UK LTD
Hire of Transport,45111,522,CAR-PORT UK
Hire of Transport,45111,4437,CAR-PORT UK
PCC Commissioning - Public Protection,45111,2207.5,BLACKPOOL COUNCIL
Hire of Transport,45111,522.48,ARNOLD CLARK CAR & VAN RENTAL
