* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Computer Licences,45170,1696.8,XMA LTD,451701696.8XMA LTD,451701696.8XMA LTD,1
Vehicle Purchase,45170,28015.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,5
Vehicle Purchase,45170,28015.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,5
Vehicle Purchase,45170,28015.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,5
Vehicle Purchase,45170,28015.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,5
Vehicle Purchase,45170,28015.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,4517028015.4VOLKSWAGEN GROUP UNITED KINGDOM LTD,5
Catering Service (External),45170,937.67,TURNER PRICE LTD,45170937.67TURNER PRICE LTD,45170937.67TURNER PRICE LTD,1
Catering Service (External),45170,1532.06,TURNER PRICE LTD,451701532.06TURNER PRICE LTD,451701532.06TURNER PRICE LTD,1
Catering Service (External),45170,925.43,TURNER PRICE LTD,45170925.43TURNER PRICE LTD,45170925.43TURNER PRICE LTD,1
Clothing & Uniform,45170,1562.05,TRY & LILLY LTD,451701562.05TRY & LILLY LTD,451701562.05TRY & LILLY LTD,1
Police - Settlements - Staff,45170,12000,THIRD PARTY SUPPLIER,4517012000THIRD PARTY SUPPLIER,4517012000THIRD PARTY SUPPLIER,1
Equipment General,45170,4123.72,THIRD PARTY SUPPLIER,451704123.72THIRD PARTY SUPPLIER,451704123.72THIRD PARTY SUPPLIER,1
Computer Maintenance,45170,319587.63,THIRD PARTY SUPPLIER,45170319587.63THIRD PARTY SUPPLIER,45170319587.63THIRD PARTY SUPPLIER,1
Police - FSS,45170,34589.43,THIRD PARTY FORENSIC SERVICES,4517034589.43THIRD PARTY FORENSIC SERVICES,4517034589.43THIRD PARTY FORENSIC SERVICES,1
Police - FSS,45170,4830.94,THIRD PARTY FORENSIC SERVICES,451704830.94THIRD PARTY FORENSIC SERVICES,451704830.94THIRD PARTY FORENSIC SERVICES,1
Training Expenses (External),45170,895,THE KNOWLEDGE ACADEMY LTD,45170895THE KNOWLEDGE ACADEMY LTD,45170895THE KNOWLEDGE ACADEMY LTD,1
Police - Health & Safety - Occ Health,45170,5600,ST JAMES MEDICAL CENTRE,451705600ST JAMES MEDICAL CENTRE,451705600ST JAMES MEDICAL CENTRE,1
Equipment General,45170,500,SELECTAMARK SECURITY SYSTEMS PLC,45170500SELECTAMARK SECURITY SYSTEMS PLC,45170500SELECTAMARK SECURITY SYSTEMS PLC,1
Police Reactive Maintenance - Building Services,45170,968.75,SECURITY SOLUTIONS,45170968.75SECURITY SOLUTIONS,45170968.75SECURITY SOLUTIONS,1
Police Reactive Maintenance - Building Services,45170,1131.13,SECURITY SOLUTIONS,451701131.13SECURITY SOLUTIONS,451701131.13SECURITY SOLUTIONS,1
Police - Scientific Support Equipment,45170,1043.52,SCENESAFE,451701043.52SCENESAFE,451701043.52SCENESAFE,1
ICT Stock / Stores,45170,1028.1,SCC,451701028.1SCC,451701028.1SCC,1
Postage & Carriage,45170,571.4000000000001,SCC,45170571.4SCC,45170571.4SCC,1
Computer Equipment (Hardware),45170,26281.66,SCC,4517026281.66SCC,4517026281.66SCC,1
Consultant Fees,45170,7085.1,REED SPECIALIST RECRUITMENT LTD,451707085.1REED SPECIALIST RECRUITMENT LTD,451707085.1REED SPECIALIST RECRUITMENT LTD,2
Consultant Fees,45170,6270,REED SPECIALIST RECRUITMENT LTD,451706270REED SPECIALIST RECRUITMENT LTD,451706270REED SPECIALIST RECRUITMENT LTD,1
Consultant Fees,45170,7085.1,REED SPECIALIST RECRUITMENT LTD,451707085.1REED SPECIALIST RECRUITMENT LTD,451707085.1REED SPECIALIST RECRUITMENT LTD,2
Works Fees (External),45170,3067.56,REED SPECIALIST RECRUITMENT LTD,451703067.56REED SPECIALIST RECRUITMENT LTD,451703067.56REED SPECIALIST RECRUITMENT LTD,1
Works Fees (External),45170,5460.12,REED SPECIALIST RECRUITMENT LTD,451705460.12REED SPECIALIST RECRUITMENT LTD,451705460.12REED SPECIALIST RECRUITMENT LTD,1
Works Fees (External),45170,4702.5,REED SPECIALIST RECRUITMENT LTD,451704702.5REED SPECIALIST RECRUITMENT LTD,451704702.5REED SPECIALIST RECRUITMENT LTD,1
Consultant Fees,45170,2508,REED SPECIALIST RECRUITMENT LTD,451702508REED SPECIALIST RECRUITMENT LTD,451702508REED SPECIALIST RECRUITMENT LTD,1
Police - Vehicle Workshop Parts,45170,762.12,PRESTON TPS (TRADING PARTS SPECIALIST),45170762.12PRESTON TPS (TRADING PARTS SPECIALIST),45170762.12PRESTON TPS (TRADING PARTS SPECIALIST),1
Clothing & Uniform,45170,2005.09,PORTWEST CLOTHING LTD,451702005.09PORTWEST CLOTHING LTD,451702005.09PORTWEST CLOTHING LTD,1
Police - Waste Collection Charges - Clinical,45170,801.18,PHS GROUP PLC,45170801.18PHS GROUP PLC,45170801.18PHS GROUP PLC,1
Police - Vehicle Workshop Parts,45170,663.43,PARTS PLUS,45170663.43PARTS PLUS,45170663.43PARTS PLUS,1
Agency Staff,45170,1332.38,OCCUPATIONAL HEALTH STAFFING LTD,451701332.38OCCUPATIONAL HEALTH STAFFING LTD,451701332.38OCCUPATIONAL HEALTH STAFFING LTD,1
Other Expenses,45170,1429.98,NORTH WEST VENDING LTD,451701429.98NORTH WEST VENDING LTD,451701429.98NORTH WEST VENDING LTD,1
Police - Counsel Fees,45170,650,MR NICHOLAS FLANAGAN,45170650MR NICHOLAS FLANAGAN,45170650MR NICHOLAS FLANAGAN,1
Police - Counsel Fees,45170,875,MISS CHELSEA BROOKE WARD,45170875MISS CHELSEA BROOKE WARD,45170875MISS CHELSEA BROOKE WARD,1
Clothing & Uniform,45170,917,MICHAEL LUPTON ASSOCIATES LTD,45170917MICHAEL LUPTON ASSOCIATES LTD,45170917MICHAEL LUPTON ASSOCIATES LTD,1
Clothing & Uniform,45170,4170.72,ALTBERG LTD,451704170.72ALTBERG LTD,451704170.72ALTBERG LTD,1
Electricity,45170,621.97,HEYSHAM PORTS LTD,45170621.97HEYSHAM PORTS LTD,45170621.97HEYSHAM PORTS LTD,1
Clothing & Uniform,45170,1583.3,HEROQUIP,451701583.3HEROQUIP,451701583.3HEROQUIP,1
Police - Promotional Materials,45170,1000,HECKFORD PRINTERS LTD,451701000HECKFORD PRINTERS LTD,451701000HECKFORD PRINTERS LTD,1
Police - Other Investigative Expenses,45170,1680.54,FOUNDRY CHAMBERS,451701680.54FOUNDRY CHAMBERS,451701680.54FOUNDRY CHAMBERS,1
Police - Mobile Data,45170,5750.31,EVERYTHING EVERYWHERE LTD,451705750.31EVERYTHING EVERYWHERE LTD,451705750.31EVERYTHING EVERYWHERE LTD,1
Police - Mobile Data,45170,6213.76,EVERYTHING EVERYWHERE LTD,451706213.76EVERYTHING EVERYWHERE LTD,451706213.76EVERYTHING EVERYWHERE LTD,1
