﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-DEC-2024,C&FS (P),VisionAid Technologies Ltd,TRADE SUPPLIER,4601-IT Equipment Hardware,"£2,721.75"
06-DEC-2024,Adults & Communities (P),FREEDOM ACTIVE LTD&&CLCD3320,CLC,5504-Day/CLC Services,£873.12
06-DEC-2024,Adults & Communities (P),ASQUITH HALL(TRIBUTARY LTD)&&SSARO7580,S/S HOMES,5501-Nursing,"£12,589.72"
06-DEC-2024,Adults & Communities (P),BADBY PARK LTD&&SSARO3105,S/S HOMES,8406-Residential - NHS Income,"£2,547.08"
06-DEC-2024,Adults & Communities (P),BADBY PARK LTD&&SSARO3105,S/S HOMES,5502-Residential,"£9,339.28"
06-DEC-2024,Adults & Communities (P),HC ONE LTD RE BEAUVALE CARE HOME&&SSAROE48787,S/S HOMES,5502-Residential,"£3,438.32"
06-DEC-2024,Adults & Communities (P),IDEAL CAREHOMES LTD&&SSARO6889,S/S HOMES,5502-Residential,"£12,628.57"
06-DEC-2024,Adults & Communities (P),KAPIL CARE HOMES LTD T/A CARISBROOKE MANOR&&SSARO9314,S/S HOMES,5502-Residential,"£1,856.23"
06-DEC-2024,Adults & Communities (P),LINDEN CARE HOMES LTD T/A LINDEN LODGE&&SSARO3400,S/S HOMES,5502-Residential,"£2,660.00"
06-DEC-2024,Adults & Communities (P),MAGNOLIA COURT (BARCHESTER HEALTHCARE HOMES LTD&&SARO,S/S HOMES,8406-Residential - NHS Income,"£3,342.85"
06-DEC-2024,Adults & Communities (P),MAGNOLIA COURT (BARCHESTER HEALTHCARE HOMES LTD&&SARO,S/S HOMES,5502-Residential,"£9,514.30"
06-DEC-2024,Adults & Communities (P),OAKDALE CARE HOMES NO 1 LTD T/A KINGFISHER COURT&&SSARO3386,S/S HOMES,5502-Residential,"£1,675.00"
06-DEC-2024,Adults & Communities (P),ORDERS OF ST JOHN CARE TRUST&&SSARO5963,S/S HOMES,5502-Residential,"£1,610.71"
06-DEC-2024,Adults & Communities (P),SHANKAR LEICESTER LTD T/A LONGCLIFFE NURSING HOME&&SSAROE40225,S/S HOMES,5502-Residential,"£1,140.00"
06-DEC-2024,Adults & Communities (P),SHANKAR LEICESTER LTD T/A LONGCLIFFE NURSING HOME&&SSAROE40225,S/S HOMES,5502-Residential,"£14,478.00"
13-DEC-2024,C&FS (P),Bleep 360 Care Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£1,505.00"
20-DEC-2024,Chief Executives (P),WasteCare Ltd,TRADE SUPPLIER,4507-Consultants & Specialists,"£2,158.10"
20-DEC-2024,Environment & Transport (P),Whats The Message Ltd,TRADE SUPPLIER,1703-Training Expenses,£795.00
23-DEC-2024,C&FS (P),Alderman Richard Hallam Primary School,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£15,000.00"
23-DEC-2024,Environment & Transport (P),Shearsby Parish Council,OTHER LOCAL AUTHORITIES,4901-Other Expenditure,£645.51
27-DEC-2024,Adults & Communities (P),Rosywood Group,GENERAL,5502-Residential,"£7,763.98"
31-DEC-2024,Adults & Communities (P),Rosywood Group,GENERAL,5502-Residential,"£8,500.00"
02-DEC-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,"£1,105.20"
02-DEC-2024,Balance Sheet Cost Centres (P),Appletree Homes Leicester Ltd,TRADE SUPPLIER,9722-Creditor Balances,"£1,555.30"
02-DEC-2024,Environment & Transport (P),Bennie Equipment Ltd,TRADE SUPPLIER,5411-Private Contractors - General,£710.97
02-DEC-2024,Balance Sheet Cost Centres (P),Cadeby Homes Ltd,TRADE SUPPLIER,9722-Creditor Balances,"£3,251.00"
02-DEC-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,692.00"
02-DEC-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,376.40"
02-DEC-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£735.00
02-DEC-2024,C&FS (P),Daystar Care Services Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,£937.50
02-DEC-2024,C&FS (P),Diversity Social Care Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,"£2,493.75"
02-DEC-2024,Environment & Transport (P),Duncan Dearden Agricultural Contractor,TRADE SUPPLIER,4507-Consultants & Specialists,£561.27
02-DEC-2024,Adults & Communities (P),Exceptional Support Services Ltd,TRADE INDIVIDUAL,5411-Private Contractors - General,"£3,506.45"
02-DEC-2024,Environment & Transport (P),Generation Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,020.00"
02-DEC-2024,Environment & Transport (P),Keyline Civils Specialist Ltd,TRADE SUPPLIER,4109-Materials,"£1,178.50"
02-DEC-2024,Corporate Resources (CR) (P),LCC Central Imprest Account,GENERAL,9666-Cash - Imprests,"£8,083.00"
02-DEC-2024,Balance Sheet Cost Centres (P),LCC Customer Rep Direct Payments A/C,OTHER LOCAL AUTHORITIES,9668-Cash - Floats,"£2,445.00"
02-DEC-2024,Balance Sheet Cost Centres (P),Lockington & Hemington Parish Council,TRADE SUPPLIER,9722-Creditor Balances,"£13,560.30"
02-DEC-2024,Environment & Transport (P),Midland Quarry Products Ltd,TRADE SUPPLIER,4109-Materials,£891.11
02-DEC-2024,Corporate Resources (CR) (P),Milner Forestry,TRADE SUPPLIER,2201-Energy Oil & Solid Fuel,"£1,059.00"
02-DEC-2024,Corporate Resources (CR) (P),Milner Forestry,TRADE SUPPLIER,2201-Energy Oil & Solid Fuel,"£10,982.30"
02-DEC-2024,Corporate Resources (CR) (P),Oliveti Construction Ltd,SUBCONTRACTOR,2105-Reactive Maintenance M&E,"£1,419.43"
02-DEC-2024,Corporate Resources (CR) (P),Oliveti Construction Ltd,SUBCONTRACTOR,2105-Reactive Maintenance M&E,£912.24
02-DEC-2024,Corporate Resources (CR) (P),Oliveti Construction Ltd,SUBCONTRACTOR,2106-Reactive Maint Buildings,"£1,716.20"
02-DEC-2024,Environment & Transport (P),P S TAXIS LTD,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,743.00"
02-DEC-2024,Environment & Transport (P),P&P Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£799.95
02-DEC-2024,Adults & Communities (P),Peters Ltd,TRADE SUPPLIER,4111-Books & Audio Visual,£556.42
02-DEC-2024,Adults & Communities (P),Peters Ltd,TRADE SUPPLIER,4111-Books & Audio Visual,"£1,053.28"
02-DEC-2024,Environment & Transport (P),Premier Taxis Leicester Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,700.00"
02-DEC-2024,Environment & Transport (P),Premier Taxis Leicester Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,368.00"
02-DEC-2024,Balance Sheet Cost Centres (P),Reed Specialist Recruitment Ltd,TRADE SUPPLIER,9728-Control Accounts (Current Liability),"£240,736.81"
02-DEC-2024,Adults & Communities (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,5443-Agency & Contracted Services,"£4,674.00"
02-DEC-2024,Balance Sheet Cost Centres (P),Snowdon Homes Ltd,NON TRADE,9722-Creditor Balances,"£26,985.37"
02-DEC-2024,Environment & Transport (P),Viking Coaches,TRADE SUPPLIER,3112-Home to Sch Trans Contract Buses Prim,"£37,226.35"
03-DEC-2024,Capital - In Year Spend (P),A & R Rothen Ltd,TRADE SUPPLIER,941D-L&B - Building Costs,"£1,181.16"
03-DEC-2024,C&FS (P),Acorn Care & Education Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£7,583.37"
03-DEC-2024,C&FS (P),Acorn Care & Education Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£7,583.33"
03-DEC-2024,C&FS (P),Acorn Care & Education Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£7,583.33"
03-DEC-2024,C&FS (P),Acorn Care & Education Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£4,802.78"
03-DEC-2024,Corporate Resources (CR) (P),AF Blakemore & Son Ltd T/A Blakemore Food Service Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£38,637.94"
03-DEC-2024,C&FS (P),Anstey Martin High Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Corporate Resources (CR) (P),Blaby District Council,OTHER LOCAL AUTHORITIES,2311-Rates,£793.00
03-DEC-2024,C&FS (P),Bosworth Academy (Life Multi Academy Trust),GENERAL,6101-Support Services,£625.00
03-DEC-2024,C&FS (P),Brownlow School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Care Today Children Services,GENERAL,6101-Support Services,£600.00
03-DEC-2024,C&FS (P),Cedars Academy Lionheart Academies Trust,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Environment & Transport (P),Cemex UK Materials Ltd,TRADE SUPPLIER,4109-Materials,£592.52
03-DEC-2024,Corporate Resources (CR) (P),Charnwood Borough Council,OTHER LOCAL AUTHORITIES,2311-Rates,"£1,565.00"
03-DEC-2024,Environment & Transport (P),Coalville CAN Ltd,TRADE SUPPLIER,4908-Grants,"£2,238.00"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,177.86"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,177.86"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,606.43"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,285.00"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,606.43"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£3,606.43"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,177.86"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,177.86"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,820.71"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,606.43"
