PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
04-Nov-24,C&FS (P),Flourish with Phoenix,NON TRADE,5429-Community/Domiciliary,£634.50
06-Nov-24,Corporate Resources (CR) (P),Midland Foods Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£16,464.23"
06-Nov-24,Corporate Resources (CR) (P),Midland Foods Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£9,127.83"
06-Nov-24,Corporate Resources (CR) (P),Midland Foods Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£3,098.06"
07-Nov-24,C&FS (P),Kesteven and Grantham Girls School,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£50,000.00"
08-Nov-24,Capital - In Year Spend (P),Eric Wright Civil Engineering Ltd,TRADE SUPPLIER,944A-Infr - Infrastructure Exp,"£1,165,833.90"
08-Nov-24,C&FS (P),Glebe House (Charnwood) Ltd     1,TRADE SUPPLIER,5429-Community/Domiciliary,"£7,869.00"
08-Nov-24,C&FS (P),Glebe House (Charnwood) Ltd     1,TRADE SUPPLIER,5429-Community/Domiciliary,"£6,771.00"
11-Nov-24,C&FS (P),Bleep 360 Care Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£2,080.00"
12-Nov-24,C&FS (P),Childrens Hospital School,OTHER LOCAL AUTHORITIES,5411-Private Contractors - General,"£2,689.32"
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,330.00"
13-Nov-24,Balance Sheet Cost Centres (P),Liquid Personnel Ltd,TRADE SUPPLIER,9641-Debtors Control,"£15,174.00"
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,£570.00
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,£570.00
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,405.00"
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,405.00"
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£2,810.00"
13-Nov-24,C&FS (P),Liquid Personnel Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,405.00"
