﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
07-OCT-2024,Adults & Communities (P),Hampshire County Council,TRADE SUPPLIER,4102-General Equipment - Purchase & Repairs,"£131,500.00"
07-OCT-2024,Corporate Resources (CR) (P),George Walker Tree Care Ltd,SUBCONTRACTOR,5443-Agency & Contracted Services,"£24,846.45"
08-OCT-2024,Balance Sheet Cost Centres (P),Virgin Media Ltd     2,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,"£2,259.56"
11-OCT-2024,C&FS (P),Caldecote Community Primary School,OTHER LOCAL AUTHORITIES,5323-External SEN Providers Independent Sch,"£14,850.00"
11-OCT-2024,Environment & Transport (P),Route One Infrastructure Ltd,TRADE SUPPLIER,4901-Other Expenditure,"£7,144.34"
11-OCT-2024,Adults & Communities (P),BABA SAWAN LODGE LTD&&SSARO6451,S/S HOMES,5502-Residential,"£15,469.74"
11-OCT-2024,Adults & Communities (P),ELCOMBE HOUSE(ST ANDREWS CARE HOMES LTD)&&SARO7294,S/S HOMES,5502-Residential,"£1,487.14"
11-OCT-2024,Adults & Communities (P),PINE VIEW CARE HOMES LTDT/A SILVER BIRCHES&&SSAROE40412,S/S HOMES,5502-Residential,"£1,940.43"
11-OCT-2024,Adults & Communities (P),WESTROYD HOUSE COUNTY HEALTH CARE&&SSAROE40326,S/S HOMES,5502-Residential,"£31,383.72"
14-OCT-2024,C&FS (P),Diverse Academies Trust T/A East Leake Academy,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£10,000.00"
18-OCT-2024,C&FS (P),Favour Health Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£1,917.58"
18-OCT-2024,Public Health (P),Midlands Partnership NHS Foundation Trust,TRADE SUPPLIER,5211-Other Local Authorities,"£1,400.00"
25-OCT-2024,Adults & Communities (P),Click Netherfield Ltd,TRADE SUPPLIER,"4501-Exhibitions, Displays, Events & Performances","£1,120.00"
