PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT)
03/07/2023,1GC Family Law,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,1750
03/07/2023,Access for Living,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,100510.62
03/07/2023,Access for Living,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,20321.44
03/07/2023,Advantage Healthcare Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,292.56
03/07/2023,Almond Care Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,1922.3
03/07/2023,Almond Care Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,1922.3
03/07/2023,Almond Care Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,1922.3
03/07/2023,Alphatrack Systems Ltd,LH M & E WORKS,HRA HOUSING MANAGEMENT DIVISION,SECURITY OF PREMISES,605.71
03/07/2023,Alphatrack Systems Ltd,LH RECOVERIES,HRA HOUSING MANAGEMENT DIVISION,SECURITY OF PREMISES,395
03/07/2023,Redacted,CLA PLACEMENTS ,CORPORATE PARENTING,FOSTERING PAYMENTS INCLUDING (CONNECTED CARERS),-322.54
03/07/2023,Anahita Rehabilitation Centre Ltd Liability Partnership,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2203.17
03/07/2023,Anahita Rehabilitation Centre Ltd Liability Partnership,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2657.01
03/07/2023,Anahita Rehabilitation Centre Ltd Liability Partnership,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,3321.34
03/07/2023,Anahita Rehabilitation Centre Ltd Liability Partnership,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2767.99
