BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
144577      ,Herrick Fire Ltd              ,0.004                 ,1,"3,414.75",PROFESSIONAL FEES ENFORCEMENT           ,08/01/2024,"3,414.75",General Counsel,Legal Services
180124K1    ,Sharon Davidson               ,1                     ,1,570.00,CONSULTANTS                             ,25/01/2024,570.00,Communications,Consultancy
150124B     ,ONE STOP LANGUAGE SERVICES LTD,21                    ,1,395.70,CONSULTANTS                             ,29/01/2024,395.70,Fire Stations (North East),Consultancy
020124K     ,TONIC CONSULTANTS LTD         ,56                    ,1,"14,895.00",GENERAL                                 ,08/01/2024,"14,895.00",Protection Board,Consultancy
150124B     ,CINNAMON LEAF LTD             ,140                   ,1,500.00,CONSULTANTS                             ,18/01/2024,500.00,People Services,Consultancy
144577      ,MR MICHAEL DOUGHERTY          ,213                   ,1,"1,960.00",LEGAL PROFESSIONAL FEES-GENERL          ,08/01/2024,"1,960.00",Grenfell Investigation Legal Costs,Legal Services
144577      ,MR MICHAEL DOUGHERTY          ,214                   ,1,560.00,LEGAL PROFESSIONAL FEES-GENERL          ,08/01/2024,560.00,Grenfell Investigation Legal Costs,Legal Services
150124PE    ,Ambient People Limited        ,0000000645            ,1,"3,021.00",FRS STAFF AGENCY                        ,22/01/2024,"3,021.00",Finance Services,Human Resources
150124PF    ,Ambient People Limited        ,0000000676            ,1,"3,021.00",FRS STAFF AGENCY                        ,22/01/2024,"3,021.00",Finance Services,Human Resources
150124PG    ,Ambient People Limited        ,0000000677            ,1,"9,849.60",FRS STAFF AGENCY                        ,22/01/2024,"9,849.60",Finance Services,Human Resources
150124PH    ,Ambient People Limited        ,0000000719            ,1,"3,021.00",FRS STAFF AGENCY                        ,22/01/2024,"3,021.00",Finance Services,Human Resources
181223K1    ,Ambient People Limited        ,0000000788            ,1,"3,021.00",FRS STAFF AGENCY                        ,08/01/2024,"3,021.00",Finance Services,Human Resources
150124PI    ,Ambient People Limited        ,0000000829            ,1,"3,021.00",FRS STAFF AGENCY                        ,22/01/2024,"3,021.00",Finance Services,Human Resources
030124P     ,Pullman Motors Engineering    ,893                   ,1,800.00,OPERATIONAL EQUIP-PURCHASE              ,08/01/2024,800.00,Procurement,Fire & Rescue
030124P     ,Pullman Motors Engineering    ,896                   ,1,500.00,OPERATIONAL EQUIP-PURCHASE              ,08/01/2024,500.00,Procurement,Fire & Rescue
090124B     ,Pullman Motors Engineering    ,898                   ,1,400.00,OPERATIONAL EQUIP-PURCHASE              ,15/01/2024,400.00,Procurement,Fire & Rescue
090124B     ,Pullman Motors Engineering    ,900                   ,1,350.00,OPERATIONAL EQUIP-PURCHASE              ,15/01/2024,350.00,Procurement,Fire & Rescue
230124L     ,C P GREGORY & ASSOCIATES LTD  ,976                   ,1,295.00,CULTURAL CHANGE & TALENT                ,29/01/2024,850.00,Central Fire Safety,Human Resources
230124L     ,C P GREGORY & ASSOCIATES LTD  ,976                   ,2,295.00,CULTURAL CHANGE & TALENT                ,29/01/2024,,Central Fire Safety,Human Resources
230124L     ,C P GREGORY & ASSOCIATES LTD  ,976                   ,3,260.00,CULTURAL CHANGE & TALENT                ,29/01/2024,,Central Fire Safety,Human Resources
110124K     ,Women in the Fire Service UK  ,1105                  ,1,"1,000.00",PROFESSIONAL DEVELOPMENT                ,18/01/2024,"1,000.00",Training and Professional Development,Human Resources
080124K     ,ACE VEHICLE SERVICES LIMITED  ,1269                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (South West),Fire & Rescue
050124K1    ,ACE VEHICLE SERVICES LIMITED  ,1270                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (South West),Fire & Rescue
050124K1    ,ACE VEHICLE SERVICES LIMITED  ,1271                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (North East),Fire & Rescue
050124K1    ,ACE VEHICLE SERVICES LIMITED  ,1272                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (North East),Fire & Rescue
050124K1    ,ACE VEHICLE SERVICES LIMITED  ,1273                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (South West),Fire & Rescue
050124K2    ,ACE VEHICLE SERVICES LIMITED  ,1274                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (South West),Fire & Rescue
050124K2    ,ACE VEHICLE SERVICES LIMITED  ,1275                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,11/01/2024,335.00,Fire Stations (North East),Fire & Rescue
