BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1,ID GLAC EXP
310523P     ,Heritage Digital Limited      ,973                   ,1,"2,254.00",GENERAL                                 ,05/06/2023,"2,254.00",Communications,Consultancy,A84511RR89                                   
010323K     ,ACE VEHICLE SERVICES LIMITED  ,994                   ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/06/2023,335.00,Fire Stations (North East),Fire & Rescue,F14061CC21                                   
140623P     ,Esther Manito                 ,1641                  ,1,500.00,ACCOMMODATION BOOKINGS                  ,19/06/2023,500.00,People Services,Human Resources,A33523PP03                                   
260523B     ,Fane Productions Limited      ,2136                  ,1,"5,600.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"5,600.00",People Services,Human Resources,A31667PP03                                   
080623L     ,DMC PRODUCTS AND MARKETING    ,2543                  ,1,"1,839.00",OPERATIONAL EQUIP-PURCHASE              ,15/06/2023,"1,839.00",Procurement,Fire & Rescue,F14061PP32                                   
300523B     ,THE WINDSOR LEADERSHIP TRUST  ,3037                  ,1,"4,947.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"4,947.00",People Services,Human Resources,A31667PP03                                   
300523B     ,THE WINDSOR LEADERSHIP TRUST  ,3042                  ,1,"6,468.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"6,468.00",People Services,Human Resources,A31667PP03                                   
144424      ,KNAPP RICHARDSON LIMITED      ,4262                  ,1,296.00,OTHER EXPERTS FEES                      ,05/06/2023,296.00,Compensation Budgets,Legal Services,A61836RR64                                   
144424      ,KNAPP RICHARDSON LIMITED      ,4279                  ,1,740.00,OTHER EXPERTS FEES                      ,05/06/2023,740.00,Compensation Budgets,Legal Services,A61836RR64                                   
130623L     ,Beckett Rankine Ltd           ,4370                  ,1,"1,887.55",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"1,887.55",Property Department,Consultancy,YBZ053DO03                                   
130623L     ,Beckett Rankine Ltd           ,4371                  ,1,"12,088.00",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"12,088.00",Property Department,Consultancy,YBZ053DO03                                   
130623L     ,Beckett Rankine Ltd           ,4372                  ,1,"8,363.20",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"8,363.20",Property Department,Consultancy,YBZ053DO03                                   
144445      ,KNAPP RICHARDSON LIMITED      ,4394                  ,1,"2,515.00",LEGAL PROFESSIONAL FEES-GENERL          ,15/06/2023,"2,515.00",Grenfell Investigation Legal Costs,Legal Services,F14521SS14                                   
