Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101035528,44720,NEXT ENERGY SOLUTIONS LIMITED,880
Children & Young Peo,R&M - Building Works,R&M Technical Support,5101035532,44720,JOHN ADDLEY LTD,570
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1905500076,44798,PROSPERO GROUP LTD,8500.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905507774,44804,****REDACTED PERSONAL INFO****,791.16
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101043135,44804,ENGLISH TABLE TENNIS ASSOCIATION,570.83
City Development,Project Funding,General Services Expenses,5101049956,44876,FIRST FOOTSTEPS LTD,2160
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101051284,44890,SORBUS INTERNATIONAL LTD,555
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905622372,44895,****REDACTED PERSONAL INFO****,-903.75
Capital Regen,Capital Regen,Main contract,5101053124,44909,DOWHIGH LTD,169311.04
Neighbourhoods,"Alarms, CCTV, etc",Security & Insurance,5101053658,44915,MARLOWE FIRE & SECURITY LTD,2100
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101055740,44944,INSIGHT DIRECT (UK) LIMITED,12027.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905689861,44950,****REDACTED PERSONAL INFO****,-630
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905689862,44950,****REDACTED PERSONAL INFO****,-630
Finance & Resources,Cash Collection,General Services Expenses,5101056386,44951,G4S CASH SERVICES (UK) LTD,-4942.79
Chief Operating Offi,Software (General),Computing,5101056420,44952,PHOENIX SOFTWARE LTD,8376.86
Finance & Resources,Cash Collection,General Services Expenses,5101056436,44952,G4S CASH SERVICES (UK) LTD,4825.51
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905701473,44958,ROBY HOUSE- HC-ONE,3069.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905701474,44958,ROBY HOUSE- HC-ONE,2041.44
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905701476,44958,ROBY HOUSE- HC-ONE,947.81
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905701475,44958,ROBY HOUSE- HC-ONE,-8852.25
Neighbourhoods,Events,General Services Expenses,5101057386,44960,ANDY BOUNDS LTD,2000
Chief Operating Offi,IT Equip&Comm-Maint,Computing,5101057424,44961,INSIGHT DIRECT (UK) LIMITED,72554.86
Chief Operating Offi,Software (General),Computing,5101057547,44963,PHOENIX SOFTWARE LTD,7137.83
Adult Services & Hea,Private Contractors,Agency & Contract Services,1700046890,44972,THE HUMAN SUPPORT GROUP,-17968.92
Chief Operating Offi,Training (General),Indirect Employee Expenses,5101058947,44978,BA TRAINING SOLUTIONS LTD,895
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905725087,44978,****REDACTED PERSONAL INFO****,-630
City Development,Software (General),Computing,5101059489,44984,BYTES SOFTWARE SERVICES,9044.28
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101059476,44984,PHONAK UK LTD,1628.4
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101059705,44985,OLSEN HOUSE SCHOOL,2619.84
City Development,R&M - Building Works,R&M Technical Support,5101059627,44985,LEYMAC ENGINEERING SERVICES LTD,-1757.8
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101059791,44986,NETWORK INSTALLATION SOLUTIONS LTD,10600
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905736517,44986,ROBY HOUSE- HC-ONE,1863.78
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101059789,44986,NETWORK INSTALLATION SOLUTIONS LTD,1475
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905736519,44986,ROBY HOUSE- HC-ONE,1166.54
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905736518,44986,ROBY HOUSE- HC-ONE,-4301.61
Chief Operating Offi,Software (General),Computing,5101059868,44987,HITEC (LABORATORIES) LTD,30003.61
City Law & Governanc,Consultancy,Professional Fees,5101059886,44987,CIVICA UK LTD - DUDLEY,6500
Neighbourhoods,Vol Non Profit Orgs,Agency & Contract Services,1905742375,44991,NEW START LTD,31926.5
Neighbourhoods,Charitable Organisti,Agency & Contract Services,1905742374,44991,SALVATION ARMY HOUSING ASSOCIATION,27144.86
City Development,Events,General Services Expenses,5101060217,44991,WORDSCAPE LTD,18890
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101060213,44991,QUALITY EDUCATION WITH CARE LTD,4583.33
City Development,Events,General Services Expenses,5101060234,44991,LIVERPOOL LEARNING PARTNERSHIP,3000
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101060192,44991,INSIGHT DIRECT (UK) LIMITED,699.4
Chief Operating Offi,IT Equip&Comm-Maint,Computing,5101060192,44991,INSIGHT DIRECT (UK) LIMITED,39.96
