Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Misc. Expenses - Gen,General Services Expenses,5101045676,44834,LIVERPOOL STREETSCENE SERVICES LIMI,6643
Capital Regen,Capital Regen,Misc- General,5101045675,44834,LIVERPOOL STREETSCENE SERVICES LIMI,1420
Neighbourhoods,Electricity (General,Energy Costs,1700046366,44911,SCOTTISH POWER LTD,-6702.62
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101058666,44974,K P SUMNER LTD,-990
Neighbourhoods,Publications (Genera,Printing & Office Expenses,5101060966,44999,WARRINGTON BOROUGH COUNCIL,18791
City Development,Events,General Services Expenses,5101061201,45000,ARENA AND CONVENTION CENTRE LIVERPO,883.28
City Development,"Misc Supp, Tool, Equ",General Supplies,5101062058,45007,YORKSHIRE PURCHASING ORGANISATION,509.85
Children & Young Peo,Furniture(Not Office,General Supplies,5101062288,45009,POSTURITE (UK) LTD,549.25
Children & Young Peo,"Misc Supp, Tool, Equ",General Supplies,5101062288,45009,POSTURITE (UK) LTD,278.3
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101062733,45013,OPENING THE BOOK LTD,9962.5
Neighbourhoods,Electricity (General,Energy Costs,1905802349,45035,SCOTTISH POWER LTD,5600
City Development,Events,General Services Expenses,5101065300,45041,BLAKEMORE FOODSERVICE,929.71
City Development,Conference (General),Expenses,5101066282,45051,IN PARTNERSHIP WITH LTD,4890
City Law & Governanc,Furniture(Not Office,General Supplies,5101067749,45065,CHILDWALL TABLE & CHAIR HIRE,2280
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101067977,45068,BLISS RECRUITMENT LTD (QUBA SOLUTIO,8064
City Development,R&M - Building Works,R&M Technical Support,5101067917,45068,SPLASHTACULAR UK LTD,1925
City Development,R&M - Building Works,R&M Technical Support,5101067882,45068,SPLASHTACULAR UK LTD,1890
City Development,R&M - Building Works,R&M Technical Support,5101068008,45069,MASSEY COLDBECK ENGINEERING LTD,1825
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101068859,45082,PROSPERO GROUP LTD,2802
Children & Young Peo,Counsel Fees,Professional Fees,1905864440,45082,****REDACTED PERSONAL INFO****,1500
City Development,R&M - Building Works,R&M Technical Support,5101068878,45082,LEYMAC ENGINEERING SERVICES LTD,1047
Neighbourhoods,Training (General),Indirect Employee Expenses,5101068876,45082,THE RAPID RESULTS COLLEGE LTD,966
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905861289,45082,****REDACTED PERSONAL INFO****,-1766.6
City Development,R&M - Building Works,R&M Technical Support,5101069126,45083,RSM AIR CONDITIONING & REFRIGERATIO,9948
Neighbourhoods,Electricity (General,Energy Costs,1905865551,45083,SCOTTISH POWER LTD,742.66
Chief Operating Offi,Consultancy,Professional Fees,5101069383,45084,KJP UK LTD t/a ONE CONSULTING GROUP,1470
City Development,Events,General Services Expenses,5101069479,45085,MERSEY MEDICAL SERVICES LTD,7112.5
City Development,R&M - Building Works,R&M Technical Support,5101069448,45085,HARCON SERVICES LTD,3215
City Development,R&M - Building Works,R&M Technical Support,5101069449,45085,HARCON SERVICES LTD,2925
City Development,R&M - Building Works,R&M Technical Support,5101069738,45086,LEA BUILDING SERVICES LIMITED,769.5
City Development,R&M - Building Works,R&M Technical Support,5101070111,45090,SPECIALISED CANVAS SERVICES LTD,1658.7
Capital Regen,Capital Regen,Misc- General,5101070088,45090,BROXAP LTD,1034
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905872647,45090,****REDACTED PERSONAL INFO****,-2400
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905872623,45090,****REDACTED PERSONAL INFO****,-4768.55
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101070490,45092,INSIGHT DIRECT (UK) LIMITED,10621.01
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101070873,45097,INSIGHT DIRECT (UK) LIMITED,18872.07
City Development,R&M - Building Works,R&M Technical Support,5101070828,45097,SPECIALISED CANVAS SERVICES LTD,801.3
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101070970,45098,LOCAL SOLUTIONS,6560
City Development,Events,General Services Expenses,5101070902,45098,JOHN SUTCH CRANES LTD,1093
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905882552,45098,****REDACTED PERSONAL INFO****,-2026.5
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101071135,45099,BLISS RECRUITMENT LTD (QUBA SOLUTIO,8314
Capital Regen,Capital Regen,Main contract,5101071130,45099,AECOM LTD,4793.29
City Development,R&M - Building Works,R&M Technical Support,5101071046,45099,MASSEY COLDBECK ENGINEERING LTD,1685
City Development,R&M - Building Works,R&M Technical Support,5101071230,45100,LEA BUILDING SERVICES LIMITED,4260
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101071325,45100,INSIGHT DIRECT (UK) LIMITED,1121.76
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101071282,45100,SEGURO RECRUITMENT LTD,863
City Development,Consultancy,Professional Fees,5101071334,45102,WATER AUDIT SURVEYS LTD,600
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101071348,45103,INSIGHT DIRECT (UK) LIMITED,841.09
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,1700047755,45103,PROSPERO GROUP LTD,-3949.8
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101071595,45104,INSIGHT DIRECT (UK) LIMITED,57464.5
Capital Regen,Capital Regen,Misc- General,5101071630,45104,EA SPACES LTD T/A ENVISAGE ASSOCIAT,9588.21
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905890949,45104,****REDACTED PERSONAL INFO****,-890.35
Capital Regen,Capital Regen,Misc- General,5101071658,45105,BEECHWOOD INDUSTRIES LTD,11910.8
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101071693,45105,VI-SPA EXPERIENCE ROOMS LIMITED,2432
Neighbourhoods,"Alarms, CCTV, etc",Security & Insurance,5101071764,45106,SIEMENS BUILDING TECHNOLOGIES,20750.18
Neighbourhoods,"Alarms, CCTV, etc",Security & Insurance,5101071767,45106,SIEMENS BUILDING TECHNOLOGIES,19357.43
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101071971,45107,SEGURO RECRUITMENT LTD,770
City Development,R&M - Building Works,R&M Technical Support,5101071987,45107,RSM AIR CONDITIONING & REFRIGERATIO,602.76
Capital Regen,Capital Regen,Misc- General,5101072158,45110,MX DISPLAY LTD,1275.84
City Development,R&M - Building Works,R&M Technical Support,5101072153,45110,PHOENIX CONTROL SYSTEMS LTD,1105
Neighbourhoods,Events,General Services Expenses,5101072114,45110,BUZZLOGIC LTD,600
Children & Young Peo,Private Contractors,Agency & Contract Services,5101072275,45111,TORRINGTON DRIVE COMMUNITY ASSOCIAT,9324.36
Chief Operating Offi,Postages (General),Communications,5101072212,45111,ROYAL MAIL,6646.16
Chief Operating Offi,Postages (General),Communications,5101072286,45111,ROYAL MAIL,5192.14
City Development,R&M - Building Works,R&M Technical Support,5101072294,45111,MASSEY COLDBECK ENGINEERING LTD,4989.3
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101072285,45111,LIVERPOOL ROAD SURFACING LTD,4950
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101072382,45111,KAINOS SOFTWARE LTD,4375
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101072264,45111,QUICK STAY PROPERTY SOLUTIONS,3150
Finance & Resources,Consultancy,Professional Fees,5101072381,45111,HAYS SPECIALIST RECRUITMENT LTD,2950
Finance & Resources,ProfessionalServices,Professional Fees,5101072310,45111,HAYS SPECIALIST RECRUITMENT LTD,2331.9
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905900193,45111,****REDACTED PERSONAL INFO****,2115.2
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101072314,45111,OKO MEDICAL LTD,1971.31
Adult Services & Hea,Funerals (General),General Services Exp Social Svs Clients,5101072219,45111,FUNERAL SERVICES LTD - NETHERTON,1706
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101072232,45111,LIVERPOOL STREETSCENE SERVICES LIMI,1500
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905900967,45111,****REDACTED PERSONAL INFO****,1488
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905900186,45111,****REDACTED PERSONAL INFO****,1409.32
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101072392,45111,PHONAK UK LTD,968.63
City Development,R&M - Building Works,R&M Technical Support,5101072379,45111,NTC BUILDING CONTRACTORS LTD,935
City Development,Project Funding,General Services Expenses,5101072340,45111,CRAWFORD HOUSE COMMUNITY PARTNERSHI,850
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905900947,45111,****REDACTED PERSONAL INFO****,658.88
City Development,R&M - Building Works,R&M Technical Support,5101072378,45111,NTC BUILDING CONTRACTORS LTD,650
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905900616,45111,****REDACTED PERSONAL INFO****,-7964.77
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101072405,45112,PENNA PLC,25960
Neighbourhoods,Agency Admin/Cleric,Professional,5101072394,45112,PENNA PLC,16490.5
Adult Services & Hea,Adaptations-Private,General Services Exp Social Svs Clients,5101072558,45112,NTC BUILDING CONTRACTORS LTD,13760
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101072480,45112,NATASHA BE LTD,13071
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101072492,45112,AMBIENT SPAS LTD,12000
City Development,Photocpy/Photog/Prnt,Printing & Office Expenses,5101072557,45112,MOCHA PRODUCTIONS LTD,9997.5
City Law & Governanc,Software (General),Computing,5101072479,45112,CIVICA UK LTD - DUDLEY,6957.5
Children & Young Peo,"Misc Supp, Tool, Equ",General Supplies,5101072462,45112,MAJAS SWITCHGEAR LTD,5580
Capital Regen,Capital Regen,Misc- General,5101072527,45112,LIVERPOOL STREETSCENE SERVICES LIMI,5000
