Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,General Legal Fees,Professional Fees,5101090519,45295,****REDACTED COMMERCIALLY SENSITIVE****,92900
City Development,Misc. Expenses - Gen,General Services Expenses,5101093335,45317,****REDACTED COMMERCIALLY SENSITIVE****,34578
City Development,General Legal Fees,Professional Fees,1906171700,45316,****REDACTED COMMERCIALLY SENSITIVE****,23000
Capital Regen,Capital Regen,Fees,5101092675,45310,****REDACTED COMMERCIALLY SENSITIVE****,10250
Finance & Resources,General Legal Fees,Professional Fees,1906165875,45310,****REDACTED COMMERCIALLY SENSITIVE****,8164.63
Neighbourhoods,General Legal Fees,Professional Fees,1906131699,45282,****REDACTED COMMERCIALLY SENSITIVE****,7328.39
Children & Young Peo,General Legal Fees,Professional Fees,1906147145,45300,****REDACTED COMMERCIALLY SENSITIVE****,4231
Children & Young Peo,General Legal Fees,Professional Fees,5101089885,45287,****REDACTED COMMERCIALLY SENSITIVE****,3658.05
Finance & Resources,General Legal Fees,Professional Fees,1906132452,45282,****REDACTED COMMERCIALLY SENSITIVE****,3478.5
Neighbourhoods,General Legal Fees,Professional Fees,1906161179,45308,****REDACTED COMMERCIALLY SENSITIVE****,2893.5
Capital Regen,Capital Regen,Fees,5101093347,45317,****REDACTED COMMERCIALLY SENSITIVE****,2683.5
Children & Young Peo,General Legal Fees,Professional Fees,1906132445,45282,****REDACTED COMMERCIALLY SENSITIVE****,2284.5
Children & Young Peo,General Legal Fees,Professional Fees,5101091612,45303,****REDACTED COMMERCIALLY SENSITIVE****,2033.5
Children & Young Peo,"Legl Disburs-Med,etc",Professional Fees,1906158276,45306,****REDACTED COMMERCIALLY SENSITIVE****,1495
Children & Young Peo,General Legal Fees,Professional Fees,5101090228,45293,****REDACTED COMMERCIALLY SENSITIVE****,1459.5
City Development,General Legal Fees,Professional Fees,1906161178,45308,****REDACTED COMMERCIALLY SENSITIVE****,1420
Children & Young Peo,General Legal Fees,Professional Fees,5101088792,45274,****REDACTED COMMERCIALLY SENSITIVE****,1400
Children & Young Peo,General Legal Fees,Professional Fees,1906147147,45300,****REDACTED COMMERCIALLY SENSITIVE****,1248.5
Neighbourhoods,General Legal Fees,Professional Fees,1906174620,45317,****REDACTED COMMERCIALLY SENSITIVE****,1192
Children & Young Peo,"Legl Disburs-Med,etc",Professional Fees,1906162975,45309,****REDACTED COMMERCIALLY SENSITIVE****,967.2
Children & Young Peo,General Legal Fees,Professional Fees,1906147153,45300,****REDACTED COMMERCIALLY SENSITIVE****,900
Finance & Resources,General Legal Fees,Professional Fees,5101091058,45300,****REDACTED COMMERCIALLY SENSITIVE****,853
Children & Young Peo,"Legl Disburs-Med,etc",Professional Fees,1906149129,45301,****REDACTED COMMERCIALLY SENSITIVE****,780
Children & Young Peo,General Legal Fees,Professional Fees,5101093021,45315,****REDACTED COMMERCIALLY SENSITIVE****,737.8
Children & Young Peo,General Legal Fees,Professional Fees,5101091043,45300,****REDACTED COMMERCIALLY SENSITIVE****,724
Children & Young Peo,General Legal Fees,Professional Fees,5101092869,45314,****REDACTED COMMERCIALLY SENSITIVE****,690.9
Children & Young Peo,General Legal Fees,Professional Fees,5101091034,45300,****REDACTED COMMERCIALLY SENSITIVE****,684
Children & Young Peo,General Legal Fees,Professional Fees,1906147146,45300,****REDACTED COMMERCIALLY SENSITIVE****,676.5
Children & Young Peo,General Legal Fees,Professional Fees,5101093354,45317,****REDACTED COMMERCIALLY SENSITIVE****,670.67
Children & Young Peo,General Legal Fees,Professional Fees,5101092704,45312,****REDACTED COMMERCIALLY SENSITIVE****,606.35
Children & Young Peo,General Legal Fees,Professional Fees,1906132458,45282,****REDACTED COMMERCIALLY SENSITIVE****,586.5
Children & Young Peo,"Legl Disburs-Med,etc",Professional Fees,1906168551,45314,****REDACTED COMMERCIALLY SENSITIVE****,568.75
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906158494,45306,****REDACTED PERSONAL INFO****,82413.65
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906159408,45306,****REDACTED PERSONAL INFO****,21579
Neighbourhoods,General Legal Fees,Professional Fees,1906132468,45282,****REDACTED PERSONAL INFO****,17050
