Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905549104,44839,****REDACTED PERSONAL INFO****,-4616.31
City Development,R&M - Building Works,R&M Technical Support,5101048955,44867,MASSEY COLDBECK ENGINEERING LTD,752.1
City Development,R&M - Building Works,R&M Technical Support,5101054059,44923,MASSEY COLDBECK ENGINEERING LTD,1021.23
City Development,Training (General),Indirect Employee Expenses,5101066068,45049,NWTC COMMERCIAL SERVICES,2117.33
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905872624,45090,****REDACTED PERSONAL INFO****,-14953.13
City Development,Training (General),Indirect Employee Expenses,5101075055,45135,PORT SKILLS AND SAFETY LTD,2100
Children & Young Peo,Conference (General),Expenses,5101075255,45138,SCHOOL IMPROVEMENT LIVERPOOL LTD,1392
Neighbourhoods,Events,General Services Expenses,5101075668,45140,PPL PRS LTD,4372.31
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101075690,45141,CENTERPRISE INTERNATIONAL LTD,510
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101077088,45155,CENTERPRISE INTERNATIONAL LTD,37310
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905963388,45159,****REDACTED PERSONAL INFO****,-700
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101077483,45162,CAPITA BUSINESS SERVICES LTD,6300
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101078014,45173,INSIGHT DIRECT (UK) LIMITED,582.96
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101078869,45177,PHONAK UK LTD,1738.66
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101078797,45177,SEGURO RECRUITMENT LTD,1164
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101078792,45177,CENTERPRISE INTERNATIONAL LTD,4400
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101078809,45177,NETWORK INSTALLATION SOLUTIONS LTD,513.92
City Development,R&M - Building Works,R&M Technical Support,5101079144,45181,KONE PLC,681
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101079209,45181,CENTERPRISE INTERNATIONAL LTD,18878
Strategy & Change Di,Printing (Outside),Printing & Office Expenses,5101079232,45181,MAIL SOLUTIONS (UK)  LTD,2535
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101079295,45182,CENTERPRISE INTERNATIONAL LTD,594
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101079443,45182,CENTERPRISE INTERNATIONAL LTD,9777
Strategy & Change Di,Software (General),Computing,5101079279,45182,PHOENIX SOFTWARE LTD,19621
Children & Young Peo,Room Hire,Expenses,5101079932,45187,QUICK STAY PROPERTY SOLUTIONS,1575
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905999541,45187,****REDACTED PERSONAL INFO****,-3811.14
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905999531,45187,****REDACTED PERSONAL INFO****,-1906.12
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101080160,45188,CENTERPRISE INTERNATIONAL LTD,4160
City Development,Environmental Servs.,R & M Private Contractors,5101080200,45189,CONCRETE SPORTS LTD,5650
City Development,R&M - Building Works,R&M Technical Support,5101080297,45190,LEA BUILDING SERVICES LIMITED,1627.67
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101080670,45194,PHONAK UK LTD,538.13
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906010378,45194,****REDACTED PERSONAL INFO****,1427.76
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101080817,45196,JAMES LECKEY DESIGN LTD,2847
Strategy & Change Di,R&M-Engineer Works,R&M Technical Support,5101080940,45197,CCMA VENTURES LTD,899
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081009,45198,BRENTWOOD HIGH SCHOOL,11196
Neighbourhoods,Private Companies,Agency & Contract Services,1906017644,45201,BEDSPACE RESOURCE LTD,83000
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906017612,45201,MCCANNS PHARMACY - SANDRINGHAM,510.9
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101081131,45201,QUICK STAY PROPERTY SOLUTIONS,2800
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906017647,45201,****REDACTED PERSONAL INFO****,-2599.04
Neighbourhoods,Events,General Services Expenses,5101081288,45202,MERSEY MEDICAL SERVICES LTD,550
Neighbourhoods,Consultancy,Professional Fees,5101081271,45202,CJ FOUNDS ASSOCIATES LTD,7200
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018028,45202,GILMOUR PRIMARY SCHOOL,2573.75
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018040,45202,SUDLEY PRIMARY SCHOOL,2936.25
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018277,45202,GILMOUR PRIMARY SCHOOL,1232.5
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018156,45202,GILMOUR PRIMARY SCHOOL,1417.5
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018157,45202,GILMOUR PRIMARY SCHOOL,590.63
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906018159,45202,SUDLEY PRIMARY SCHOOL,1535.63
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1906018272,45202,SUTTON CROFT LTD,250000
City Development,Agency Non Admn/Cler,Other Manual,5101081315,45202,HAYS SPECIALIST RECRUITMENT LTD,1800
Neighbourhoods,R&M - Environ Works,R&M Technical Support,5101081355,45202,****REDACTED PERSONAL INFO****,1980
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101081316,45202,PARAMOUNT STEWARDING SERVICES,6777
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101081268,45202,TRIANGLE CONSULTING SOCIAL ENTERPRI,1090
Adult Services & Hea,R&M - Building Works,R&M Technical Support,5101081321,45202,VALE DECORATORS UK LTD,18930
Finance & Resources,ProfessionalServices,Professional Fees,5101081311,45202,HAYS SPECIALIST RECRUITMENT LTD,1399.14
