Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,General Legal Fees,Professional Fees,5101041565,44783,****REDACTED COMMERCIALLY SENSITIVE****,632
Neighbourhoods,Misc. Expenses - Gen,General Services Expenses,5101045674,44834,LIVERPOOL STREETSCENE SERVICES LIMI,5538
Chief Operating Offi,Private Contractors,Agency & Contract Services,5101059987,44987,FIDELITI LTD,506
Chief Operating Offi,Private Contractors,Agency & Contract Services,5101064235,45030,FIDELITI LTD,556
Chief Operating Offi,Private Contractors,Agency & Contract Services,5101065428,45042,FIDELITI LTD,-2881.01
Chief Operating Offi,Private Contractors,Agency & Contract Services,5101066654,45056,FIDELITI LTD,536
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101069139,45083,INSIGHT DIRECT (UK) LIMITED,7786.57
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101069228,45084,INSIGHT DIRECT (UK) LIMITED,9854.32
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905872642,45090,****REDACTED PERSONAL INFO****,-1050
Neighbourhoods,Clothing & Uniforms,"Clothing & Uniforms, Laundry",5101071222,45100,ALSOPRINT LIMITED,1372.75
Capital Regen,Capital Regen,Misc- General,5101071246,45100,SP ENERGY NETWORKS,-60780.88
Chief Operating Offi,Software (General),Computing,5101071736,45106,BYTES SOFTWARE SERVICES,3270.6
Children & Young Peo,Private Contractors,Agency & Contract Services,5101072128,45110,MERSEYTRAVEL,690
Children & Young Peo,Private Contractors,Agency & Contract Services,5101072128,45110,MERSEYTRAVEL,690
Neighbourhoods,Private Contractors,Agency & Contract Services,5101072344,45111,SP ENERGY NETWORKS,791.24
Neighbourhoods,R&M - Building Works,R&M Technical Support,1905910703,45120,SP ENERGY NETWORKS,1321.46
Neighbourhoods,R&M - Building Works,R&M Technical Support,1905910704,45120,SP ENERGY NETWORKS,1321.46
Neighbourhoods,R&M - Building Works,R&M Technical Support,1905910707,45120,SP ENERGY NETWORKS,1321.46
Neighbourhoods,R&M - Building Works,R&M Technical Support,1905910705,45120,SP ENERGY NETWORKS,1013.07
Neighbourhoods,R&M - Building Works,R&M Technical Support,1905910706,45120,SP ENERGY NETWORKS,791.24
City Development,Electricity (General,Energy Costs,1905926078,45128,CORONA ENERGY RETAIL 2 LIMITED,591.59
City Development,Gas (General),Energy Costs,1905933917,45135,CORONA ENERGY RETAIL 2 LIMITED,921.6
City Law & Governanc,Funerals (General),General Services Exp Social Svs Clients,5101075331,45139,ARDENWELL LTD t/a PDQ SPECIALIST CO,930
Chief Operating Offi,Repair & Maintenance,Fixtures & Fittings,5101076113,45145,QUADIENT UK LTD FORMERLY NEOPOST,839.28
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076524,45148,COMPUTER CAB (LIVERPOOL) LTD,16540.7
Children & Young Peo,Promotions,General Services Expenses,5101076546,45148,PPL SPORT & LEISURE LTD,758.7
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905958365,45153,ST HELENS & KNOWSLEY CARING ASSOC L,3062.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905958364,45153,ST HELENS & KNOWSLEY CARING ASSOC L,-12839.75
Capital Regen,Capital Regen,Main contract,1905963726,45160,L & R ROADLINES LTD,69585.88
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101077433,45161,QUICK STAY PROPERTY SOLUTIONS,2800
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101077560,45163,COMPUTER CAB (LIVERPOOL) LTD,19116.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905971026,45163,****REDACTED PERSONAL INFO****,1245.24
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,1700048285,45163,COMPUTER CAB (LIVERPOOL) LTD,-129456.98
Children & Young Peo,External Hire (Gener,Hire & Operating Leases,5101077736,45168,COMPUTER CAB (LIVERPOOL) LTD,5047.62
Neighbourhoods,R&M-Engineer Works,R&M Technical Support,5101077764,45168,AMEY OW LTD,4070.86
City Development,ProfessionalServices,Professional Fees,5101077822,45169,PALMHOUSE MEDIA LTD,900
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905976872,45169,ALPHACARE NORTHWEST,540.4
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905976873,45169,ALPHACARE NORTHWEST,540.4
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101077881,45170,COMPUTER CAB (LIVERPOOL) LTD,18265.12
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101077893,45170,CENTERPRISE INTERNATIONAL LTD,3657
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101077914,45171,INSIGHT DIRECT (UK) LIMITED,2535.73
City Development,R&M - Building Works,R&M Technical Support,5101077915,45172,NORTH WEST DRY ROT LTD,880
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101078121,45173,CENTERPRISE INTERNATIONAL LTD,7060
Capital Leisure Serv,Capital Leisure Serv,Misc- General,5101077960,45173,KIER BUSINESS SERVICES LTD,6521.06
