Payment Date, Description ,Gross Amount, Supplier Name 
27-Apr-23, Outsourced Contractors ,"£2,160,675.07",GMCA (PCC for Greater Manchester)
20-Apr-23, Capital Asset Clearing A/c Building ,"£1,864,890.54",ISG Construction Ltd
27-Apr-23, Payments to Other Police Authorities ,"£571,571.80",Police and Crime Commissioner For Cheshire
06-Apr-23, Forensic Fees - General ,"£483,948.80",Redacted
06-Apr-23, Payments to Other Police Authorities ,"£392,195.24",West Yorkshire Combined Authority (WYCA)
06-Apr-23, Services & Legal Expenses ,"£329,979.67",Crea8ing Community t/a Crea8ing Careers
27-Apr-23, Payment for Services ,"£329,000.00",NHS England - Lancashire
20-Apr-23, Comp. Operations ,"£307,200.00",Redacted
27-Apr-23, Services & Legal Expenses ,"£300,000.00",Redacted
06-Apr-23, Gas General Tariffs ,"£239,131.13",TotalEnergies Gas & Power Limited
20-Apr-23, Forensic Fees - General ,"£207,445.10",Redacted
26-Apr-23, Forensic Fees - General ,"£183,288.00",Redacted
20-Apr-23, Forensic Fees - General ,"£168,000.00",Redacted
20-Apr-23, Building Programmed Maintenance ,"£167,815.72",Greenmount Projects Limited
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£164,565.29",Softcat Plc
27-Apr-23, Taser Training Supplies ,"£160,376.70",Redacted
20-Apr-23, Comp. Operations ,"£146,105.28",Softcat Plc
27-Apr-23, Consultants Fees ,"£144,194.84",Mitie Care and Custody Ltd
20-Apr-23, Payments to Other Police Authorities ,"£134,507.39",Police & Crime Commissioner for North Wales
20-Apr-23, Payments to Other Police Authorities ,"£128,025.64",Police & Crime Commissioner for North Wales
06-Apr-23, Payments to Other Police Authorities ,"£126,734.66",Police & Crime Commissioner for North Wales
06-Apr-23, Payments to Other Police Authorities ,"£125,505.90",Police & Crime Commissioner for North Wales
26-Apr-23, AirWave Communications ,"£123,286.51",Airwave ASL
13-Apr-23, Services & Legal Expenses ,"£120,000.00",Redacted
27-Apr-23, Mechanical Maintenance Contracts ,"£118,520.52",BAM FM Ltd
20-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£114,168.00",Redacted
20-Apr-23, S/W Licences ,"£113,994.00",Redacted
20-Apr-23, Miscellaneous Contributions ,"£108,949.21",Kent Police
20-Apr-23, Capital Asset Clearing A/c Vehicles ,"£108,420.00",Redacted
27-Apr-23, Services & Legal Expenses ,"£98,000.00",Nobody Left Behind CIC
20-Apr-23, Technical Equipment ,"£94,448.84",Softcat Plc
27-Apr-23, Mechanical Maintenance Contracts ,"£94,044.11",BAM FM Ltd
20-Apr-23, Miscellaneous Contributions ,"£92,792.00",Police and Crime Commissioner For Essex
27-Apr-23, Services & Legal Expenses ,"£92,500.00",Redacted
06-Apr-23, Services & Legal Expenses ,"£90,000.00",Liverpool City Council (YOS Cycle Project)
20-Apr-23, S/W Licences ,"£86,400.00",Redacted
13-Apr-23, Network Operating Systems ,"£82,716.46",Redacted
06-Apr-23, Comp. Operations ,"£80,281.01",Softcat Plc
27-Apr-23, Comp. Operations ,"£78,605.86",Redacted
13-Apr-23, Forensic Fees - General ,"£77,970.00",Redacted
27-Apr-23, Services & Legal Expenses ,"£75,000.00",Redacted
13-Apr-23, Payments to Other Police Authorities ,"£74,884.18",PCC For Devon & Cornwall
20-Apr-23, Miscellaneous Contributions ,"£74,780.83",Police & Crime Commissioner for Suffolk
27-Apr-23, General Subscriptions ,"£72,000.00",Police Digital Service
13-Apr-23, Support Staff-Temporary Staff Wages ,"£71,556.77",Adecco UK Limited
20-Apr-23, Support Staff-Temporary Staff Wages ,"£68,814.92",Adecco UK Limited
20-Apr-23, Miscellaneous Contributions ,"£65,000.00",PCC for South Wales
06-Apr-23, Electrical Quoted Works ,"£63,809.62",Feed It Green Ltd
27-Apr-23, Support Staff-Temporary Staff Wages ,"£62,731.62",Adecco UK Limited
20-Apr-23, Miscellaneous Contributions ,"£62,355.15",Warwickshire PCC
06-Apr-23, Payment for Services ,"£62,334.00",Redacted
06-Apr-23, Comp. Operations ,"£62,275.20",Redacted
13-Apr-23, Support Staff-Temporary Staff Wages ,"£60,759.59",Adecco UK Limited
06-Apr-23, Comp. Consumeables ,"£56,593.20",Agilent Technologies LDA UK Ltd
06-Apr-23, S/W Licences ,"£53,631.38",Police Digital Service
03-Apr-23, Building Programmed Maintenance ,"£53,556.07",CLC Contractors Limited
27-Apr-23, Forensic Fees - General ,"£49,000.56",Redacted
20-Apr-23, Network Operating Systems ,"£48,540.29",Redacted
27-Apr-23, Uniform and Clothing ,"£47,706.64",Redacted
13-Apr-23, S/W Licences ,"£47,181.61",Police Digital Service
13-Apr-23, District Audit Fee ,"£46,770.00",Liverpool University Hospitals NHS Foundation Trust
06-Apr-23, H/W Purchases ,"£46,689.44",Dell Corporation Ltd
20-Apr-23, Miscellaneous Expenses ,"£46,669.46",Redacted
20-Apr-23, Other Public Bodies ,"£45,553.37",Police and Crime Commissioner For Lancashire
27-Apr-23, Payments to Other Police Authorities ,"£45,108.75",Police and Crime Commissioner For Lancashire
27-Apr-23, Electrical Maintenance Contracts ,"£44,866.94",BAM FM Ltd
20-Apr-23, Payments to Other Police Authorities ,"£43,754.88",Police and Crime Commissioner For Cheshire
27-Apr-23, S/W Licences ,"£42,888.00",Redacted
27-Apr-23, Miscellaneous Expenses ,"£42,729.54",Agiito Ltd
06-Apr-23, Services & Legal Expenses ,"£42,104.40",Catch22 Charity Limited
20-Apr-23, Miscellaneous Contributions ,"£41,076.23",PCC For Leicestershire
27-Apr-23, Consultants Fees ,"£40,945.49",Police and Crime Commissioner For Cheshire
06-Apr-23, Payment for Services ,"£40,620.00",Social & Market Strategic Research Ltd
27-Apr-23, Mechanical Maintenance Contracts ,"£40,171.38",BAM FM Ltd
06-Apr-23, Payment for Services ,"£39,977.52",The Anthony Walker Foundation
06-Apr-23, Services & Legal Expenses ,"£39,325.00",Sefton Metropolitan Borough Council
20-Apr-23, Building Reactive Maintenance ,"£39,122.84",Graham Asset Management Ltd
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£38,715.60",Dell Corporation Ltd
06-Apr-23, Payment for Services ,"£38,462.00",NHS Cheshire and Merseyside Integrated Commissioning Board (ICB)
27-Apr-23, Equipment Purchases ,"£37,501.79",Tuskerdirect Limited
20-Apr-23, Building Programmed Maintenance ,"£36,686.19",Housing Maintenance Solutions Ltd
20-Apr-23, Building Maintenance Contracts ,"£36,595.51",Graham Asset Management Ltd
13-Apr-23, Support Staff-Temporary Staff Wages ,"£36,477.86",Police and Crime Commissioner For Lancashire
20-Apr-23, Services & Legal Expenses ,"£36,000.00",PSS (UK)
20-Apr-23, Capital Asset Clearing A/c Vehicles ,"£36,000.00",Peoples Liverpool Limited
20-Apr-23, Data Network ,"£35,630.33",Siemens Plc (Building Technologies)
06-Apr-23, Miscellaneous Contributions ,"£35,041.37",The PCC for Thames Valley
20-Apr-23, Miscellaneous Contributions ,"£34,838.37",Police and Crime Commissioner For Lancashire
20-Apr-23, Miscellaneous Contributions ,"£34,596.73",Durham Constabulary
20-Apr-23, Support Staff Sals Superannuation ,"£34,100.00",Merseyside Pension Fund
20-Apr-23, Comp. Operations ,"£33,988.12",West Yorkshire Combined Authority (WYCA)
13-Apr-23, Services & Legal Expenses ,"£33,840.00",School Improvement Liverpool Ltd
06-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£33,750.00",Vohkus Limited
20-Apr-23, Payments to Other Police Authorities ,"£33,417.57",Police and Crime Commissioner For Cumbria
27-Apr-23, Telecommunications ,"£33,340.46",North PB Limited
06-Apr-23, Services & Legal Expenses ,"£33,168.99",Partners of Prisoners & Family Support Group
11-Apr-23, S/W Licences ,"£33,150.00",Redacted
20-Apr-23, Miscellaneous Contributions ,"£32,758.29",Police & Crime Commissioner For Hertfordshire
27-Apr-23, Electrical Reactive Maintenance ,"£32,651.52",BAM FM Ltd
20-Apr-23, Payments to Other Police Authorities ,"£32,544.00",Police and Crime Commissioner For Cheshire
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£32,521.10",Dell Corporation Ltd
20-Apr-23, Miscellaneous Contributions ,"£31,796.02",PCC For Leicestershire
20-Apr-23, Building Maintenance Contracts ,"£31,753.82",Graham Asset Management Ltd
20-Apr-23, Building Reactive Maintenance ,"£30,936.60",Graham Asset Management Ltd
06-Apr-23, Comp. Operations ,"£30,825.14",Redacted
20-Apr-23, Technical Equipment ,"£30,592.72",Softcat Plc
20-Apr-23, Building Maintenance Contracts ,"£30,382.93",Graham Asset Management Ltd
20-Apr-23, Payments to Other Police Authorities ,"£29,705.00",Police & Crime Commissioner for North Wales
06-Apr-23, Forensic Fees - General ,"£29,196.00",Redacted
20-Apr-23, Comp. Operations ,"£28,666.08",Softcat Plc
19-Apr-23, S/W Licences ,"£28,400.00",Redacted
06-Apr-23, Interpreters Fees ,"£28,387.22",Language Line TI Limited
20-Apr-23, S/W Licences ,"£27,833.74",Redacted
20-Apr-23, Forensic Fees - General ,"£27,018.00",Redacted
27-Apr-23, Interpreters Fees ,"£26,992.84",Language Line TI Limited
20-Apr-23, S/W Licences ,"£26,520.00",Redacted
20-Apr-23, Payment for Services ,"£26,340.00",Car and Commercial Solutions Ltd
20-Apr-23, Miscellaneous Contributions ,"£25,875.44",The Police & Crime Commissioner North Yorkshire
06-Apr-23, Forensic Fees - General ,"£25,851.00",Redacted
20-Apr-23, S/W Licences ,"£25,592.53",Redacted
20-Apr-23, Technical Equipment ,"£25,380.00",Redacted
13-Apr-23, Services & Legal Expenses ,"£25,000.00",Liverpool City Council
20-Apr-23, Miscellaneous Contributions ,"£25,000.00",PCC For Leicestershire
06-Apr-23, Services & Legal Expenses ,"£24,960.00",Knowsley Borough Council
06-Apr-23, Comp. Operations ,"£24,405.60",Redacted
27-Apr-23, Electrical Maintenance Contracts ,"£24,144.36",BAM FM Ltd
27-Apr-23, Payments to Other Police Authorities ,"£23,552.94",Police and Crime Commissioner For Lancashire
13-Apr-23, District Audit Fee ,"£23,385.00",Liverpool University Hospitals NHS Foundation Trust
13-Apr-23, District Audit Fee ,"£23,385.00",Liverpool University Hospitals NHS Foundation Trust
20-Apr-23, Uniform and Clothing ,"£23,349.74",Cooneen At Work Limited
20-Apr-23, Services & Legal Expenses ,"£23,300.00",Sefton Metropolitan Borough Council
27-Apr-23, Payment for Services ,"£23,277.86",Causeway Charitable Services
20-Apr-23, Miscellaneous Contributions ,"£23,048.64",North West Fraud Forum Limited
20-Apr-23, Capital Asset Clearing A/c Vehicles ,"£22,800.00",Peoples Liverpool Limited
27-Apr-23, Payment for Services ,"£22,176.00",Access Bookings Limited
27-Apr-23, Miscellaneous Contributions ,"£22,115.39",Police and Crime Commissioner for Humberside
20-Apr-23, Payment for Services ,"£22,000.00",The Cyrenians Ltd T/A Changing Lives
13-Apr-23, Payment for Services ,"£21,882.00",PCC for Dorset
27-Apr-23, Payment for Services ,"£21,850.37",Causeway Charitable Services
27-Apr-23, H/W Purchases ,"£21,668.40",One Source IT Ltd
27-Apr-23, Capital Asset Clearing A/c Intangibles ,"£21,600.00",Modality Systems Limited
