Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
 02-Mar-23,DA Perpetrator Fund,"£105,122.55",Wirral MBC,Grant
 23-Mar-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
 02-Mar-23,Community Safety Fund,"£40,504.63",Community Foundation for Lancashire and Merseyside (High Sheriff Tst),Considered Best Value
 02-Mar-23,Community Safety Fund,"£16,296.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
 30-Mar-23,External Audit,"£10,137.30",Grant Thornton UK LLP,National Contract - Uninfluencable
 30-Mar-23,Payment for Services,"£6,996.55",56 Degrees North Ltd,Local Contract - Quotation/Tender
 16-Mar-23,Payment for Services,"£5,281.15",KC Consultants (Cumbria) Ltd,Considered Best Value
 02-Mar-23,Safer Streets Fund,"£1,836.00",Voodoo Agency Limited,Considered Best Value
 02-Mar-23,Support Staff-Temporary Staff Wages,£623.72,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 09-Mar-23,Support Staff-Temporary Staff Wages,£623.72,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 02-Mar-23,Support Staff-Temporary Staff Wages,£580.99,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 02-Mar-23,Support Staff-Temporary Staff Wages,£512.64,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 02-Mar-23,Support Staff-Temporary Staff Wages,£512.64,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
