Payment Date, Description ,Gross Amount, Supplier Name ,Procurement Method
10-Aug-23,Miscellaneous Contributions,"£108,906.82",Community Foundation for Lancashire and Merseyside (High Sheriff Tst),Considered Best Value
24-Aug-23,Victim Support Grant,"£69,002.00",Wirral MBC,Grant Award
10-Aug-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Grant Award
10-Aug-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Grant Award
24-Aug-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Grant Award
24-Aug-23,Services & Legal Expenses,"£30,015.00",Knowsley MBC,Considered Best Value
31-Aug-23,Safer Streets Fund,"£20,993.25",Liverpool City Council1,Grant Award
31-Aug-23,Community Safety Fund,"£17,424.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
03-Aug-23,Community Safety Fund,"£14,580.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
17-Aug-23,Payment for Services,"£6,000.00",LCR Pride Foundation,Considered Best Value
17-Aug-23,Hire of Premises,"£4,308.00",Jockey Club Racecourses Limited,Considered Best Value
24-Aug-23,Hire of Premises,"£1,980.00",The RCP Regent's Park Limited,Considered Best Value
10-Aug-23,Training Course Fees,"£1,200.00",Police & Crime Commissioner For Sussex,Considered Best Value
03-Aug-23,Hire of Premises,£700.00,Liverpool Quakers,Considered Best Value
24-Aug-23,General Subscriptions,£600.00,Sefton M B C (General Payments),Considered Best Value
