Payment Date, Description ,Gross Amount, Supplier Name ,Procurement Method
 19-Oct-23,Safer Streets Fund,"£174,622.74",Knowsley MBC,Grant
 12-Oct-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
 26-Oct-23,Community Safety Fund,"£18,888.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
 19-Oct-23,Community Safety Fund,"£17,532.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
 26-Oct-23,DA Perpetrator Fund,"£7,162.69",Knowsley MBC,Grant
 05-Oct-23,Services & Legal Expenses,"£3,319.12",David Michael Consultancy Services Limited,Considered Best Value
 05-Oct-23,Payment for Services,"£2,740.13",The Hawkins Consultancy Ltd,Considered Best Value
 12-Oct-23,Payment for Services,"£1,000.00",Shrewsbury House,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Wirral Change Limited,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Friends of Maghull & District CIC,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Age Concern Wirral t/a Age UK Wirral,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Liscard Community Links,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Team Oasis,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Maghull Town Council,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Granby Toxteth Develp Trust Ltd (GTDT Ltd),Grant
 12-Oct-23,Payment for Services,"£1,000.00",Brunswick Youth & Community Centre,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Young Adult Respite Service,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Think Fast Academy CIC,Grant
 12-Oct-23,Payment for Services,"£1,000.00",Onward Homes Limited,Grant
 26-Oct-23,Payment for Services,£835.00,Clockwork Studios Prescot CIC,Grant
 26-Oct-23,Payment for Services,£800.00,Merseyside Fire & Rescue Authority,Grant
 12-Oct-23,Payment for Services,£798.00,Rawdon Residents Association,Grant
 12-Oct-23,Safer Streets Fund,£720.00,Socialike Media Ltd t/a Springboard,Grant
 12-Oct-23,Payment for Services,£700.00,SHARe Knowsley,Grant
 12-Oct-23,Payment for Services,£650.00,Birkenhead Young Men's Christian Association t/a YMCA Wirral,Grant
 12-Oct-23,Payment for Services,£550.00,Mid Wirral Crime Prevention Panel,Grant
 05-Oct-23,Training Course Fees,£525.00,Association of Policing & Crime Chief Execs,Considered Best Value
