Payment Date, Description ,Gross Amount, Supplier Name 
21-Dec-23, Electricity General Tariffs ,"£390,001.06",EDF Energy Customers Limited
21-Dec-23, Comp. Operations ,"£308,030.40",Sopra Steria
07-Dec-23, Comp. Operations ,"£218,150.40",Motorola Ltd
07-Dec-23, Consultants Fees ,"£146,461.17",Mitie Care and Custody Ltd
21-Dec-23, Gas General Tariffs ,"£125,359.71",TotalEnergies Gas & Power Limited
22-Dec-23, AirWave Communications ,"£123,988.87",Airwave ASL
21-Dec-23, Forensic Fees - Specialist ,"£79,632.00",Redacted
07-Dec-23, Capital Asset Clearing A/C Plant & Equipment ,"£78,078.00",Dell Corporation Limited
21-Dec-23, Support Staff-Temporary Staff Wages ,"£72,033.89",Adecco UK Limited
14-Dec-23, Support Staff-Temporary Staff Wages ,"£69,175.62",Adecco UK Limited
07-Dec-23, Support Staff-Temporary Staff Wages ,"£69,131.22",Adecco UK Limited
21-Dec-23, Support Staff-Temporary Staff Wages ,"£68,800.15",Adecco UK Limited
14-Dec-23, Miscellaneous Expenses ,"£67,032.75",Agiito Ltd
07-Dec-23, Water & Sewerage Rates ,"£57,339.99",Water Plus Limited
14-Dec-23, Uniform and Clothing ,"£50,951.90",Wm Sugden & Sons Ltd
07-Dec-23, S/W Licences ,"£50,079.16",Redacted
14-Dec-23, Capital Asset Clearing A/c Building ,"£49,031.82",Home Office Shared Service Centre
21-Dec-23, Miscellaneous Contributions ,"£48,000.00",Royal Court Liverpool Limited
07-Dec-23, Service Charges ,"£46,402.74",BAM FM Ltd
21-Dec-23, Miscellaneous Expenses ,"£45,770.81",Redacted
21-Dec-23, Building Programmed Maintenance ,"£45,419.09",Greenmount Projects Limited
21-Dec-23, Building Programmed Maintenance ,"£45,085.50",Anthony Dever Construction Limited
21-Dec-23, Brokerage Fees ,"£45,000.00",Gallagher Bassett (Imprest)
21-Dec-23, Capital Asset Clearing A/C Plant & Equipment ,"£44,484.00",Redacted
07-Dec-23, Equipment Purchases ,"£44,217.83",Tuskerdirect Limited
07-Dec-23, Payment for Services ,"£40,209.77",Police and Crime Commissioner For Lancashire
21-Dec-23, Payments to Other Police Authorities ,"£38,056.20",Police and Crime Commissioner For Cumbria
14-Dec-23, Interpreters Fees ,"£37,402.64",Language Line TI Limited
21-Dec-23, Interpreters Fees ,"£36,010.99",Language Line TI Limited
21-Dec-23, Data Network ,"£35,630.33",Siemens Plc (Building Technologies)
21-Dec-23, Services and Legal Expenses ,"£35,000.00",Redacted
21-Dec-23, Outsourced Contractors ,"£30,971.40",Softcat Plc
14-Dec-23, Comp. Operations ,"£29,771.80",Redacted
