Payment Date, Description ,Gross Amount, Supplier Name 
19-Oct-23,Payments to Other Police Authorities,"£1,003,295.14",Police and Crime Commissioner For Lancashire
12-Oct-23,Outsourced Contractors,"£946,514.50",Police and Crime Commissioner For Lancashire
12-Oct-23,Payments to Other Police Authorities,"£306,202.98",PS Administration Ltd (T/A XPS Administration)
26-Oct-23,Services & Legal Expenses,"£250,000.00",Community Foundation for Lancashire and Merseyside (High Sheriff Tst)
26-Oct-23,Payments to Other Police Authorities,"£177,510.00",Police and Crime Commissioner For Lancashire
26-Oct-23,Consultants Fees,"£146,461.17",Mitie Care and Custody Ltd
05-Oct-23,Capital Asset Clearing A/C Plant & Equipment,"£146,014.20",Flexiform Business Furniture Limited
24-Oct-23,AirWave Communications,"£124,210.98",AirWave Communications
19-Oct-23,Building Programmed Maintenance,"£118,946.21",Graham Asset Management Ltd
12-Oct-23,Gas General Tariffs,"£114,963.26",TotalEnergies Gas & Power Limited
26-Oct-23,Payments to Other Police Authorities,"£112,969.93",Police & Crime Commissioner for North Wales
05-Oct-23,Gas General Tariffs,"£110,548.48",TotalEnergies Gas & Power Limited
05-Oct-23,Payment for Services,"£84,000.00",Chorus Intelligence Limited
19-Oct-23,Data Network,"£83,070.00",Unisys Ltd
26-Oct-23,Comp. Operations,"£81,000.00",Police & Crime Commissioner for North Wales
26-Oct-23,Payments to Other Police Authorities,"£75,644.00",Police & Crime Commissioner for North Wales
12-Oct-23,Support Staff-Temporary Staff Wages,"£74,852.46",Adecco UK Limited
19-Oct-23,Forensic Fees - Specialist,"£69,678.00",Redacted
26-Oct-23,S/W Licences,"£66,009.06",Computacenter (UK) Limited
05-Oct-23,Support Staff-Temporary Staff Wages,"£65,648.36",Adecco UK Limited
05-Oct-23,Water & Sewerage Rates,"£65,539.38",Water Plus Limited
12-Oct-23,Capital Asset Clearing A/C Plant & Equipment,"£63,144.00",Dell Corporation Limited
19-Oct-23,Comp. Operations,"£60,754.32",Nice Systems UK Limited
12-Oct-23,Support Staff-Temporary Staff Wages,"£58,478.39",Adecco UK Limited
26-Oct-23,Support Staff-Temporary Staff Wages,"£57,827.36",Adecco UK Limited
19-Oct-23,Capital Asset Clearing A/c Intangibles,"£56,836.08",Nice Systems UK Limited
26-Oct-23,Capital Asset Clearing A/C Plant & Equipment,"£53,653.26",Heliguy (Colena Ltd)
12-Oct-23,Capital Asset Clearing A/C Plant & Equipment,"£53,635.08",Dell Corporation Limited
19-Oct-23,Support Staff-Temporary Staff Wages,"£52,682.26",Adecco UK Limited
19-Oct-23,Brokerage Fees,"£52,000.00",Gallagher Bassett (Imprest)
