Service (T),Directorate (T),Expenditure Code/Type,Expenditure Code Type (T),Date,Amount,Revenue or Capital,Supplier Name
Stronger Communities,Environment & Community Services,6149000,Other supplies & services,05/02/2025,"œ3,000.00",Revenue,1 Stop HSE Training Limited
Capital - Education - Access to Education,Education & Partnerships,6206101,Capital Grants,27/01/2025,"œ13,913.00",Capital,186 Investments Ltd t/a 186 Property Solutions
Capital - Education - Access to Education,Education & Partnerships,6206101,Capital Grants,14/02/2025,"œ1,181.20",Capital,186 Investments Ltd t/a 186 Property Solutions
ICT Service,Legal & Governance Services,6146000,Computer Costs,16/01/2025,"œ3,300.00",Revenue,1Spatial
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,22/01/2025,"œ2,583.18",Revenue,1st Coverall Company Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,19/02/2025,"œ3,414.00",Revenue,1st Coverall Company Limited
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,œ809.20,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ5,664.40",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ3,236.08",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,980.60",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,810.28",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,214.16",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/01/2025,"œ2,043.84",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ5,664.40",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,œ809.20,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ1,818.00",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ1,818.00",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,980.60",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ3,236.08",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,810.28",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,214.16",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,07/02/2025,"œ2,043.84",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,œ809.20,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,639.96",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,895.44",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ3,236.08",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,980.60",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,043.84",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,214.16",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/03/2025,"œ2,810.28",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/03/2025,"œ5,664.40",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/03/2025,"œ1,818.00",Revenue,1st Enable
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,08/01/2025,"œ2,719.35",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,08/01/2025,"œ2,798.25",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,07/02/2025,"œ3,625.80",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,07/02/2025,"œ3,731.00",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,07/03/2025,"œ2,719.35",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,05/03/2025,"œ2,798.25",Revenue,24x7 Ltd
Safeguarding & Care Planning,Children's Care,6116690,Exam & Course fees,31/03/2025,"œ1,155.00",Revenue,250-579-394 PAYMENT
Stronger Communities,Environment & Community Services,6149000,Other supplies & services,20/03/2025,"œ3,000.00",Revenue,540 Studios
Substance Misuse,Public Health,6157000,Partnership Payments,09/01/2025,œ924.00,Revenue,A C MOULE LTD (FK058)
Substance Misuse,Public Health,6157000,Partnership Payments,14/02/2025,"œ1,012.00",Revenue,A C MOULE LTD (FK058)
Substance Misuse,Public Health,6157000,Partnership Payments,11/03/2025,"œ1,012.00",Revenue,A C MOULE LTD (FK058)
Children Looked After & Corporate Parenting,Children's Care,6124000,Rents,11/02/2025,"œ1,220.00",Revenue,A King Lettings & Rentals Ltd
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,20/01/2025,"œ6,822.94",Revenue,A Way Out
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,07/02/2025,"œ6,822.94",Revenue,A Way Out
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,06/03/2025,"œ6,822.94",Revenue,A Way Out
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,œ693.60,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,œ581.61,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,œ719.76,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,"œ1,203.60",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,œ567.42,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,"œ1,213.80",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,"œ1,190.94",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,"œ1,101.60",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/01/2025,"œ1,281.04",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,œ639.48,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,œ729.96,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,œ778.76,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,"œ1,224.00",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,"œ2,539.80",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,œ540.12,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,œ555.71,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,"œ1,267.44",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,"œ1,142.40",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/02/2025,"œ1,270.84",Revenue,A&B Home Care Ltd
Fostering,Children's Care,7145130,Call Off Placement Fees,17/01/2025,"œ3,704.15",Revenue,A1 FOSTER CARE
Fostering,Children's Care,7145130,Call Off Placement Fees,11/02/2025,"œ3,704.15",Revenue,A1 FOSTER CARE
Fostering,Children's Care,7145130,Call Off Placement Fees,12/03/2025,"œ3,345.68",Revenue,A1 FOSTER CARE
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/01/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/01/2025,"œ1,537.64",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/01/2025,œ642.24,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/01/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/02/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/02/2025,œ642.24,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/02/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/02/2025,"œ1,537.64",Revenue,AAPNA SERVICES LTD
Commissioning,Finance,6147500,Grants to organisations,07/03/2025,"œ2,958.00",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/03/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/03/2025,œ642.24,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/03/2025,"œ1,537.64",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/03/2025,œ918.84,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,11/03/2025,œ798.96,Revenue,AAPNA SERVICES LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,31/01/2025,"œ1,135.00",Revenue,AAT (GB) LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,18/02/2025,"œ6,593.00",Revenue,AAT (GB) LTD
Purchasing,Adult Social Care,6157000,Partnership Payments,22/01/2025,"œ10,220.24",Revenue,Abbey House -  Priory Group
Purchasing,Adult Social Care,6157000,Partnership Payments,19/02/2025,"œ10,220.24",Revenue,Abbey House -  Priory Group
Purchasing,Adult Social Care,6157000,Partnership Payments,18/03/2025,"œ10,220.24",Revenue,Abbey House -  Priory Group
Highways Infrastructure & Fleet,Environment & Community Services,6121000,Planned Maintenance,21/01/2025,"œ10,072.20",Revenue,ABF Site Services UK Ltd
