Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,01-Dec-23,51501012615,"-£1,003.52",Janes Care Homes Ltd T/A The White House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Dec-23,51501012628,-£703.96,Resicare Homes Limited t/a Ashton Lodge,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Dec-23,51501012618,-£516.68,AHR Homes ltd,Adult Services,Learning Disability,Client Care Contributions
Milton Keynes City Council,01-Dec-23,51501012675,£506.16,One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012708,£506.16,One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51500999431,£522.35,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,01-Dec-23,51501012744,£527.25,Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,01-Dec-23,51500998939,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Dec-23,51501012852,£540.00,Redacted Personal Data,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Dec-23,51501012854,£540.00,Redacted Personal Data,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Dec-23,51501012512,£542.86,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
Milton Keynes City Council,01-Dec-23,51501012289,£548.78,Culligan (UK) Ltd,Environment & Property,Head of Service - Highways and Transport,Building Repair and Maintenance
Milton Keynes City Council,01-Dec-23,51501012290,£549.02,Culligan (UK) Ltd,Environment & Property,Head of Service - Highways and Transport,Building Repair and Maintenance
Milton Keynes City Council,01-Dec-23,51501012517,£551.00,Redacted Personal Data,Customer and Community Services,Head of Service - Regulatory,Sales - Publications
Milton Keynes City Council,01-Dec-23,51501012567,£554.02,Food Cupboard with Milton Keynes Lions,Children's Services,Assistant Director - Children and Families,Grants and support for other Service Users – Direct to Service User
Milton Keynes City Council,01-Dec-23,51501012807,£558.89,Sarmey Healthcare Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51500999183,£562.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Dec-23,51501012746,£569.43,Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,01-Dec-23,51501012745,£569.43,Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,01-Dec-23,51500998944,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Dec-23,51501012311,£575.96,Paradigm Housing Group Ltd,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,01-Dec-23,51501012930,£576.61,Opus 2 International Limited T/a Beverley F Nunnery & Co,Children's Services,Corporate Parenting,External Legal Fees
Milton Keynes City Council,01-Dec-23,51501012805,£590.52,Sarmey Healthcare Ltd,Adult Services,"Assessment, Review and Hospital Discharge",Living support grants
Milton Keynes City Council,01-Dec-23,51501012816,£590.52,Superior Homecare Services Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012822,£590.52,EJC Group Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,01-Dec-23,51501012643,£591.56,One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012733,£591.56,Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,01-Dec-23,51501012644,£591.64,One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012934,£600.00,DNA Legal Limited,Law & Governance,Legal,Testing
Milton Keynes City Council,01-Dec-23,51501012847,£600.00,Kidz Zone Club,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Dec-23,51501012858,£615.00,Thomley Hall Centre Ltd,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Dec-23,51501012740,£615.92,Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,01-Dec-23,51501012964,£625.00,Water Eaton Resident Association,Adult Services (HRA),Housing Operations (HRA),Grants
Milton Keynes City Council,01-Dec-23,51501012860,£630.00,Redacted Personal Data,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Dec-23,51501002210,£633.96,OT Healthcare Ltd - Therapy Services,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,01-Dec-23,51501012294,£646.40,Westfield Road Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Dec-23,51501012796,£653.79,Sarmey Healthcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012523,£660.00,Redacted Personal Data,Adult Services,"Group Head, Adult Services",Staff Training & Development
Milton Keynes City Council,01-Dec-23,51501009265,£661.60,Oakridge Park Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Dec-23,51501012292,£663.90,Westfield Road Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Dec-23,51501012802,£674.88,Sarmey Healthcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012804,£674.88,Sarmey Healthcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,01-Dec-23,51501012676,£674.88,One Hermitage,Adult Services,Learning Disability,Living support grants
