Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation,Expense Type
Milton Keynes City Council,01-Jan-24,65500006436,-£697.13,"""Hornbeam CPAM Ltd re Wildview Ltd Re 39 Farthing Grove, Netherfield""",Environment & Property,Head of Service - Property,Service Charges
Milton Keynes City Council,01-Jan-24,51501028646,£697.13,"""Hornbeam CPAM Ltd re Wildview Ltd Re 39 Farthing Grove, Netherfield""",Environment & Property,Head of Service - Property,Service Charges
Milton Keynes City Council,02-Jan-24,65500006393,"-£33,938.41",Caredom Healthcare Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Jan-24,51500968392,"-£23,022.12",SENse Learning Limited,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,02-Jan-24,51501016567,"-£23,022.12",SENse Learning Limited,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,02-Jan-24,51500968391,"-£8,570.76",SENse Learning Limited,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,02-Jan-24,51501002341,"-£6,000.00",Milton Keynes Development Partnership,Planning and Placemaking,Head of Economic Development,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501014203,"-£5,432.82",Capita Business Services Ltd,Finance & Resources - Services,ICT,Computer software - annual licence agreement
Milton Keynes City Council,02-Jan-24,51501025870,"-£3,409.74",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025872,"-£3,323.98",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025869,"-£3,021.36",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025871,"-£2,792.26",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025873,"-£2,400.07",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025868,"-£2,160.76",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501006474,"-£1,974.64",JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Jan-24,51501025867,"-£1,612.10",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025874,"-£1,609.61",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501024681,"-£1,350.00",Central Bedfordshire Council,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501025878,"-£1,172.57",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025858,"-£1,083.71",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025875,"-£1,053.15",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025857,-£975.00,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025860,-£945.87,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025876,-£909.77,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025859,-£901.86,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025877,-£888.51,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025856,-£832.56,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025861,-£720.00,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025849,-£660.91,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025855,-£606.03,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501024711,-£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501025850,-£538.09,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025862,-£525.13,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501024844,£502.20,Anglia DNA Services Ltd,Children's Services,Social Work - Family Support Teams,Testing
Milton Keynes City Council,02-Jan-24,51501025969,£507.51,Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,02-Jan-24,51501016601,£511.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501025988,£515.73,Total Gas and Power Limited,Environment & Property,Head of Service - Env and Waste,Gas
Milton Keynes City Council,02-Jan-24,51501018388,£521.35,National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Jan-24,51501016253,£523.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501018907,£524.40,Freeths LLP,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,02-Jan-24,51501025892,£538.79,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501024622,£540.58,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Provider Services,Catering Provisions
Milton Keynes City Council,02-Jan-24,51501025979,£540.66,Total Gas and Power Limited,Children's Services,Social Work - CWD & FAST,Gas
Milton Keynes City Council,02-Jan-24,51501025897,£548.99,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025891,£552.38,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501024782,£560.00,Woughton Community Council,Law & Governance,Democratic Services,Casual hire of facilities
Milton Keynes City Council,02-Jan-24,51501024590,£560.00,Woughton Community Council,Law & Governance,Democratic Services,Casual hire of facilities
Milton Keynes City Council,02-Jan-24,51501024591,£560.00,Woughton Community Council,Law & Governance,Democratic Services,Casual hire of facilities
Milton Keynes City Council,02-Jan-24,51501016575,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501016580,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501016495,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501016254,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Jan-24,51501024736,£600.00,Holne Chase Primary School - Preston Hedges Academy Trust,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501024737,£600.00,Olive AP Academy Thurrock,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501016627,£604.80,Clearguard Ltd,Customer and Community Services,Facilities Management,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501025987,£619.42,Total Gas and Power Limited,Adult Services,Homeless Prevention + Access,Gas
Milton Keynes City Council,02-Jan-24,51501025895,£622.03,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025985,£633.47,Total Gas and Power Limited,Children's Services,Social Work - CWD & FAST,Gas
Milton Keynes City Council,02-Jan-24,51501025952,£647.00,Total Gas and Power Limited,Children's Services,Children's Centres Services,Gas
Milton Keynes City Council,02-Jan-24,51501018908,£655.20,Freeths LLP,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,02-Jan-24,51501024771,£655.20,Freeths LLP,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,02-Jan-24,51501019639,£672.00,Zaynah Carpets & Furniture Limited,Customer and Community Services,Policy & Performance,Furniture
Milton Keynes City Council,02-Jan-24,51501025886,£675.99,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025943,£682.51,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501016369,£690.00,JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Jan-24,51501025986,£710.29,Total Gas and Power Limited,Customer and Community Services,Leisure & Community,Gas
Milton Keynes City Council,02-Jan-24,51501024877,£712.06,Aspire Personnel,Customer and Community Services,Head of Service - Regulatory,Agency Staff
Milton Keynes City Council,02-Jan-24,51501016383,£720.00,Mindjam,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501025888,£754.70,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025893,£774.06,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025903,£774.27,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501024775,£800.00,UDOIT Dance Foundation,Children's Services,Safeguarding,"SDS - Leisure, Sport or Culture"
Milton Keynes City Council,02-Jan-24,51501025944,£820.91,Total Gas and Power Limited,Environment & Property,Head of Service - Property,Gas
Milton Keynes City Council,02-Jan-24,51501025967,£829.43,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501016398,£831.17,Prentis Solutions Limited,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,02-Jan-24,51501025005,£832.83,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Provisions
Milton Keynes City Council,02-Jan-24,51501025961,£843.43,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025889,£850.16,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501016400,£887.92,Norfolk County Council,Adult Services,Mental Health,Agency Placements - Out of  County
Milton Keynes City Council,02-Jan-24,51501025883,£888.51,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501024726,£900.00,Redacted Personal Data ,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,02-Jan-24,51501025882,£909.77,Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,02-Jan-24,51501025942,£914.37,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025963,£917.74,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501025968,£931.09,Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,02-Jan-24,51501024690,£934.20,Anglia DNA Services Ltd,Law & Governance,Legal,Testing
Milton Keynes City Council,02-Jan-24,51501024994,£935.00,Redacted Personal Data ,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - staff
Milton Keynes City Council,02-Jan-24,51501024749,£950.00,I.E. Informal Education Limited t/a Break Through School,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501024744,£950.00,Avon Valley School & Performing Arts College,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501024739,£950.00,Sir Herbert Leon Academy,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Jan-24,51501024742,£950.00,Nassington School,Children's Services,Education Outcome Service,Professional Fees and Hired Services
