Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,03-Jul-23,51500935938,-£556.80,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500935943,-£541.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,26-Jul-23,65500006124,"-£40,808.40",0,Finance & Resources - Holding Accounts,Holding Accounts,Collection Fund Refunds
Milton Keynes City Council,03-Jul-23,51500928930,£528.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500928365,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500928833,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500928941,£538.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500928577,£539.00,Cornerstone Trading (Milton Keynes) Limited,Children's Services,Education Outcome Service,Casual hire of facilities
Milton Keynes City Council,03-Jul-23,51500939409,£561.92,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,03-Jul-23,51500928881,£564.00,Energ.b.ltd,Adult Services,Community Alarm & Sheltered Housing,Equipment and Tools
Milton Keynes City Council,03-Jul-23,51500928936,£684.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jul-23,51500928318,£729.63,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,03-Jul-23,51500939325,£744.00,Orchid Cellmark Ltd,Customer and Community Services,Head of Service - Regulatory,Professional Fees and Hired Services
Milton Keynes City Council,03-Jul-23,51500928831,£788.08,Banner Business Services Ltd,Environment & Property,Head of Service - Property,Cleaning and Domestic Supplies
Milton Keynes City Council,03-Jul-23,51500932660,£840.00,Zaynah Carpets & Furniture Limited,Customer and Community Services,Community Safety,Furniture
Milton Keynes City Council,03-Jul-23,51500928219,£920.40,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jul-23,51500936045,£966.91,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Provisions
Milton Keynes City Council,03-Jul-23,51500939410,£980.20,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,03-Jul-23,51500939348,"£1,022.78",CME Heating Ltd,Environment & Property,Head of Service - Env and Waste,Building Repair and Maintenance
Milton Keynes City Council,03-Jul-23,51500939404,"£1,076.25",Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,19-Jul-23,51500931696,"-£12,574.00",Buckinghamshire Council,Law & Governance,Democratic Services,Payments to Other Local Authorities
Milton Keynes City Council,03-Jul-23,51500928216,"£1,080.00",The Oyster Partnership Ltd,Customer and Community Services,Community Safety,Agency Staff
Milton Keynes City Council,03-Jul-23,51500928830,"£1,089.08",Banner Business Services Ltd,Environment & Property,Head of Service - Property,Cleaning and Domestic Supplies
Milton Keynes City Council,14-Jul-23,51500946116,"-£9,658.95",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,17-Jul-23,51500752009,"-£8,743.10",Starz Fostering CIC,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,03-Jul-23,51500939408,"£1,160.92",Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,03-Jul-23,51500939423,"£1,230.85",Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,21-Jul-23,51500948754,"-£7,087.00",Destiny International Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948757,"-£7,087.00",Destiny International Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,26-Jul-23,51500950978,"-£7,074.64",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,03-Jul-23,51500939420,"£1,241.10",Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,03-Jul-23,51500939265,"£1,268.80",Brakes Catering Equipment,Adult Services,Supported Housing for Older People,Catering Provisions
Milton Keynes City Council,17-Jul-23,51500939855,"-£6,603.24",JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jul-23,51500928215,"£1,275.52",The Oyster Partnership Ltd,Customer and Community Services,Policy & Performance,Agency Staff
Milton Keynes City Council,03-Jul-23,51500939418,"£1,382.28",Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,03-Jul-23,51500928220,"£1,387.20",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
