Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,01-Jul-24,51501123179,"-£1,648.21",Anglian Water Business (National) Limited,Environment & Property,Assistant Director Highways and Transport,Water charges
Milton Keynes City Council,01-Jul-24,51501123173,£513.69,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501115814,£515.26,SDK Environmental Ltd,Customer and Community Services,Head of Service - Regulatory,Pest Control
Milton Keynes City Council,01-Jul-24,51501110778,£520.00,ASE Removals,Adult Services (HRA),Housing Operations (HRA),Other Service User Support
Milton Keynes City Council,01-Jul-24,51501123159,£525.74,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501115525,£532.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Jul-24,51501123112,£540.00,Improvement & Development Agency for Local Government ,Finance & Resources - Services,HR,Councillor Training & Development
Milton Keynes City Council,01-Jul-24,51501123133,£549.00,Fairview Community Primary School,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,01-Jul-24,51501114377,£553.20,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Jul-24,51501098178,£585.00,Principle Construction and Maintenance Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,01-Jul-24,51501123158,£599.44,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501123161,£600.64,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501123131,£611.50,Houghton Close Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Jul-24,51501115556,£612.00,PDR Roofing Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,01-Jul-24,51501110755,£612.00,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Jul-24,51501123171,£634.51,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501111437,£636.00,Zaynah Carpets & Furniture Limited,Children's Services,Assistant Director - Children and Families,Non Staff expenses
Milton Keynes City Council,01-Jul-24,51501111081,£660.00,JCW Energy Services Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,01-Jul-24,51501117398,£667.50,Volunteering Matters,Children's Services,Social Work - Family Support Teams,Grants and support for other Service Users – Direct to Service User
Milton Keynes City Council,01-Jul-24,51501122978,£675.00,NCFE t/a EPA Plus,Adult Services,"Group Head, Adult Services",Staff Training & Development
Milton Keynes City Council,01-Jul-24,51501115890,£685.71,Bespoke Supportive Tenancies Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,01-Jul-24,51501115998,£700.00,Inclusive Fitness,Children's Services,Special Education Needs & Disabilities,Rehabilitation And Respite Care
Milton Keynes City Council,01-Jul-24,51501111004,£716.30,JCW Energy Services Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,01-Jul-24,51501111384,£734.00,Volunteering Matters,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,01-Jul-24,51501123162,£747.54,Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Jul-24,51501115569,£750.00,Crazy Faces by Jo,Planning and Placemaking,Arts Development & Heritage,Professional Fees and Hired Services
Milton Keynes City Council,01-Jul-24,51501115980,£751.33,Luton Borough Council,Children's Services,Corporate Parenting,Residential Care
