Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,03-Jun-24,51501101880,"-£38,991.95",EQUANS Services Limited,Environment & Property,Assistant Director Property,Building Cleaning
Milton Keynes City Council,03-Jun-24,51501107655,"-£12,817.83",ExcelCare24 Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,03-Jun-24,51501100390,£510.00,Mindjam,Children's Services,High Needs Block,SEN Funding
Milton Keynes City Council,03-Jun-24,51501097838,£510.00,Bettws Lifehouse Limited,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,03-Jun-24,51501100441,£528.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501098466,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501098651,£538.92,Teaching Personnel Ltd,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,03-Jun-24,51501103595,£542.10,Edgar Catering Ltd t/a Jaspers Corporate Catering,Customer and Community Services,Facilities Management,Catering Provisions
Milton Keynes City Council,03-Jun-24,51501098532,£557.86,National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,03-Jun-24,51501098465,£565.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501098467,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501098250,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501100443,£573.60,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501100447,£573.60,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501098463,£576.42,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jun-24,51501097900,£609.85,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,03-Jun-24,51501096192,£632.46,Tersus Consultancy Limited,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jun-24,51501098529,£641.66,National World Publishing Limited,Housing & Regeneration - HRA,Asset Management,Demolition
Milton Keynes City Council,03-Jun-24,51501105910,£670.00,University of Bedfordshire,Children's Services,Safeguarding,Staff Training & Development
Milton Keynes City Council,03-Jun-24,51501102498,£678.00,Sustainability by Design Ltd,Adult Social Care and Health,Social Care,Construction - External Professional Fees
Milton Keynes City Council,03-Jun-24,51501098524,£690.54,JCW Energy Services Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jun-24,51501101886,£696.00,Livewire Utilities Limited,Environment & Property,Assistant Director Environment and Waste,Right of Ways Maintenance
Milton Keynes City Council,03-Jun-24,51501098680,£727.80,JCW Energy Services Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jun-24,51501097880,£745.20,Canary Care Global LTD,Adult Services,Community Alarm & Sheltered Housing,Equipment and Tools
Milton Keynes City Council,03-Jun-24,51501097616,£770.22,3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,03-Jun-24,51501102504,£802.08,E4Law Limited t/a Lextox,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,03-Jun-24,51501097966,£804.00,Hadland Manning Bullock & Partners Ltd,Environment & Property,Assistant Director Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jun-24,51501097936,£805.80,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jun-24,51501103433,£813.60,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
