Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation ,Expense Type
Milton Keynes City Council,17-May-24,51501101902,"£7,200.00", 4PB,Law & Governance,Legal,Consultancy
Milton Keynes City Council,23-May-24,51501078656,"£7,200.00", 4PB,Law & Governance,Legal,Consultancy
Milton Keynes City Council,24-May-24,51501097860,£980.39, R & K Panelcraft,Environment & Property,Head of Service - Env and Waste,Vehicle Repairs and maintenance
Milton Keynes City Council,03-May-24,51501091741,"£3,131.40",16 to 21 Project Limited t/a Muswell Hill Children's Home,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-May-24,51501097677,"£6,372.00",247 Taxiline LTD,Children's Services,Social Work - CWD & FAST,Home to School - Contract
Milton Keynes City Council,03-May-24,51501063872,"£1,692.00",360 Play (MK) Limited,Children's Services,Special Education Needs & Disabilities,Rehabilitation And Respite Care
Milton Keynes City Council,01-May-24,51501068963,"-£13,994.51",39 Essex Chambers LLP,Planning and Placemaking,Planning,External Legal Fees
Milton Keynes City Council,01-May-24,51501080385,"£16,912.66",39 Essex Chambers LLP,Planning and Placemaking,Planning,External Legal Fees
Milton Keynes City Council,03-May-24,51501095380,"£1,540.44",3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,10-May-24,51501086598,"£1,899.88",3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,17-May-24,51501087332,"£1,899.88",3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,24-May-24,51501095799,"£1,899.88",3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,03-May-24,51501095412,£540.00,42 Bedford Row,Adult Services,Homeless Prevention + Access,External Legal Fees
Milton Keynes City Council,03-May-24,51501095414,£540.00,42 Bedford Row,Adult Services,Homeless Prevention + Access,External Legal Fees
Milton Keynes City Council,13-May-24,51501095224,"£1,500.00",42 Bedford Row,Adult Services,Homeless Prevention + Access,External Legal Fees
Milton Keynes City Council,23-May-24,65500006626,"-£7,200.00",4PB,Law & Governance,Legal,Consultancy
Milton Keynes City Council,22-May-24,51501102435,"£13,299.00",5 Dimensions Trust t/a Priory Rise School,Children's Services,Early Years Block,Funds Delegated by LEA - Academies
Milton Keynes City Council,13-May-24,51501087233,"£4,386.25",5 Dimensions Trust t/a Shenley Brook End School,Children's Services,Education Outcome Service,Casual hire of facilities
Milton Keynes City Council,13-May-24,51501087206,"£4,386.25",5 Dimensions Trust t/a Shenley Brook End School,Children's Services,Education Outcome Service,Casual hire of facilities
Milton Keynes City Council,31-May-24,51501109190,£950.00,5 Dimensions Trust t/a Shenley Brook End School,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,24-May-24,51501103968,"£71,164.00",5 Dimensions Trust t/a The Hazeley Academy,Corporate Codes,Planning Obligations,S106 Expenditure
Milton Keynes City Council,24-May-24,51501103967,"£78,836.00",5 Dimensions Trust t/a The Hazeley Academy,Corporate Codes,Planning Obligations,S106 Expenditure
