Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation ,Expense Type
Milton Keynes City Council,02-Sep-24,51501129689,"-£3,805.04",Health Management Ltd,Finance & Resources - Services,HR,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501114904,"-£2,207.10",Dr Khalid and Partners,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152257,-£573.59,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Sep-24,51501144507,£501.90,Volunteering Matters,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,02-Sep-24,51501152602,£505.30,Oakridge Park Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152575,£515.30,Dr Patel and Partners,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152591,£516.20,London Road Health Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152557,£518.80,Redacted Personal Data,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152579,£521.00,Redacted Personal Data,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143168,£524.69,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501147104,£528.26,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143266,£531.33,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501143059,£539.50,Sharnbrook Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143181,£540.00,Mindjam,Children's Services,High Needs Block,SEN Funding
Milton Keynes City Council,02-Sep-24,51501143146,£540.96,Churchill Contract Services Limited,Environment & Property,Assistant Director Property,Building Cleaning
Milton Keynes City Council,02-Sep-24,51501143853,£549.00,One Medicare LLP t/a Whitehouse Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143172,£549.08,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501143017,£549.63,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501144065,£557.86,National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Sep-24,51501143026,£559.19,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501143252,£561.69,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501143170,£562.74,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501144030,£562.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Sep-24,51501152587,£574.10,Hilltops Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152570,£582.10,Salisbury House Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143024,£584.59,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501152705,£586.00,Redacted Personal Data,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - staff
Milton Keynes City Council,02-Sep-24,51501152564,£587.50,Cauldwell Medical Centre t/a East London Foundation Trust,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143948,£591.59,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Sep-24,51501147244,£592.80,Reeves Rescue LTD,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501147229,£597.31,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501143187,£606.72,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,02-Sep-24,51501143952,£607.20,Queens Park Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Sep-24,51501152565,£615.60,Great Barford Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
