Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ANDREA REID,9100649,revenue,1E201,ISB PVI Nurseries,2925.00
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ANDREA REID,9100779,revenue,1E201,ISB PVI Nurseries,298.35
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ANDREA REID,9100778,revenue,1EEP5,2Yr Old Learning & Childcare,5257.69
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ANNIE STOKER,9100884,revenue,1E201,ISB PVI Nurseries,1072.50
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ANNIE STOKER,9100882,revenue,1EEP5,2Yr Old Learning & Childcare,2103.08
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,11/04/2024,ASTON WALKER,9084905,revenue,1KVWC,Minor Works Contracts,764.75
Corporate Budgets,Corporate Budgets,Revenue Expenditure,26/04/2024,BEVAN BRITTAN,9104304,revenue,1RB81,Housing Review,2181.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,BRIARDENE MH,9110978,revenue,1MG10,Nursing Care OP,80253.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,BRIARDENE MH,9110978,revenue,1MG20,Residential Care OP,51185.49
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,BRIARDENE MH,9110978,revenue,1MM20,Residential Care MH,6708.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,BRIARDENE MH,9111034,revenue,1MG10,Nursing Care OP,975.86
"Children, Education and Skills",Education,Revenue Expenditure,26/04/2024,CAITLIN HEDLEY,9103563,revenue,1E558,SB Music Service,1276.80
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,CAROL LUMSDEN,9100869,revenue,1EEP5,2Yr Old Learning & Childcare,4206.15
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,CRAGHALL,9110951,revenue,1MG20,Residential Care OP,30262.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,CRAGHALL,9110951,revenue,1MG30,Deferred Payments-OP,4036.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,CRANLEA N H,9102218,revenue,1MG20,Residential Care OP,69212.99
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,CRANLEA N H,9102218,revenue,1MG30,Deferred Payments-OP,3468.16
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,12/04/2024,DAVID  THOMPSON IR35,9098448,revenue,1MK60,Ind Day Care LD,440.00
"Children, Education and Skills",Education,Revenue Expenditure,05/04/2024,ELIZABETH MILNER,9099465,revenue,1E558,SB Music Service,604.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,ELLA MCCAMBRIDGE,9110960,revenue,1MG20,Residential Care OP,131474.12
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,ELLA MCCAMBRIDGE,9110960,revenue,1MH20,Residential Care PD,3587.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,ELLA MCCAMBRIDGE,9110960,revenue,1MM20,Residential Care MH,6708.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/04/2024,ELLIE DEWAR,9109058,revenue,1MB26,Complaints&Customer Relations,934.25
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/04/2024,ELLIE DEWAR,9109152,revenue,1MB26,Complaints&Customer Relations,693.75
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/04/2024,ELLIE DEWAR,9109083,revenue,1MB26,Complaints&Customer Relations,878.75
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ELLY PARKIN,9100785,revenue,1E201,ISB PVI Nurseries,1462.50
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,ELLY PARKIN,9100788,revenue,1EEP5,2Yr Old Learning & Childcare,1051.54
ASC & Integrated Services,Integrated Services,Revenue Expenditure,10/04/2024,EMMA TOMINEY,9102898,revenue,1MR92,Newcastle Neighbourhoods,270.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,10/04/2024,EMMA TOMINEY,9102899,revenue,1MR92,Newcastle Neighbourhoods,450.00
"Children, Education and Skills",Education,Revenue Expenditure,25/04/2024,FRANCOISE MARGARET HARRIS,9110752,revenue,1E558,SB Music Service,1073.20
"Children, Education and Skills",Education,Revenue Expenditure,09/04/2024,FRANCOISE MARGARET HARRIS,9082427,revenue,1E558,SB Music Service,385.20
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,GILLIAN APPLEBY,9100639,revenue,1E201,ISB PVI Nurseries,2730.00
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,H D PLATER,9100240,revenue,1E228,SEN Teaching Support (NonSALT),1153.84
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,08/04/2024,HEATHER PEARSON IR35,9100955,revenue,1MB15,Newcastle Safeguarding Board,6973.50
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,J ROZANSKI,9100761,revenue,1E201,ISB PVI Nurseries,731.25
ASC & Integrated Services,Integrated Services,Revenue Expenditure,15/04/2024,JAMES EKE,9104423,revenue,1MW02,Nature's Landscape,1100.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,15/04/2024,JAMES EKE,9104424,revenue,1MW02,Nature's Landscape,560.96
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,JANE GRIBBIN,9100786,revenue,1E201,ISB PVI Nurseries,5118.75
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,JANE GRIBBIN,9100784,revenue,1EEP5,2Yr Old Learning & Childcare,1051.54
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,JANICE LILEY,9100641,revenue,1E201,ISB PVI Nurseries,2925.00
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,JANICE LILEY,9100640,revenue,1EEP5,2Yr Old Learning & Childcare,1612.36
Operations & Reg Services,Public Safety Regulations,Revenue Expenditure,18/04/2024,JIMMY ANDREW MORRISON,9108531,revenue,1D533,Dog Warden,360.00
Place,"Museums, Arts and Culture",Revenue Expenditure,10/04/2024,JO TEMPLEY,9102874,revenue,1DF16,Arts/Dance Connect,300.00
