Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/06/2024,131 NORTH EAST LTD,9155386,revenue,1KEYZ,BEST 2 Project,10413.90
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,04/06/2024,18 SEA VIEW VILLAS,9139383,revenue,1MK34,Shared Lives - Adult LD,2445.16
Children & Families,Children's Social Care,Revenue Expenditure,12/06/2024,24X7 LTD,9143700,revenue,1MC20,In-House Foster Carer Costs,3792.19
Children & Families,Children's Social Care,Revenue Expenditure,06/06/2024,24X7 LTD,9141114,revenue,1MC20,In-House Foster Carer Costs,2676.84
Children & Families,Children's Social Care,Revenue Expenditure,06/06/2024,24X7 LTD,9141115,revenue,1MC20,In-House Foster Carer Costs,747.95
Children & Families,Children's Social Care,Revenue Expenditure,06/06/2024,24X7 LTD,9141112,revenue,1MC20,In-House Foster Carer Costs,2528.52
Children & Families,Children's Social Care,Revenue Expenditure,06/06/2024,24X7 LTD,9141113,revenue,1MC20,In-House Foster Carer Costs,1542.31
Children & Families,Children's Social Care,Revenue Expenditure,07/06/2024,24X7 LTD,9142536,revenue,1MC20,In-House Foster Carer Costs,1816.45
Children & Families,Children's Social Care,Revenue Expenditure,07/06/2024,24X7 LTD,9142568,revenue,1MC20,In-House Foster Carer Costs,3582.07
Children & Families,Education,Revenue Expenditure,13/06/2024,24X7 LTD,9127220,revenue,1E212,Transport Special,3866.51
Children & Families,Education,Revenue Expenditure,13/06/2024,24X7 LTD,9127404,revenue,1E212,Transport Special,2477.52
Children & Families,Education,Revenue Expenditure,14/06/2024,24X7 LTD,9127403,revenue,1E212,Transport Special,2818.76
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144945,revenue,1E212,Transport Special,2729.32
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144959,revenue,1E212,Transport Special,2981.12
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144960,revenue,1E212,Transport Special,3984.12
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144961,revenue,1E212,Transport Special,2360.28
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144962,revenue,1E212,Transport Special,5561.21
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144963,revenue,1E212,Transport Special,4424.76
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144964,revenue,1E212,Transport Special,4465.39
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144965,revenue,1E212,Transport Special,4651.03
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144966,revenue,1E212,Transport Special,2809.93
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144967,revenue,1E212,Transport Special,3753.60
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9144968,revenue,1E212,Transport Special,1977.08
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9145003,revenue,1E212,Transport Special,3447.94
Children & Families,Education,Revenue Expenditure,12/06/2024,24X7 LTD,9145027,revenue,1E212,Transport Special,3509.82
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,27/06/2024,4 IMPRINT,9141110,revenue,1KEYX,Community Engagement,2619.97
HRA Expenditure,General Management,Revenue Expenditure,26/06/2024,4-5 GRAYS INN SQUARE LTD,9155341,revenue,1HCIS,HRA Insurance Services,600.00
HRA Expenditure,General Management,Revenue Expenditure,21/06/2024,4-5 GRAYS INN SQUARE LTD,9136553,revenue,1HCIS,HRA Insurance Services,800.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,21/06/2024,4NET TECHNOLOGIES LTD,9147813,revenue,1CC24,Telecoms,176152.99
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,21/06/2024,A M HIRE,9136468,revenue,1KESY,External Hires,886.20
Operations & Regulatory Services ,Operations,Revenue Expenditure,12/06/2024,A S PNEUMATICS,9146571,revenue,3KES1,City Transport Stock,299.00
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,07/06/2024,A T F RETAIL LTD,9129085,revenue,1DV04,Saville Row,450.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,19/06/2024,A&J KEITH LTD,9151163,revenue,1KR20,M&E Electrical,14406.22
