Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-02-2024,Marketing,Juniper Ventures Ltd,Events,5610,0,COMMERCIAL SUPPLIER
01-02-2024,Marketing,Juniper Ventures Ltd,Cleaning Services,7002,0,COMMERCIAL SUPPLIER
01-02-2024,Marketing,Anahata Trading,Consultancy Fees,4500,0,COMMERCIAL SUPPLIER
01-02-2024,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-02-2024,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-02-2024,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-02-2024,Adults & Health,Vibrance,Daycare - Private Contractors Payment,374.52,0,VOLUNTARY ORGANISATION
01-02-2024,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,360.25,0,VENDOR
01-02-2024,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,360.25,0,VENDOR
01-02-2024,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,288.2,0,VENDOR
01-02-2024,Environment and Sustainable Transport,Completely Kent Limited T/a Completely Hydraulic,"Purchase - Equipment, Furniture And Materials",256.25,0,COMMERCIAL SUPPLIER
01-02-2024,Marketing,NewLife Collective Ltd,Open Spaces Works,219.5,0,COMMERCIAL SUPPLIER
01-02-2024,Marketing,Born Everywhere Made in Newham,Arts And Leisure Costs,8312.5,0,VOLUNTARY ORGANISATION
01-02-2024,Housing Revenue Account,Chiltern Costs Consultants,Legal Fees,630,0,NON COMMERCIAL SUPPLIER
01-02-2024,Resources,Law Morgan Ltd,Agency Staff,3288.8,0,COMMERCIAL SUPPLIER
01-02-2024,Housing Revenue Account,MJV Solicitors,Legal Fees,5000,0,NON COMMERCIAL SUPPLIER
01-02-2024,Inclusive Economy & Housing,Potter Raper Ltd,Consultancy Fees,3750,0,COMMERCIAL SUPPLIER
01-02-2024,Adults & Health,Supply Chain Coordination Ltd (SCCL),Specialist Equipment For Service Provision,418.59,0,NHS BODIES
01-02-2024,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,509.78,0,COMMERCIAL SUPPLIER
01-02-2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,875,0,VENDOR
01-02-2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,115,0,VENDOR
01-02-2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,660,0,VENDOR
01-02-2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,212,0,VENDOR
01-02-2024,Adults & Health,St John Ambulance,Professional Services - General,3960,0,VENDOR
01-02-2024,Adults & Health,Care4Health Ltd,Occupational Health,585,0,
01-02-2024,Adults & Health,Care4Health Ltd,Occupational Health,250,0,
01-02-2024,Adults & Health,Care4Health Ltd,Occupational Health,500,0,
01-02-2024,Adults & Health,Care4Health Ltd,Occupational Health,1000,0,
