Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
Abbeygate Garages,05/11/2024,"£2,124.10",Vehicle Repairs
Abbeygate Garages,19/11/2024,"£1,062.05",Vehicle Repairs
Abbeygate Garages,27/11/2024,"£1,062.05",Vehicle Repairs
Abbott Toxicology Limited,04/12/2024,"£1,009.06",Stationery and Office Consumables
Access Systems (Uk) Limited,15/11/2024,"£6,940.00",Software - Maintenance
Acs Technology Group Limited,21/11/2024,£777.56,Stationery and Office Consumables
Agiito Limited,06/11/2024,"£8,569.43",Hotel Accommodation
Agiito Limited,12/11/2024,"£2,083.89",Hotel Accommodation
Agiito Limited,19/11/2024,"£5,772.70",Public Transport
Agiito Limited,20/11/2024,"£5,401.88",Hotel Accommodation
Agiito Limited,27/11/2024,"£2,086.36",Hotel Accommodation
Agiito Limited,28/11/2024,"£1,167.29",Public Transport
Airwave Solutions Limited,20/11/2024,"£81,954.24",Airwave
Allstar Business Solutions,30/11/2024,"£54,015.24",Vehicle Fuel
Allstar Business Solutions,15/12/2024,"£52,820.54",Vehicle Fuel
Altia Solutions Limited,14/11/2024,£750.00,Training Materials and Study Costs
Ambitious PR,30/11/2024,"£5,130.00",Promotional material
Amr Electrical Services Limited,28/10/2024,"£59,577.16",Maintenance
Amr Electrical Services Limited,04/11/2024,"£5,432.37",Maintenance
Amr Electrical Services Limited,13/11/2024,"£3,233.96",Maintenance
Amr Electrical Services Limited,18/11/2024,"£4,407.60",Building Minor Works
Amr Electrical Services Limited,27/11/2024,"£8,012.74",Maintenance
Amr Mechanical Services Limited,04/11/2024,"£1,392.23",Maintenance
Amr Mechanical Services Limited,07/11/2024,"£4,173.51",Maintenance
Amr Mechanical Services Limited,18/11/2024,"£2,539.71",Maintenance
Amr Mechanical Services Limited,27/11/2024,"£2,186.35",Building Works
Anglia Ruskin University,27/11/2024,"£21,120.85",DHEP Training Costs
Anglian Water Business,11/11/2024,"£6,913.70",Utilities
"Anglo Scottish Equipment
(Southern) Limited",30/11/2024,£728.55,Rent
Apex Signs And Engraving Limited,11/11/2024,"£2,994.50",Building Works
Arco Limited,08/11/2024,£587.58,Clothing and Uniforms
Aristi Limited,12/11/2024,"£3,802.50",Systems Development
Arktis Limited,26/11/2024,"£1,166.66",Clothing and Uniforms
Autodata Limited,16/12/2024,"£2,580.00",Vehicle Workshop Equipment
"AVR GROUP LIMITED T/A
ALERTCOM",01/12/2024,"£2,517.50",Telecom Forensics
Axess International Limited,29/11/2024,£626.95,Radio / Airwave - Equipment
Ballicom Limited,06/11/2024,"£2,251.00",Hardware - purchase
"Barrack Street Developments
Limited",03/06/2024,£750.00,Rent
"Barrack Street Developments
Limited",23/08/2024,£750.00,Rent
"Barrack Street Developments
Limited",05/12/2024,£750.00,Rent
Bechtle Limited,18/11/2024,£746.50,Hardware - purchase
Behavioural Measures Uk,05/11/2024,"£2,750.00",Subscriptions
Bennett Safetywear Limited,13/11/2024,"£1,602.35",Clothing and Uniforms
Birketts LLP,14/11/2024,"£1,644.00",Estates Legal Costs
Boing Rapid Secure Limited,06/09/2024,£773.00,Security Services
Breckland Council,14/03/2024,"£11,477.00",Business Rates
British Telecommunications Plc,29/10/2024,"£3,900.00",Subscriber Telephone Details
Care Of Police Survivors (Cops),17/01/2024,"£2,500.00",Other Partnerships
CBRE Managed Services Limited,31/10/2024,"£32,592.33",Grounds & Caretaking Contract
CBRE Managed Services Limited,30/11/2024,"£42,522.59",Grounds & Caretaking Contract
"Cdsm Interactive Solutions
Limited (Thinqi)",06/11/2024,"£4,995.00",Software Licences
Cdw Limited,06/11/2024,"£1,260.66",Software - Maintenance
Cellmark Limited,07/12/2024,"£1,607.10",Forensic Analysis
Certas Energy,06/11/2024,"£1,765.28",Heating Fuel Oil
Certas Energy,04/12/2024,£621.13,Heating Fuel Oil
Chaplin Farrant Limited,30/11/2024,"£11,466.00",Building Works
Civica Uk Limited,11/11/2024,"£110,112.80",Hardware-Maintenance
Civica Uk Limited,27/11/2024,"£1,998.08",Hardware
Civil Defence Supply Limited,26/11/2024,"£3,732.00",Clothing and Uniforms
"Cjs Event Solutions Limited (Cjs Uk
Management Limited)",19/11/2024,"£1,485.00",Conference and Seminar Fees
Cleartone Telecoms Limited,11/11/2024,"£1,848.00",Hardware
Cobuild Norfolk Limited,07/11/2024,"£1,201.91",Maintenance
Cobuild Norfolk Limited,15/11/2024,"£1,490.00",Maintenance
College Of Policing,06/11/2024,"£4,638.40",External Training Course
College Of Policing,13/11/2024,"£2,266.00",External Training Course
College Of Policing,20/11/2024,"£3,995.00",External Training Course
College Of Policing,25/11/2024,"£2,946.72",Exam Costs
College Of Policing,27/11/2024,"£4,671.50",External Training Course
