Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,03-Jul-23,51200485140,"£5,481.00",Diamond Hands Care Services Ltd,COMPANY,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200485141,£585.00,Diamond Hands Care Services Ltd,COMPANY,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200485142,£604.00,Diamond Hands Care Services Ltd,COMPANY,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200485143,"£1,092.00",Diamond Hands Care Services Ltd,COMPANY,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200484871,"£6,429.72",PHS GROUP PLC,TRADE SUPPLIER,Corby-East Midlands International Pool,Corby-East Midlands International Pool,Equipment and Tools - Hire
North Northamptonshire Council,03-Jul-23,51200451230,"£2,326.93",Liftability Limited,COMPANY,Disabled Facilities Grants,Disabled Facilities Grant NNC,Expenditure on Grants
North Northamptonshire Council,03-Jul-23,51200484573,£886.00,Sterling Assessment Services,SOLETRADER,HRA Repairs and Maintenance [CBC],Pre-Planned Maint Admin,Staff Training & Development
North Northamptonshire Council,03-Jul-23,51200484540,"£1,052.00",Sterling Assessment Services,SOLETRADER,HRA Repairs and Maintenance [CBC],Pre-Planned Maint Admin,Staff Training & Development
North Northamptonshire Council,03-Jul-23,51200485119,"£1,092.00",Diamond Hands Care Services Ltd,COMPANY,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200439960,"£1,376.50",PROPERTY MAINTENANCE SERVICES LTD,COMPANY,Disabled Facilities Grants,Disabled Facilities Grant NNC,Expenditure on Grants
North Northamptonshire Council,03-Jul-23,51200484962,"£2,880.00",LIBERTY LEARNING CONSULTANCY LTD,TRADE SUPPLIER,High Needs Out Of County,SEN Alt Provisions,Professional Fees and Hired Services
North Northamptonshire Council,03-Jul-23,51200484885,£974.40,European Asbestos Services Ltd,COMPANY,HRA (Capital) [KBC],Voids Repairs and Improvements,"New Construction, Conversion and Renovation"
North Northamptonshire Council,03-Jul-23,51200484886,"£11,331.34",AARON SERVICES LIMITED,COMPANY,HRA Repairs and Maintenance [CBC],Sheltered Schemes - Maintenance,Specialist Servicing and Maintenance
North Northamptonshire Council,03-Jul-23,51200484951,"£43,125.00",CREATING TOMORROW MULTI ACADEMY TRUST,EDUCATION,High Needs Out Of County,Out County Other Authorities,Independent School Placements
North Northamptonshire Council,03-Jul-23,51200484952,"-£7,364.00",CREATING TOMORROW MULTI ACADEMY TRUST,EDUCATION,High Needs Out Of County,Out County Other Authorities,Independent School Placements
North Northamptonshire Council,03-Jul-23,51200484908,£637.84,POWYS COUNTY COUNCIL,OTHER PUBLIC BODIES,Licensing – all kinds [CBC],Taxi Vehicles,Professional Fees and Hired Services
North Northamptonshire Council,03-Jul-23,51200484533,"£1,243.20",OYSTER PARTNERSHIP,PARTNERSHIP,Homelessness [KBC],Homelessness,Agency Staff
North Northamptonshire Council,03-Jul-23,51200484916,"£1,102.00",MUTCH BUILDING AND CARPENTRY LIMITED,TRADE SUPPLIER,HRA Repairs and Maintenance [CBC],Responsive Repairs,Building Repair and Maintenance
North Northamptonshire Council,03-Jul-23,51200485013,"£4,267.20",MIDSHIRES CARE LTD,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Jul-23,51200484464,£625.54,BRAMBLE FOODS LTD,COMPANY,Parks and open spaces [CBC],Woodland Project,Equipment and Tools
