Month,Supplier,Account Code,Transaction Ref,£
May,2bm Ltd,Costs From Annual Servicing,AAAplkAAFAADKtYAAQ,596.7
May,A Bishop & Son,Expert Statements,AAAplkAAFAADK2JAAb,550
May,ABBOTT TOXICOLOGY LTD,Pre-Employment Checks,AAAplkAAFAADFGpAAS,861.9
May,ACRC Ltd,Annual Servicing,AAAplkAAFAADKwpAAX,2979
May,ACRC Ltd,Planned Building Works,AAAplkAAMAACdIIAAb,1280
May,ACRC Ltd,Reactive Building Works,AAAplkAAMAACdP+AAX,895
May,ACRC Ltd,Reactive Building Works,AAAplkAAMAACdP+AAd,3985
May,ACRC Ltd,Reactive Building Works,AAAplkAAMAACdQOAAB,595
May,ACS BUSINESS SUPPLIES LTD,Domestic Equipment,AAAplkAAFAADFGZAAL,579.21
May,ACS BUSINESS SUPPLIES LTD,Stationery & Office Materials,AAAplkAAFAADFIMAAa,540
May,Adapt & Evolve Consultancy,External Training Courses,AAAplkAAFAADKyJAAI,3000
May,Adecco UK Limited,Agency/Temp Staff,AAAplkAAFAADFPiAAK,580.27
May,Adecco UK Limited,Agency/Temp Staff,AAAplkAAFAADKu5AAD,580.27
May,Adecco UK Limited,Agency/Temp Staff,AAAplkAAFAADKupAAR,727.79
May,Advancedk9solutions Ltd,External Training Courses,AAAplkAAFAADKtYAAX,1500
May,AIRWAVE SOLUTIONS LTD,Airwave Service Charges,AAAplkAAFAADFIoAAO,52708.39
May,Al-Hurraya,Professional Fees,AAAplkAAMAACdR6AAU,5000
May,Altberg Limited,Uniform,AAAplkAAMAACdObAAc,551.04
May,Altia Solutions Ltd,Software Licences,AAAplkAAFAADKy8AAG,7170
May,Altia Solutions Ltd,Software Licences,AAAplkAAFAADKy8AAH,5000
May,AMAZON EU SARL,Operational Consum Equip/Mtn,AAAplkAAFAADFLdAAE,532.8
May,AMP Clean Energy Services Limited,Annual Servicing,AAAplkAAFAADFRiAAR,500
May,ANGLO AMERICAN FILMING VEHICLES LTD,Accident Repair,AAAplkAAFAADKtYAAN,2028.49
May,Anna Clark,Commissioned Services,AAAplkAAMAACdQeAAR,8587.59
May,ANTALIS LTD,Stationery & Office Materials,AAAplkAAFAADFHAAAH,2083.23
May,ASHFIELD DISTRICT COUNCIL,Partnership Grants,AAAplkAAMAACdQuAAB,24075
May,ASHFIELD DISTRICT COUNCIL,Partnership Grants,AAAplkAAFAADK2bAAV,10117
May,ASHFIELD DISTRICT COUNCIL,Rent,AAAplkAAFAADFSOAAC,3166.66
May,ASSA ABLOY LTD,Planned Building Works,AAAplkAAFAADFTuAAK,4558.89
May,AtkinsRealis PPS Limited-Shared Serv Facility,Fees - Statutory,AAAplkAAMAACdQeAAZ,5990
May,Auto Electric Conversions & Repairs,Vehicle Maintenance,AAAplkAAFAADK17AAM,883
May,Barnsley Bate Ltd,Expert Statements,AAAplkAAMAACdR7AAY,1225
