Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45098,2621822.78
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45103,1408851.69
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45062,1404150.1
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45061,1348087.57
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45042,1320254.56
Corporate Services,Corporate Services,Chief Executive,Partnership Support (Borough and GM),Non AGMA Services OMBC Contribution,Rochdale Borough Council Debt Recovery,45053,1073948
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45049,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45080,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Services Ltd,45023,1050990
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45065,811648.49
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45030,790294.88
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45082,785036.17
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45035,783603.83
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Oldham College,45068,781357.2
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45085,779184.06
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45107,749638.72
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45021,747496.73
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45050,746495.05
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Arthur J. Gallagher Insurance Brokers Limited,45042,580424.32
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45104,535315.06
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45049,520155.46
Corporate Services,Corporate Services,Capital - IT,Capital - IT,Computer Software,Softcat Limited,45097,517998.4
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45029,510270.65
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45050,508717.82
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45068,508329.7
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45091,497713.28
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45043,478714.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45070,447316.49
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45105,447316.49
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45096,441728.97
People,Children´s Services,Capital - Schools,Capital - Schools - Secondary,Fees - Agency,Kier Construction Limited t/a Kier Construction – North & Scotland,45035,420490.61
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Ltd,45104,404212.42
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45069,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45084,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45042,366666.67
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45069,359534.28
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Arthur J. Gallagher Insurance Brokers Limited,45042,345731.7
People,Children´s Services,Capital - Schools,Capital - Schools - Secondary,Fees - Agency,Kier Construction Limited t/a Kier Construction – North & Scotland,45068,340740.24
Place,"Economic Development, Enterprise and Skills",Economic Development,Asset Management (Client),Services - Professional Fees,Savills UK Limited,45021,328239.39
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Ltd,45034,321977.57
Place,"Economic Development, Enterprise and Skills",Economic Development,Asset Management (Client),Services - Professional Fees,Savills UK Limited,45021,302985.6
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45042,293745.12
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45069,292003.69
Place,"Economic Development, Enterprise and Skills",Capital - Housing,Capital - Private Housing - Non-HMRF,Grants To External Bodies,Housing 21,45082,286094.59
