Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45187,2606612.67
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45159,2326352.27
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45127,1974223.46
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45154,1405375.63
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45187,1402387.97
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45139,1399433.72
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45111,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45140,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45173,1050990
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45197,1038274.7
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45180,842155.16
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45112,813895.36
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45168,810022.36
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45176,785057.34
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Insight Direct (UK) Ltd,45173,779218.64
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45111,750279.25
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45174,749946.55
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45146,747146.96
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45196,600431.19
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45147,581027.74
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45159,550726.95
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45112,533664.5
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45169,498124.51
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45110,458881.06
