,Expenditure over £500,,,,,,,,
,<<For the period from 01 January 2024 to 31 March 2024>>,,,,,,,,
,,,,,,,,,
Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/01/2024,46364809 - 0,548.66,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/01/2024,46364864 - 0,"1,341.78",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,23/01/2024,46364914 - 1,750,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,30/01/2024,46364989 - 0,"1,025.00",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,27/02/2024,46365317 - 1,659.27,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,27/02/2024,46365318 - 0,580,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/03/2024,46365511 - 0,"1,729.60",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,26/03/2024,46365659 - 0,500,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,26/03/2024,46365663 - 0,750,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,Corporate Strategy,Licences (Non-Transport),D3804,04/01/2024,1095182 - 0,"5,000.00",Revenue,20011846,OXFORD CONSULTANTS FOR SOCIAL INCLUSION LTD
Oxford City Council,Corporate Strategy,Instructors & Coaching Fees,D3413,16/01/2024,1096574 - 0,"1,989.00",Revenue,20018192,NLA MEDIA ACCESS LIMITED
Oxford City Council,Corporate Strategy,Consultants Fees,D3411,09/01/2024,1096819 - 0,"1,229.00",Revenue,20021241,BEEHIVE RESEARCH LTD
Oxford City Council,Corporate Strategy,Consultants Fees,D3411,13/02/2024,1097359 - 0,"1,229.00",Revenue,20021241,BEEHIVE RESEARCH LTD
Oxford City Council,Corporate Strategy,Consultants Fees,D3411,12/03/2024,1098222 - 1,"1,229.00",Revenue,20021241,BEEHIVE RESEARCH LTD
Oxford City Council,Corporate Strategy,Advertising & Publicity,D3802,26/03/2024,1098258 - 1,"2,000.00",Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
Oxford City Council,Business Improvement,Main Contractor,Y021,04/01/2024,1096157 - 0,"8,248.40",Capital,20021498,SYMEC TECHNOLOGIES LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,09/01/2024,1096220 - 0,"2,205.88",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,04/01/2024,1096259 - 0,"14,003.00",Revenue,20016203,PENNA PLC
Oxford City Council,Business Improvement,IT Skills Development,A0638,04/01/2024,1096317 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,04/01/2024,1096318 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,04/01/2024,1096319 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,04/01/2024,1096325 - 0,"3,150.00",Revenue,20021460,MAX TALENT
Oxford City Council,Business Improvement,Management Development,A0637,09/01/2024,1096406 - 0,"1,800.00",Revenue,20021386,PASSE-PARTOUT CONSULTING LTD
Oxford City Council,Business Improvement,Contract Cleaning,B1602,04/01/2024,1096463 - 1,"1,235.80",Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement,Contract Cleaning,B1602,04/01/2024,1096467 - 1,"2,572.58",Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,09/01/2024,1096518 - 0,"1,268.47",Revenue,20013463,IDOX SOFTWARE LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096527 - 0,"23,999.70",Capital,20020945,BOX LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,04/01/2024,1096558 - 0,"2,202.14",Capital,20012570,Advanced t/a Kirona Solutions Ltd.
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096562 - 0,"1,600.00",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Consultants Fees,D3411,16/01/2024,1096569 - 0,738,Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,04/01/2024,1096645 - 1,"37,583.78",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Network Rental,D3531,09/01/2024,1096692 - 1,"1,323.84",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096700 - 0,"1,800.00",Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,General Contracted Services,D3401,16/01/2024,1096701 - 0,"14,742.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,16/01/2024,1096720 - 0,"3,616.74",Revenue,20012320,NEC SOFTWARE SOLUTIONS UK LTD
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,02/02/2024,1096721 - 1,"22,346.00",Revenue,20012320,NEC SOFTWARE SOLUTIONS UK LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,23/01/2024,1096760 - 0,"2,162.00",Revenue,20021492,PHOENIX SOFTWARE LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096762 - 0,"70,000.02",Capital,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096765 - 0,660,Capital,20012570,Advanced t/a Kirona Solutions Ltd.
Oxford City Council,Business Improvement,General Contracted Services,D3401,16/01/2024,1096768 - 0,"1,250.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,16/01/2024,1096769 - 0,"1,805.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,16/01/2024,1096770 - 0,"43,350.21",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Consultants Fees,D3411,16/01/2024,1096778 - 0,559.36,Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,16/01/2024,1096788 - 1,"1,677.79",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,General Contracted Services,D3401,23/01/2024,1096797 - 0,"15,340.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,16/01/2024,1096806 - 0,"1,398.73",Revenue,20020068,"WORD360 LTD.,"
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096818 - 0,"3,075.00",Capital,20021596,CORELLA CONSULTING LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,05/03/2024,1096834 - 0,"2,304.07",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,30/01/2024,1096842 - 0,"3,937.50",Capital,20021491,FIVIUM LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,30/01/2024,1096843 - 0,"9,581.00",Revenue,20016203,PENNA PLC
Oxford City Council,Business Improvement,Photocopying/Paper Supplies,D3306,30/01/2024,1096848 - 1,"5,559.39",Revenue,20007881,RICOH UK LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,02/02/2024,1096875 - 0,"1,171.86",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,02/02/2024,1096876 - 0,"6,380.02",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,16/01/2024,1096884 - 0,525,Revenue,20013463,IDOX SOFTWARE LTD
Oxford City Council,Business Improvement,External Telephone Charges (for Employees),D3506,16/01/2024,1096957 - 1,"23,417.98",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Subscriptions,D3703,23/01/2024,1096962 - 0,"2,575.00",Revenue,20014451,STONEWALL EQUALITY LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096964 - 0,"2,500.00",Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096965 - 0,900,Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096966 - 0,"1,562.50",Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,General Contracted Services,D3401,30/01/2024,1096973 - 0,"1,500.00",Revenue,20021460,MAX TALENT
Oxford City Council,Business Improvement,Contract Printing (External),D3303,02/02/2024,1096979 - 0,557.61,Revenue,20021265,LEXON GB LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,02/02/2024,1096994 - 0,"7,050.60",Capital,20021492,PHOENIX SOFTWARE LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,02/02/2024,1097003 - 0,"5,010.16",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,13/02/2024,1097031 - 0,"10,354.14",Revenue,20019027,ALEMBA LIMITED
Oxford City Council,Business Improvement,Contract Printing (External),D3303,13/02/2024,1097053 - 0,"1,397.00",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Health Screening,D3428,23/01/2024,1097081 - 0,746.45,Revenue,20012497,CHILDCARE VOUCHERS LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,13/02/2024,1097083 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Management Development,A0637,13/02/2024,1097103 - 1,600,Revenue,20021386,PASSE-PARTOUT CONSULTING LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,20/02/2024,1097122 - 0,"1,040.88",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,30/01/2024,1097145 - 1,"24,970.88",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Main Contractor,Y021,30/01/2024,1097159 - 0,"32,582.80",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,13/02/2024,1097171 - 0,"2,100.00",Revenue,20021605,SUZY LAMPLUGH TRUST
Oxford City Council,Business Improvement,Main Contractor,Y021,20/02/2024,1097225 - 0,"3,790.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,13/02/2024,1097229 - 0,"1,567.13",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Network Rental,D3531,02/02/2024,1097232 - 1,"1,325.18",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,IT Skills Development,A0638,20/02/2024,1097253 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,20/02/2024,1097259 - 0,535.93,Revenue,20016844,NG BAILEY IT SERVICES LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,13/02/2024,1097291 - 1,"1,677.79",Revenue,20014760,BT PAYMENT SERVICES
