Body_Code,Body_Name,Service,Posting Date,GL Code,GL Code Desc,Doc Number,Doc Net Amount,Supplier Name
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,POST18 UASC DCSF FND,05/08/2024,5785,Client Lodgings and Accommodation,3111728996,"-56,097.30",A2dominion
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,13/08/2024,5688,Supported Living,3111734697,"-31,334.58",The Camden Society
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Hyer Project,16/08/2024,3951,Electricity,2201258530,"-20,116.78",SSE Power Distribution PLC
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,12/08/2024,5688,Supported Living,3111734153,"-18,904.51",Autism at Kingwood Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,COMM DRAWDOWN FUNDNG,21/08/2024,8102,Payments to main contractor,2201259104,"-18,444.05",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731719,"-17,673.63",Acacia Lodge Care Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,COMM DRAWDOWN FUNDNG,27/08/2024,8102,Payments to main contractor,2201260010,"-17,049.34",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Physical Support,16/08/2024,5899,Adult Social Care - Direct Payments,3111738585,"-13,865.23",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Mental Health,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733032,"-12,641.86",Freeland House
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,LD Continuing Care - Sup at Home - U65,12/08/2024,5688,Supported Living,3111731624,"-12,597.60",The Camden Society
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731684,"-11,447.94",ACER HEALTHCARE LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,12/08/2024,5688,Supported Living,3111732362,"-9,121.91",The Brandon Trust
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Procurement Rebates & Income,22/08/2024,7203,Other Miscellaneous Income,3111740017,"-9,000.00",Knights Professional Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,DRAINAGE REPAIRS,21/08/2024,5526,Payments to Private Contractors,2201259107,"-7,495.72",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,COMM DRAWDOWN FUNDNG,23/08/2024,8102,Payments to main contractor,2201259949,"-5,956.06",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Business Partnering & Advisory Team,28/08/2024,4940,Other Services,2201260302,"-5,909.56",LNRS DATA SERVICES LIMITED
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,YP PATHWAY,28/08/2024,5601,Families,3111742716,"-5,682.80",A2dominion
