Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Public Health,Sexual Health,Other Establishments,45140,30423449,7737.5,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate,Corporate,Non Revenue,45140,30423581,2450,Capital,502507,Cambridgeshire County Council,Building And Site Works / Bus Passes
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45140,30423658,7668,Revenue,500829,A M Strickland Builders,Infrastructure
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45140,30423658,2700,Revenue,500829,A M Strickland Builders,Infrastructure
Peterborough City Council,Adult Social Care,OP/PD/SI,Other Establishments,45140,30423663,3241.75,Revenue,522241,Cambridgeshire Society for Blind & Partially Sighted,Third Party Payments - Contract
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45140,30423692,12750,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45140,30423693,11050,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Service Director Education,Agency Staff,45140,30423694,13456,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45140,30423697,8700,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45140,30423698,14490,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Services,45140,30423699,10560,Revenue,512024,Tile Hill Interim & Executive Ltd,Consultants Fees
Peterborough City Council,Adult Social Care,Executive Director Adult Social Care,Agency Staff,45140,30423702,6431.25,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45140,30423703,11712,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,HR WFD & Training,Services,45140,30424099,650,Revenue,502507,Cambridgeshire County Council,Course Instructors Fees / Courses And Seminars
Peterborough City Council,Place & Economy,Network and Traffic Management,Services,45140,30424101,19341.67,Revenue,502507,Cambridgeshire County Council,Third Party Payment
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Rents,45140,30424121,833,Revenue,500055,Peterborough Italian Social Club,Hire Of Premises
Peterborough City Council,Place & Economy,Development Management,Services,45140,30424123,3950,Revenue,522201,Landscope Land and Property Ltd,Consultants Fees
Peterborough City Council,Corporate,Corporate,Non Revenue,45140,30424128,36350,Capital,517078,Dell Corporation Limited,Computer Hardware
Peterborough City Council,Corporate,Corporate,Non Revenue,45140,30424131,36350,Capital,517078,Dell Corporation Limited,Computer Hardware
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45140,30424188,2625.43,Revenue,508656,B & H Services Group Ltd,Maintenance
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45140,30424189,4851.7,Revenue,508656,B & H Services Group Ltd,Maintenance
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45140,30424190,1320.84,Revenue,508656,B & H Services Group Ltd,Maintenance
Peterborough City Council,Children and Young People,External Education Placements,Schools,45140,30424215,8333,Revenue,508167,Red Balloon Educational Trust,Boarding Out Fees
Peterborough City Council,Children and Young People,Clare Lodge,Catering,45140,30424217,508.19,Revenue,500069,King Bros Lady Lodge Ltd,Catering Equipment / Catering Provisions
Peterborough City Council,Corporate,Corporate,Non Revenue,45140,30424226,4802.96,Capital,511734,CDW Ltd,Computer Hardware
