Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,External Education Placements,Schools,45200,30430732,18000,,Revenue,523092,Bridge House Independent School Limited,Boarding Out Fees
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45200,8000301748,1270.5,,Revenue,522157,Redacted Personal Information,Home Care
Peterborough City Council,Corporate,Corporate,Non Revenue,45201,30428177,2383,,Capital,509420,CMS Accommodating People Ltd,Building And Site Works / Bus Passes
Peterborough City Council,Children and Young People,IFD and Assessment,Agency Staff,45201,30428291,112128,,Revenue,502507,Cambridgeshire County Council,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Interview & Training Expenses,45201,30428305,2565,,Revenue,515444,Chartered Trading Standards Institute,Training
Peterborough City Council,Place & Economy,Environmental Enforcement & CCTV,Services,45201,30428332,3454.8,,Revenue,500919,Synectics Security Ltd,CCTV
Peterborough City Council,Place & Economy,Parking Services,Services,45201,30428342,3257,,Revenue,500919,Synectics Security Ltd,Security
Peterborough City Council,Corporate,Corporate,Non Revenue,45201,30428355,1800,,Capital,523542,Joule Infrastructure Ltd,Consultants Fees
Peterborough City Council,Place & Economy,Regulatory Services,Interview & Training Expenses,45201,30428359,505,,Revenue,515444,Chartered Trading Standards Institute,Training
Peterborough City Council,Corporate Services,IT & Digital Services,Services,45201,30428365,640,  ,Revenue,511734,CDW Ltd,Materials
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30428708,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30428709,1562.7,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30428710,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30429322,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30429323,1562.7,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30429324,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30429650,17121.42,,Revenue,510222,The Beeches UK Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45201,30429804,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
