Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Contributions for Education,45413.386712962965,9794467990,1000.0,Revenue,Redacted personal data,133491.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Leaving Care Cost,45413.38673611111,9794468005,1650.0,Revenue,Redacted personal data,146781.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Addl Costs  Activities  Educational,45413.38674768519,Various,532.29,Revenue,Redacted personal data,151280.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 0 - 4 Years,45413.402280092596,Various,500.58,Revenue,Redacted personal data,37004.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40230324074,Various,1174.67,Revenue,Redacted personal data,37101.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 11 - 15 Years,45413.40230324074,Various,727.1800000000001,Revenue,Redacted personal data,37161.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40230324074,Various,700.8000000000001,Revenue,Redacted personal data,37232.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enhanced 11 - 15 Years,45413.40230324074,Various,881.6800000000001,Revenue,Redacted personal data,37362.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40230324074,Various,1124.68,Revenue,Redacted personal data,37532.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40230324074,9864464278,616.0,Revenue,Redacted personal data,37617.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40230324074,Various,691.13,Revenue,Redacted personal data,37722.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40230324074,Various,634.9,Revenue,Redacted personal data,37862.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40230324074,Various,635.1,Revenue,Redacted personal data,37919.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40231481481,Various,771.47,Revenue,Redacted personal data,37941.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40231481481,Various,1273.17,Revenue,Redacted personal data,41353.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 5 - 10 Years,45413.40231481481,Various,541.78,Revenue,Redacted personal data,61799.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40231481481,Various,541.78,Revenue,Redacted personal data,69672.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40231481481,Various,575.59,Revenue,Redacted personal data,75887.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Non  STD Weekly Maintenance,45413.40231481481,9864464716,2000.0,Revenue,Redacted personal data,81406.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Non  STD Weekly Maintenance,45413.40231481481,9864464724,2500.0,Revenue,Redacted personal data,81406.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40231481481,Various,1168.02,Revenue,Redacted personal data,81406.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enhanced Solo 11 - 15 Years,45413.40231481481,9864464732,543.84,Revenue,Redacted personal data,84943.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40231481481,Various,521.1800000000001,Revenue,Redacted personal data,88997.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,792.3000000000001,Revenue,Redacted personal data,91486.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,780.14,Revenue,Redacted personal data,93558.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 0 - 4 Years,45413.40232638889,Various,750.87,Revenue,Redacted personal data,95017.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,566.59,Revenue,Redacted personal data,95222.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,793.69,Revenue,Redacted personal data,98616.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enhanced Solo 16+ Years,45413.40232638889,9864464099,589.16,Revenue,Redacted personal data,98617.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,564.34,Revenue,Redacted personal data,98617.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,1034.97,Revenue,Redacted personal data,101449.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Adoption Allowance,45413.40232638889,9864464122,807.41,Revenue,Redacted personal data,102836.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,667.85,Revenue,Redacted personal data,103132.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40232638889,Various,932.96,Revenue,Redacted personal data,105004.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40232638889,Various,588.79,Revenue,Redacted personal data,107284.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,846.35,Revenue,Redacted personal data,107904.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,1042.59,Revenue,Redacted personal data,108579.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,552.52,Revenue,Redacted personal data,108917.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,804.4300000000001,Revenue,Redacted personal data,108949.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.402337962965,Various,809.97,Revenue,Redacted personal data,109399.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,1171.24,Revenue,Redacted personal data,110894.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402337962965,Various,824.27,Revenue,Redacted personal data,113068.0
