Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Third Party Payments,Private Contractors,45446.425520833334,PLY4389992,7000.0,Revenue,Glendale Countryside,101509.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53774305555,9804503807,2609.8,Revenue,Redacted personal data,23875.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503809,1097.03,Revenue,Redacted personal data,29826.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503811,1020.0,Revenue,Redacted personal data,29827.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503813,725.6800000000001,Revenue,Redacted personal data,30639.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503814,553.2,Revenue,Redacted personal data,32401.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503815,705.0600000000001,Revenue,Redacted personal data,36853.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537766203706,9804503816,1150.91,Revenue,Redacted personal data,38671.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503819,562.21,Revenue,Redacted personal data,41050.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503820,752.38,Revenue,Redacted personal data,43403.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503823,1057.45,Revenue,Redacted personal data,47042.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503830,902.99,Revenue,Redacted personal data,53345.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503833,1589.1200000000001,Revenue,Redacted personal data,60823.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503836,1691.24,Revenue,Redacted personal data,62900.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537777777776,9804503852,595.85,Revenue,Redacted personal data,72650.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503858,526.72,Revenue,Redacted personal data,74166.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503861,1109.07,Revenue,Redacted personal data,74782.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503863,627.82,Revenue,Redacted personal data,74947.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503867,521.71,Revenue,Redacted personal data,78189.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503872,589.6,Revenue,Redacted personal data,81533.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503873,590.33,Revenue,Redacted personal data,81815.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53778935185,9804503875,852.23,Revenue,Redacted personal data,82245.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503888,4211.55,Revenue,Redacted personal data,84326.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503890,926.0,Revenue,Redacted personal data,85129.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503891,1623.6000000000001,Revenue,Redacted personal data,85418.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503895,599.66,Revenue,Redacted personal data,85852.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503902,545.08,Revenue,Redacted personal data,87143.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503906,932.0,Revenue,Redacted personal data,87982.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503911,1296.4,Revenue,Redacted personal data,88971.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.53780092593,9804503913,505.88,Revenue,Redacted personal data,89053.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503916,1253.18,Revenue,Redacted personal data,89349.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503920,1175.69,Revenue,Redacted personal data,89641.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503932,2007.29,Revenue,Redacted personal data,90567.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503938,1015.59,Revenue,Redacted personal data,90756.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503942,586.53,Revenue,Redacted personal data,91036.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503944,812.52,Revenue,Redacted personal data,91473.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503946,814.85,Revenue,Redacted personal data,91638.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.5378125,9804503949,528.64,Revenue,Redacted personal data,91659.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503957,968.03,Revenue,Redacted personal data,92235.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503959,821.65,Revenue,Redacted personal data,92303.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503962,2262.9500000000003,Revenue,Redacted personal data,92382.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503971,1064.85,Revenue,Redacted personal data,93454.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503984,694.42,Revenue,Redacted personal data,95633.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45446.537824074076,9804503990,597.79,Revenue,Redacted personal data,96353.0
