Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Landmark Building Contractors Ltd,1284403,,,,05/04/2024,2200385392,860,,Health and Safety Equipment,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Landmark Building Contractors Ltd,1284403,,,,05/04/2024,2200385393,950,,Health and Safety Equipment,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Landmark Building Contractors Ltd,1284403,,,,05/04/2024,2200385394,620,,Health and Safety Equipment,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,01/04/2024,2200385395,"188,339.47",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,12/04/2024,2200387033,"153,418.90",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,19/04/2024,2200388802,"9,843.01",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,22/04/2024,2200389101,"12,050.00",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,20/05/2024,2200394501,"77,976.51",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,19/06/2024,2200400965,"168,639.28",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,15/04/2024,2200387399,"1,000.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,20/05/2024,2200394557,"34,532.50",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,20/05/2024,2200394558,"29,621.50",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,20/05/2024,2200394559,"53,976.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,21/05/2024,2200394853,"9,951.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,BUDDI LIMITED,1280098,,,,12/04/2024,2200387040,"3,150.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,BUDDI LIMITED,1280098,,,,09/05/2024,2200392324,"2,190.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,03/05/2024,2200391513,892,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,28/05/2024,2200395881,856,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,26/06/2024,2200402217,828,,Payments to Voluntary bodies,,,,,,No
