Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,16/01/2024,2200367519,"227,642.41",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,13/02/2024,2200373885,"2,699.85",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,13/02/2024,2200373886,"221,830.11",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,12/01/2024,2200366821,"2,735.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,17/01/2024,2200367724,"17,234.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,24/01/2024,2200369297,"5,758.67",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Sands Catering Ltd ,1231311,,,,08/02/2024,2200373181,672,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,26/01/2024,2200369945,940,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,05/03/2024,2200378419,908,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,05/01/2024,2200365458,"2,572.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,08/02/2024,2200372922,"2,940.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,19/03/2024,2200381804,"3,307.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,16/02/2024,2200374931,"47,000.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,City of London ,1230793,,,,28/03/2024,2200383977,"2,888.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Sage Green Safety Ltd,1269431,,,,11/03/2024,2200379540,"1,680.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,"BSI Assurance UK Ltd (Membership, Subscriptions and Standards)",1232995,,,,05/02/2024,2200371994,"1,515.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Redact Details,1260368,,,,09/02/2024,2200373295,"1,632.00",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Chartered Association ,1252686,,,,12/01/2024,2200366831,"1,250.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,18/03/2024,2200381452,"2,622.40",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,27/03/2024,2200383832,"4,215.00",,Training related expenditure,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Fire Protection Associati,1265018,,,,22/03/2024,2200382779,"1,592.90",,Training related expenditure,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,London District Surveyors Association,1234927,,,,26/02/2024,2200376748,"1,250.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Redact Details,1287948,,,,22/03/2024,2200382805,"1,050.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,23/02/2024,2200376467,"507,350.97",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368848,584,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368850,"1,236.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368851,"1,786.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368853,"1,236.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368854,910,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,30/01/2024,2200370613,"1,958.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376041,"3,409.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376144,618,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376146,"2,524.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376149,"2,370.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376152,"2,336.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/02/2024,2200377281,"1,228.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/02/2024,2200377334,"2,164.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,19/03/2024,2200381720,685,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382178,661,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382180,876,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382183,"1,494.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/03/2024,2200383864,687,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/03/2024,2200383866,"1,786.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redacted,D000000023,,,,18/03/2024,3110632911,"2,354.25",,Income: General Fees and Charges,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redact Details,1234806,,,,28/02/2024,2200377322,"1,096.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,London In Bloom,1234937,,,,08/03/2024,2200379431,"1,055.00",,Reactive Repairs : Grounds Maintenance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,01/02/2024,2200371185,"44,339.77",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,26/02/2024,2200376841,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redact Details,1231428,,,,26/02/2024,2200376727,"1,747.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Communities,Community Safety,,City Of Westminster ,1231771,,,,15/03/2024,2200380944,"86,874.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Communities,Community Safety,,City Of Westminster ,1231771,,,,21/03/2024,2200382364,"85,508.23",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,05/02/2024,2200371918,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/02/2024,2200372831,"1,500.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/03/2024,2200379253,"1,000.00",,Payments to main contractor,,,,,,No
